frame_idx,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.15005077,-0.40639544,1.0478805,0.052875116,-0.10657651,-0.0032324344,0.013335109,0.021985615,0.14204724,-0.35846007,0.26103288,0.34489027,-0.56177187,-0.22985514,0.3691553,0.20844956,0.0129997125,0.50535375,-0.233275,0.39324892,0.371894,0.1724245,-0.5708001,-0.40426478,0.21601509,0.13799948,-0.06522954,0.4189937,-0.001501744,0.15257421,0.382236,-0.43627426
1,-0.19880079,-0.2657138,0.13363013,0.5835276,0.42512408,0.36276782,0.025861947,0.15287359,0.31205568,-0.49940202,0.22154412,0.18142393,-0.11112718,-0.009434268,0.8826149,-0.26862723,-0.47290677,0.13150845,0.43394917,-0.1857911,0.3462529,-0.25727445,-1.032346,0.30521852,-0.08548998,0.14351304,0.67894804,0.58226484,-0.20720196,0.15103748,0.15240046,-0.11364651
2,-0.72465634,-0.41992563,0.6679357,0.29915845,0.6099995,0.13158561,-0.24650207,0.08220012,-0.2470511,-0.25351542,0.103424385,0.23649913,-0.32108435,0.8645547,-0.24776089,0.33566183,0.31350276,0.011688295,-0.35790464,0.1798361,0.1595017,-0.3839806,-0.42247477,-0.32566947,0.66799253,-0.16759509,0.5161647,0.44420257,0.042011008,-0.089516744,-0.08110585,-0.13696344
3,-0.72465634,-0.41992563,0.6679357,0.29915845,0.6099995,0.13158561,-0.24650207,0.08220012,-0.2470511,-0.25351542,0.103424385,0.23649913,-0.32108435,0.8645547,-0.24776089,0.33566183,0.31350276,0.011688295,-0.35790464,0.1798361,0.1595017,-0.3839806,-0.42247477,-0.32566947,0.66799253,-0.16759509,0.5161647,0.44420257,0.042011008,-0.089516744,-0.08110585,-0.13696344
4,-0.72465634,-0.41992563,0.6679357,0.29915845,0.6099995,0.13158561,-0.24650207,0.08220012,-0.2470511,-0.25351542,0.103424385,0.23649913,-0.32108435,0.8645547,-0.24776089,0.33566183,0.31350276,0.011688295,-0.35790464,0.1798361,0.1595017,-0.3839806,-0.42247477,-0.32566947,0.66799253,-0.16759509,0.5161647,0.44420257,0.042011008,-0.089516744,-0.08110585,-0.13696344
5,-0.009873542,-0.07343925,0.59568757,-0.13496178,0.0039955685,-0.46017122,0.270429,-0.033785004,-0.07927724,-0.7125386,-0.15925989,0.72338986,-0.13470115,-0.1847162,0.6662462,-0.0042904504,0.68229,0.2610781,-0.09423505,0.0054499055,-0.04107084,-0.46002686,-0.54605186,-0.23070124,0.46949485,-0.35916203,-0.23326147,-0.23565736,-0.024969641,-0.60692,0.20760544,-0.18124582
6,-0.23008078,-0.34314156,-0.2309487,0.6456661,0.34980989,0.03350266,-0.013190278,-0.8133271,-0.46549883,-0.0051115365,-0.2940664,0.33527327,0.13391118,-0.26941648,0.29868615,0.16871765,0.02043955,-0.16146097,0.37999898,0.6223574,0.12227267,-0.15024704,-0.47721824,-0.029840246,0.4586286,-0.86645734,-0.4303472,0.12129194,-0.098586604,-0.71674836,-0.39774308,0.033207502
7,-0.23008078,-0.34314156,-0.2309487,0.6456661,0.34980989,0.03350266,-0.013190278,-0.8133271,-0.46549883,-0.0051115365,-0.2940664,0.33527327,0.13391118,-0.26941648,0.29868615,0.16871765,0.02043955,-0.16146097,0.37999898,0.6223574,0.12227267,-0.15024704,-0.47721824,-0.029840246,0.4586286,-0.86645734,-0.4303472,0.12129194,-0.098586604,-0.71674836,-0.39774308,0.033207502
8,-0.12210498,-0.5703863,0.2857734,0.47893047,0.34547222,-0.70937073,-0.28134075,0.46052018,-0.50388557,0.21079975,0.42042494,0.112948515,-0.38279834,-0.4401462,-0.37078407,-0.2784086,0.08140817,0.41811356,-0.034455806,0.42963105,0.43022752,-0.42290708,-0.12928459,-0.12048615,0.3007871,-0.85757875,-0.33053342,0.056603543,-0.15179387,0.024350576,-0.18340121,0.08012227
9,-0.50887275,-0.009571878,0.21669869,0.17476797,0.1889747,-0.26343048,-0.23590447,0.26559442,-0.07271523,0.53648293,0.25775075,0.9767872,0.110867284,-0.15698473,0.23022355,0.7067235,-0.6159056,-0.33225867,0.40382338,0.3493499,-0.24361105,0.08805991,0.12271126,0.22882016,-0.24109605,-0.63046205,0.060088713,0.52244896,-0.21165648,-0.5928121,0.34610724,-0.19199097
