Time_fs,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic,PC1,PC2,LBHB_Fraction,Avg_Wire_Length,Hodge_Gradient_Pct,Hodge_Curl_Pct,Hodge_Harmonic_Pct
0.0,134,1,45,0,-44,0.6593734,0.8972672,0.0,0.0,99.99999850668236,0.0,0.0038159142344194
0.5,134,1,45,0,-44,0.6593734,0.8972672,0.0,0.0,99.99999849888302,0.0,0.0038260013813351
1.0,134,1,45,0,-44,0.6593734,0.8972672,0.0,0.0,99.999998206566,0.0,0.0041329564822626
1.5,134,1,45,0,-44,0.65421873,0.41197118,0.0,0.0,99.99999809478254,0.0,0.0042450513480439
2.0,133,1,45,0,-44,0.7556045,0.4826177,0.001669449081803,0.0,99.99999789138892,0.0,0.0049025759539639
2.5,132,1,45,0,-44,0.75196266,0.28269532,0.0027378507871321,0.0,99.99999851540346,0.0,0.0049123439834706
3.0,132,1,45,0,-44,0.75196266,0.28269532,0.0034843205574912,0.0,99.99999840221652,0.0,0.0050719352283563
3.5,132,1,45,0,-44,0.75196266,0.28269532,0.0030318342597271,0.0,99.9999981254456,0.0,0.0042405189305427
4.0,133,1,46,0,-45,0.7304124,0.54821986,0.0026785714285714,0.0,99.99999827649695,0.0,0.0036499584282329
4.5,133,1,46,0,-45,0.7304124,0.54821986,0.0024038461538461,0.0,99.9999980911428,0.0,0.0039084644569766
5.0,130,1,44,0,-43,0.68998206,0.42620465,0.002177068214804,0.0,99.99999819466726,0.0,0.0039770689919074
5.5,130,1,44,0,-43,0.68998206,0.42620465,0.0023209549071618,0.0,99.99999827681916,0.0,0.0049804947594672
6.0,131,1,43,0,-42,0.86251175,-0.034926586,0.0027514521553041,0.0,99.99999830539971,0.0,0.0036783558663128
6.5,128,1,41,0,-40,0.14008403,0.1428923,0.0034042553191489,0.0,99.999998306675,0.0,0.0036773304648557
7.0,129,1,41,0,-40,-0.3201593,0.9616529,0.0042339243186028,0.0,99.99999831536002,0.0,0.0052019153683594
7.5,130,1,42,0,-41,-0.01330585,0.95572793,0.0049541738915035,0.0,99.99999817748846,0.0,0.0051888359455237
8.0,131,1,43,0,-42,0.09082507,0.09719404,0.0055878928987194,0.0,99.9999984055331,0.0,0.0046530497803785
8.5,128,1,42,0,-41,0.6345231,0.47718915,0.006155198944823,0.0,99.99999771067289,0.0,0.0039007334941113
9.0,128,1,42,0,-41,0.6345231,0.47718915,0.0068678459937565,0.0,99.99999871643216,0.0,0.0031600372480592
9.5,130,1,43,0,-42,0.6682896,0.19872016,0.0069142631370999,0.0,99.99999836788204,0.0,0.0052247842730558
10.0,130,1,43,0,-42,0.6682896,0.19872016,0.0069548872180451,0.0,99.9999975087632,0.0,0.0058016047162665
10.5,129,1,43,0,-42,-0.3902973,0.12699556,0.0069967707212055,0.0,99.99999752014746,0.0,0.0050912850636843
11.0,131,1,44,0,-43,0.6114025,1.1021694,0.0070325900514579,0.0,99.99999728719804,0.0,0.0047244789283118
11.5,128,1,42,0,-41,-0.87333167,0.71327406,0.0067378800328677,0.0,99.99999657496151,0.0,0.0061384434911018
12.0,127,1,41,0,-40,0.5641091,-0.458994,0.0064709595959595,0.0,99.99999741785544,0.0,0.0057889176460148
