frame,step,time_fs,(H2O)2,*OH,H*,H2,H2O,H2O2,H3O+,H3O0,H3O2-,H5O2,HO2*,O*,O2
0,0,0.0,0,12,29,5,84,0,1,0,0,1,0,1,1
1,1,0.5,0,12,29,5,84,0,1,0,0,1,0,1,1
2,2,1.0,0,12,28,5,84,0,1,0,0,1,0,1,1
3,3,1.5,0,12,27,5,84,0,1,0,0,1,0,1,1
4,4,2.0,0,12,26,5,85,0,2,0,0,0,0,1,1
5,5,2.5,0,12,26,5,85,0,2,0,0,0,0,1,1
6,6,3.0,0,12,24,5,85,0,2,0,0,0,0,1,1
7,7,3.5,0,12,25,5,85,0,2,0,0,0,0,1,1
8,8,4.0,0,12,28,5,85,0,2,0,0,0,0,1,1
9,9,4.5,0,12,29,5,85,0,2,0,0,0,0,1,1
10,10,5.0,0,12,27,6,85,0,2,0,0,0,0,1,1
11,11,5.5,0,12,28,6,86,0,1,0,0,0,0,1,1
12,12,6.0,0,12,27,6,85,0,2,0,0,0,0,1,1
13,13,6.5,0,13,29,6,85,0,1,0,0,0,0,1,1
14,14,7.0,0,13,25,7,85,0,1,0,0,0,0,1,1
15,15,7.5,0,13,24,7,85,0,1,0,0,0,0,1,1
16,16,8.0,0,12,24,6,86,0,1,0,0,0,0,1,1
17,17,8.5,0,13,26,6,85,0,1,0,0,0,0,1,1
18,18,9.0,0,13,27,6,85,0,1,0,0,0,0,1,1
19,19,9.5,0,12,26,6,86,0,1,0,0,0,0,1,1
20,20,10.0,0,12,26,6,85,0,2,0,0,0,0,1,1
21,21,10.5,0,12,26,6,86,0,1,0,0,0,0,1,1
22,22,11.0,0,11,26,6,87,0,1,0,0,0,0,1,1
23,23,11.5,0,12,27,6,86,0,1,0,0,0,0,1,1
24,24,12.0,0,12,26,6,86,0,1,0,0,0,0,1,1
25,25,12.5,0,12,26,6,86,0,1,0,0,0,0,1,1
26,26,13.0,0,12,26,5,86,0,1,0,0,0,0,1,1
27,27,13.5,0,13,27,5,85,0,1,0,0,0,0,1,1
28,28,14.0,0,13,27,5,85,0,1,0,0,0,0,1,1
29,29,14.5,0,12,25,5,86,0,1,0,0,0,0,1,1
30,30,15.0,0,12,26,5,86,0,1,0,0,0,0,1,1
31,31,15.5,0,12,26,5,86,0,1,0,0,0,0,1,1
32,32,16.0,0,12,29,5,86,0,1,0,0,0,0,1,1
33,33,16.5,0,12,29,5,86,0,1,0,0,0,0,1,1
34,34,17.0,0,12,29,5,86,0,1,0,0,0,0,1,1
35,35,17.5,0,12,23,6,86,0,1,0,0,0,0,1,1
36,36,18.0,0,12,23,6,85,0,2,0,0,0,0,1,1
37,37,18.5,0,12,24,6,86,0,1,0,0,0,0,1,1
38,38,19.0,0,12,21,6,85,0,2,0,0,0,0,1,1
39,39,19.5,0,12,20,6,85,0,2,0,0,0,0,1,1
40,40,20.0,0,12,21,6,85,0,2,0,0,0,0,1,1
41,41,20.5,0,12,20,6,84,0,3,0,0,0,0,1,1
42,42,21.0,0,13,25,6,84,0,2,0,0,0,0,1,1
43,43,21.5,0,12,25,6,85,0,2,0,0,0,0,1,1
44,44,22.0,0,12,25,6,85,0,2,0,0,0,0,1,1
45,45,22.5,0,11,23,6,86,0,2,0,0,0,0,1,1
46,46,23.0,0,11,25,6,86,0,2,0,0,0,0,1,1
47,47,23.5,0,11,27,5,86,0,2,0,0,0,0,1,1
48,48,24.0,0,11,26,5,86,0,2,0,0,0,0,1,1
49,49,24.5,0,11,24,6,86,0,2,0,0,0,0,1,1
50,50,25.0,0,11,24,6,86,0,2,0,0,0,0,1,1
51,51,25.5,0,11,25,6,86,0,2,0,0,0,0,1,1
52,52,26.0,0,12,26,6,85,0,2,0,0,0,0,1,1
53,53,26.5,0,12,26,6,85,0,2,0,0,0,0,1,1
54,54,27.0,0,12,27,6,85,0,2,0,0,0,0,1,1
55,55,27.5,0,12,28,6,85,0,2,0,0,0,0,1,1
56,56,28.0,0,11,26,6,86,0,2,0,0,0,0,1,1
57,57,28.5,0,12,27,6,85,0,2,0,0,0,0,1,1
58,58,29.0,0,12,27,6,85,0,2,0,0,0,0,1,1
59,59,29.5,0,12,25,6,85,0,2,0,0,0,0,1,1
60,60,30.0,0,12,24,6,85,0,2,0,0,0,0,1,1
61,61,30.5,0,12,26,5,85,0,2,0,0,0,0,1,1
62,62,31.0,0,13,26,6,84,0,2,0,0,0,0,1,1
63,63,31.5,0,13,24,6,84,0,2,0,0,0,0,1,1
64,64,32.0,0,13,25,6,85,0,1,0,0,0,0,1,1
65,65,32.5,0,13,24,7,85,0,1,0,0,0,0,1,1
66,66,33.0,0,13,26,7,85,0,1,0,0,0,0,1,1
67,67,33.5,0,13,25,7,85,0,1,0,0,0,0,1,1
68,68,34.0,0,14,25,7,84,0,1,0,0,0,0,1,1
69,69,34.5,0,14,25,6,83,0,2,0,0,0,0,1,1
70,70,35.0,0,14,26,6,83,0,2,0,0,0,0,1,1
71,71,35.5,0,13,23,6,84,0,2,0,0,0,0,1,1
72,72,36.0,0,12,17,8,85,0,2,0,0,0,0,1,1
73,73,36.5,0,12,18,8,85,0,2,0,0,0,0,1,1
74,74,37.0,0,11,18,8,86,0,2,0,0,0,0,1,1
75,75,37.5,0,11,18,8,85,0,1,0,0,1,0,1,1
76,76,38.0,0,11,19,8,85,0,1,0,0,1,0,1,1
77,77,38.5,0,11,19,8,85,0,1,0,0,1,0,1,1
78,78,39.0,0,10,21,6,87,0,2,0,0,0,0,1,1
79,79,39.5,0,10,22,5,87,0,2,0,0,0,0,1,1
80,80,40.0,0,10,18,7,87,0,2,0,0,0,0,1,1
