Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
0,0.0,1.166426762,298.0,-3481.921544237,-3480.755117475
1,0.5,1.195826723,305.511134569,-3481.954743906,-3480.75652701
2,1.0,1.256719753,321.068153405,-3482.019774748,-3480.759033593
3,1.5,1.306998739,333.913484248,-3482.078713783,-3480.759790639
4,2.0,1.354706589,346.101938733,-3482.117640742,-3480.758519167
5,2.5,1.39578544,356.596808932,-3482.153071257,-3480.756766852
6,3.0,1.448819218,370.145937334,-3482.208661981,-3480.756851109
7,3.5,1.520683284,388.505848239,-3482.284324152,-3480.75812854
8,4.0,1.592849766,406.943021105,-3482.362690351,-3480.758834195
9,4.5,1.645700289,420.445331215,-3482.433499477,-3480.758963502
10,5.0,1.693689897,432.705769258,-3482.495551725,-3480.759718808
11,5.5,1.718567388,439.061498268,-3482.540012522,-3480.762792001
12,6.0,1.714195863,437.944656248,-3482.542122772,-3480.759527109
13,6.5,1.763192138,450.462278727,-3482.591454458,-3480.754037302
14,7.0,1.881025826,480.566559762,-3482.731726308,-3480.76844829
15,7.5,1.904169183,486.479250306,-3482.767273584,-3480.770950622
16,8.0,1.837220954,469.375242491,-3482.679862149,-3480.752611607
17,8.5,1.85937414,475.034963028,-3482.721562445,-3480.759618218
18,9.0,1.976246044,504.893526584,-3482.855114306,-3480.765779432
19,9.5,2.048008761,523.227544829,-3482.939537027,-3480.766765219
20,10.0,2.050212704,523.790610618,-3482.947820816,-3480.764809293
21,10.5,1.995997329,509.939606611,-3482.905901991,-3480.766122207
22,11.0,1.908613869,487.614783537,-3482.818373297,-3480.760344367
23,11.5,1.898465077,485.021958966,-3482.825342483,-3480.762549538
24,12.0,1.943139818,496.435511236,-3482.889677693,-3480.770119368
25,12.5,1.887744576,482.283073558,-3482.843586974,-3480.763700657
26,13.0,1.794318232,458.414407744,-3482.755265065,-3480.759658957
27,13.5,1.719655271,439.339431935,-3482.685042922,-3480.757305538
28,14.0,1.69622866,433.354375341,-3482.666695352,-3480.757162584
29,14.5,1.71959034,439.322843183,-3482.702145729,-3480.758730002
30,15.0,1.770216308,452.256821618,-3482.767668894,-3480.760495085
31,15.5,1.82877523,467.217519751,-3482.836152924,-3480.76134624
32,16.0,1.879937931,480.288623071,-3482.891676708,-3480.76090925
33,16.5,1.90639208,487.04715842,-3482.932828729,-3480.761223883
34,17.0,1.926279082,492.127911757,-3482.96158695,-3480.761456602
35,17.5,1.942724163,496.329319333,-3482.978492079,-3480.762815142
36,18.0,1.911177146,488.269652289,-3482.966611309,-3480.76617497
37,18.5,1.846814381,471.826182076,-3482.90199864,-3480.761417631
38,19.0,1.830713607,467.712738339,-3482.890431457,-3480.759796541
39,19.5,1.871975078,478.254264731,-3482.94937064,-3480.767367031
40,20.0,1.892104217,483.396879261,-3482.970474518,-3480.761315723
41,20.5,1.934691105,494.277024727,-3483.014019847,-3480.762640343
42,21.0,1.975430212,504.68509689,-3483.062653965,-3480.769667326
43,21.5,1.972858401,504.02804763,-3483.058372151,-3480.756035651
44,22.0,2.018311955,515.640572092,-3483.140297914,-3480.770138296
45,22.5,2.030681232,518.800688535,-3483.174870273,-3480.771427915
46,23.0,1.951633216,498.605413998,-3483.102291511,-3480.763867661
47,23.5,1.87426543,478.839406213,-3483.023958478,-3480.758839363
48,24.0,1.835426755,468.916858704,-3483.000754552,-3480.764329326
49,24.5,1.806843301,461.614326266,-3482.969492934,-3480.765122414
50,25.0,1.747089686,446.34840659,-3482.912002149,-3480.761754586
51,25.5,1.693893933,432.757896668,-3482.870871748,-3480.760473795
52,26.0,1.679293811,429.027841326,-3482.863586551,-3480.762394333
53,26.5,1.67338787,427.518985046,-3482.865018325,-3480.762652098
54,27.0,1.671961106,427.154473775,-3482.865826262,-3480.762087536
55,27.5,1.677801006,428.646457744,-3482.871975491,-3480.762007912
56,28.0,1.687724839,431.181809637,-3482.884174359,-3480.761815351
57,28.5,1.700200592,434.369128966,-3482.90035597,-3480.762118343
58,29.0,1.711819898,437.337641958,-3482.917378922,-3480.762932302
59,29.5,1.711853888,437.346325947,-3482.930650956,-3480.763603906
60,30.0,1.717044306,438.672379478,-3482.935685809,-3480.763011623
61,30.5,1.720712751,439.60959809,-3482.943886488,-3480.761021398
62,31.0,1.744326394,445.642437611,-3482.985055774,-3480.762977853
63,31.5,1.789081406,457.076497709,-3483.039645468,-3480.767386498
64,32.0,1.800723288,460.050778486,-3483.059818974,-3480.762609578
65,32.5,1.839276113,469.900297009,-3483.105712066,-3480.761203623
66,33.0,1.908620308,487.616428708,-3483.190787777,-3480.76706684
67,33.5,1.948231944,497.736453151,-3483.23807963,-3480.764749539
68,34.0,1.9630665,501.526401944,-3483.263103231,-3480.762154741
69,34.5,1.987415006,507.746985295,-3483.299439398,-3480.761831737
70,35.0,2.04395325,522.191438422,-3483.359459051,-3480.761881503
71,35.5,2.130752185,544.366926353,-3483.450954385,-3480.773416212
72,36.0,2.191262301,559.826117839,-3483.529804569,-3480.778339532
73,36.5,2.171051664,554.662681944,-3483.538991874,-3480.78805374
74,37.0,1.99913882,510.742198183,-3483.376887423,-3480.784736471
75,37.5,1.844115169,471.136584181,-3483.20762099,-3480.754772252
76,38.0,1.951149929,498.481943154,-3483.350822283,-3480.777250071
77,38.5,2.135661234,545.621095608,-3483.54146068,-3480.781752104
78,39.0,2.24025974,572.344037607,-3483.658587028,-3480.777852732
79,39.5,2.28839798,584.642448462,-3483.721301253,-3480.775826656
80,40.0,2.297400396,586.942395868,-3483.743145814,-3480.778952861
81,40.5,2.219396047,567.013758368,-3483.682004108,-3480.783727839
82,41.0,2.083917621,532.401580066,-3483.53099162,-3480.763225226
83,41.5,2.06321545,527.112566629,-3483.536898665,-3480.775979236
84,42.0,2.130944174,544.415975846,-3483.603398831,-3480.778565827
85,42.5,2.137832347,546.175774085,-3483.630758877,-3480.778959884
86,43.0,2.0888497,533.661633216,-3483.601588615,-3480.778015103
87,43.5,2.00003516,510.971196207,-3483.524944963,-3480.776924869
88,44.0,1.892058392,483.385172042,-3483.423111527,-3480.77408493
89,44.5,1.818085433,464.486478542,-3483.354221476,-3480.769650771
90,45.0,1.827001221,466.764293985,-3483.367230787,-3480.775546486
91,45.5,1.847615196,472.030774965,-3483.392536956,-3480.776235778
92,46.0,1.852384159,473.249155066,-3483.403909002,-3480.774955448
93,46.5,1.855216583,473.972785901,-3483.414109232,-3480.774365138
94,47.0,1.8630525,475.974714524,-3483.432108655,-3480.774527549
95,47.5,1.893054901,483.639761106,-3483.45805995,-3480.774913376
96,48.0,1.911511929,488.35518318,-3483.486108675,-3480.775770438
97,48.5,1.916057648,489.516528449,-3483.506138106,-3480.776228303
98,49.0,1.915908873,489.478519135,-3483.516270234,-3480.774909135
99,49.5,1.925572394,491.947366388,-3483.537116529,-3480.77325507
100,50.0,1.975213174,504.629647766,-3483.590805068,-3480.774392748
101,50.5,2.03485854,519.867911811,-3483.663588997,-3480.777075686
102,51.0,2.082534718,532.048274473,-3483.718935793,-3480.7788826
103,51.5,2.073402494,529.71516386,-3483.730609052,-3480.779653128
104,52.0,2.027362876,517.952911369,-3483.69760825,-3480.776139678
105,52.5,2.018003285,515.561712613,-3483.680305464,-3480.77080779
106,53.0,2.066838735,528.038247469,-3483.746682894,-3480.774732997
107,53.5,2.146451098,548.377702143,-3483.848148902,-3480.77961833
108,54.0,2.199793301,562.005627158,-3483.910462031,-3480.781060236
109,54.5,2.177627997,556.342810637,-3483.905174579,-3480.781564878
110,55.0,2.091053422,534.22464255,-3483.832189599,-3480.779431086
111,55.5,1.970369182,503.392099382,-3483.731379668,-3480.778459924
112,56.0,1.861884531,475.676320636,-3483.629264382,-3480.776139657
113,56.5,1.800932515,460.104231976,-3483.569404175,-3480.770803688
114,57.0,1.828687901,467.195208829,-3483.609698096,-3480.776841579
115,57.5,1.884336609,481.412402321,-3483.676554313,-3480.779961683
116,58.0,1.907784716,487.402950643,-3483.710997198,-3480.778549363
117,58.5,1.910170199,488.012396436,-3483.718480688,-3480.77700884
118,59.0,1.905059902,486.706812073,-3483.716748271,-3480.776731258
119,59.5,1.8765351,479.419264165,-3483.711224892,-3480.777483556
120,60.0,1.866252882,476.79235174,-3483.696489295,-3480.776457526
121,60.5,1.866313356,476.807801765,-3483.697510228,-3480.771539047
122,61.0,1.920589983,490.674454311,-3483.767045194,-3480.777487249
123,61.5,1.975768866,504.771616402,-3483.840865638,-3480.780869191
124,62.0,1.986392334,507.485711866,-3483.863646272,-3480.78052135
125,62.5,1.951143582,498.480321617,-3483.838126077,-3480.779253909
126,63.0,1.912149397,488.51804422,-3483.7912018,-3480.775721585
127,63.5,1.895772737,484.334116916,-3483.778521904,-3480.774230464
128,64.0,1.930175857,493.123464034,-3483.820029524,-3480.778345734
129,64.5,1.96754897,502.671588398,-3483.866075828,-3480.778237925
130,65.0,2.010772757,513.714449437,-3483.910284361,-3480.777067085
131,65.5,2.045565843,522.603425545,-3483.958708118,-3480.781430995
132,66.0,2.030594442,518.778515259,-3483.9566703,-3480.782678167
133,66.5,1.988057536,507.911139521,-3483.909141189,-3480.771320902
134,67.0,2.01233893,514.114576848,-3483.939639633,-3480.779585991
135,67.5,2.019686193,515.991663771,-3483.971297633,-3480.78076966
136,68.0,1.986494451,507.511800845,-3483.958246189,-3480.779625655
137,68.5,1.912249785,488.543691446,-3483.910117007,-3480.781292046
138,69.0,1.826418494,466.615418181,-3483.822845492,-3480.775971063
139,69.5,1.793787115,458.278717307,-3483.796381327,-3480.773068415
140,70.0,1.840617261,470.242934867,-3483.854431156,-3480.78380011
141,70.5,1.830236518,467.590851227,-3483.852781162,-3480.78104273
142,71.0,1.788506682,456.92966655,-3483.814447757,-3480.775590561
143,71.5,1.780534294,454.892871975,-3483.813934513,-3480.775831608
144,72.0,1.795758377,458.78233745,-3483.850864953,-3480.779170069
145,72.5,1.822654372,465.653756218,-3483.877858507,-3480.779807932
146,73.0,1.811659065,462.844662901,-3483.879716894,-3480.779047058
147,73.5,1.79755775,459.242043248,-3483.868703348,-3480.777516865
148,74.0,1.796545473,458.983425683,-3483.871411134,-3480.776174204
149,74.5,1.819316006,464.800866669,-3483.911787016,-3480.776335197
150,75.0,1.87659246,479.433918439,-3483.985685489,-3480.779704258
151,75.5,1.930418371,493.185421969,-3484.049670004,-3480.780732264
152,76.0,1.96135364,501.088798494,-3484.089595732,-3480.779005796
153,76.5,1.984008236,506.876619773,-3484.121659181,-3480.782182353
154,77.0,1.963293534,501.584404963,-3484.106630458,-3480.785528131
155,77.5,1.88884801,482.564979933,-3484.033976062,-3480.77800405
156,78.0,1.859091208,474.962679287,-3484.019205451,-3480.784965342
157,78.5,1.83426257,468.619431464,-3484.003819773,-3480.784904541
158,79.0,1.782632248,455.428859561,-3483.959786452,-3480.782208239
159,79.5,1.74115126,444.831250796,-3483.919186466,-3480.781401691
160,80.0,1.710747241,437.063598422,-3483.897787509,-3480.785837134
161,80.5,1.695794968,433.243575284,-3483.887635145,-3480.785277776
162,81.0,1.701315853,434.654056921,-3483.897619369,-3480.785100027
163,81.5,1.7199227,439.407754981,-3483.928380157,-3480.785652055
164,82.0,1.762178496,450.203312359,-3483.971192521,-3480.786649482
165,82.5,1.78986373,457.276366724,-3484.011642563,-3480.787560538
166,83.0,1.82682126,466.718317154,-3484.037379426,-3480.788218264
167,83.5,1.823869309,465.964149523,-3484.041310991,-3480.788803364
168,84.0,1.804800607,461.092456448,-3484.021627142,-3480.788523761
