Time_ps,Z_GDS_A
2.0,30.7694751725
2.0005,30.7694751725
2.001,30.7694751725
2.0015,30.7694751725
2.002,30.7694751725
2.0025,30.7694751725
2.003,30.7694751725
2.0035,30.7694751725
2.004,30.7694751725
2.0045,30.7694751725
2.005,30.7694751725
2.0055,30.7694751725
2.006,30.7694751725
2.0065,30.7694751725
2.007,30.7694751725
2.0075,30.7694751725
2.008,30.7694751725
2.0085,30.7694751725
2.009,30.7694751725
2.0095,30.7694751725
2.01,30.7694751725
2.0105,30.7694751725
2.011,30.7694751725
2.0115,30.7694751725
2.012,24.0735272075
2.0125,30.7694751725
2.013,30.7694751725
2.0135,30.7694751725
2.014,24.0735272075
2.0145,24.0735272075
2.015,30.7694751725
2.0155,30.7694751725
2.016,30.7694751725
2.0165,30.7694751725
2.017,30.7694751725
2.0175,30.7694751725
2.018,30.7694751725
2.0185,30.7694751725
2.019,30.7694751725
2.0195,30.7694751725
2.02,30.7694751725
2.0205,30.7694751725
2.021,30.7694751725
2.0215,30.7694751725
2.022,30.7694751725
2.0225,30.7694751725
2.023,30.7694751725
2.0235,30.7694751725
2.024,30.7694751725
2.0245,30.7694751725
2.025,30.7694751725
2.0255,24.0735272075
2.026,24.0735272075
2.0265,24.0735272075
2.027,24.0735272075
2.0275,24.0735272075
2.028,30.7694751725
2.0285,30.7694751725
2.029,30.7694751725
2.0295,30.7694751725
2.03,24.0735272075
2.0305,24.0735272075
2.031,24.0735272075
2.0315,24.0735272075
2.032,24.0735272075
2.0325,30.7694751725
2.033,30.7694751725
2.0335,30.7694751725
2.034,30.7694751725
2.0345,30.7694751725
2.035,30.7694751725
2.0355,24.0735272075
2.036,24.0735272075
2.0365,24.0735272075
2.037,30.7694751725
2.0375,30.7694751725
2.038,30.7694751725
2.0385,30.7694751725
2.039,30.7694751725
2.0395,30.7694751725
2.04,30.7694751725
2.0405,30.7694751725
2.041,30.7694751725
2.0415,30.7694751725
2.042,24.0735272075
2.0425,30.7694751725
2.043,30.7694751725
2.0435,30.7694751725
2.044,30.7694751725
2.0445,24.0735272075
2.045,24.0735272075
2.0455,24.0735272075
2.046,24.0735272075
2.0465,24.0735272075
2.047,24.0735272075
2.0475,24.0735272075
2.048,24.0735272075
2.0485,24.0735272075
2.049,24.0735272075
2.0495,24.0735272075
2.05,24.0735272075
2.0505,24.0735272075
2.051,24.0735272075
2.0515,24.0735272075
2.052,24.0735272075
2.0525,24.0735272075
2.053,24.0735272075
2.0535,24.0735272075
2.054,24.0735272075
2.0545,24.0735272075
2.055,24.0735272075
2.0555,24.0735272075
2.056,24.0735272075
2.0565,24.0735272075
2.057,30.4506205075
2.0575,24.0735272075
2.058,24.0735272075
2.0585,30.7694751725
2.059,30.7694751725
2.0595,30.7694751725
2.06,30.7694751725
2.0605,30.7694751725
2.061,30.7694751725
2.0615,30.7694751725
2.062,30.7694751725
2.0625,30.7694751725
2.063,30.7694751725
2.0635,30.7694751725
2.064,24.392381872499996
2.0645,24.392381872499996
2.065,24.392381872499996
2.0655,24.0735272075
2.066,24.0735272075
2.0665,24.0735272075
2.067,24.0735272075
2.0675,24.0735272075
2.068,24.0735272075
2.0685,24.0735272075
2.069,24.0735272075
2.0695,24.0735272075
2.07,24.0735272075
2.0705,24.0735272075
2.071,24.0735272075
2.0715,24.0735272075
2.072,24.0735272075
2.0725,24.0735272075
2.073,24.0735272075
2.0735,24.0735272075
2.074,24.0735272075
2.0745,24.0735272075
2.075,24.0735272075
2.0755,24.0735272075
2.076,24.0735272075
2.0765,30.7694751725
2.077,30.7694751725
2.0775,30.7694751725
2.078,30.7694751725
2.0785,30.7694751725
2.079,30.7694751725
2.0795,30.7694751725
2.08,30.7694751725
2.0805,30.7694751725
2.081,30.7694751725
2.0815,30.7694751725
2.082,30.7694751725
2.0825,30.7694751725
2.083,30.7694751725
2.0835,30.7694751725
2.084,30.7694751725
2.0845,30.7694751725
2.085,30.7694751725
2.0855,30.7694751725
2.086,24.0735272075
2.0865,30.7694751725
2.087,30.7694751725
2.0875,24.0735272075
2.088,24.0735272075
2.0885,24.0735272075
2.089,30.7694751725
2.0895,30.7694751725
2.09,30.7694751725
2.0905,30.7694751725
2.091,24.0735272075
2.0915,24.0735272075
2.092,24.0735272075
2.0925,24.0735272075
2.093,24.0735272075
2.0935,24.0735272075
2.094,24.0735272075
2.0945,24.0735272075
2.095,24.0735272075
2.0955,24.0735272075
2.096,24.0735272075
2.0965,24.0735272075
2.097,24.0735272075
2.0975,24.0735272075
2.098,24.0735272075
2.0985,24.0735272075
2.099,24.0735272075
2.0995,24.0735272075
2.1,24.0735272075
2.1005,24.0735272075
2.101,24.0735272075
2.1015,24.0735272075
2.102,24.0735272075
2.1025,24.0735272075
2.103,24.0735272075
2.1035,24.0735272075
2.104,24.0735272075
2.1045,24.0735272075
2.105,24.0735272075
2.1055,24.0735272075
2.106,24.0735272075
2.1065,24.0735272075
2.107,24.0735272075
2.1075,24.0735272075
2.108,24.0735272075
2.1085,30.7694751725
2.109,24.0735272075
2.1095,24.0735272075
2.11,24.0735272075
2.1105,24.0735272075
2.111,24.0735272075
2.1115,24.0735272075
2.112,24.0735272075
2.1125,24.0735272075
2.113,24.0735272075
2.1135,24.0735272075
2.114,24.0735272075
2.1145,24.0735272075
2.115,24.0735272075
2.1155,24.0735272075
2.116,24.0735272075
2.1165,24.0735272075
2.117,24.0735272075
2.1175,30.4506205075
2.118,30.4506205075
2.1185,24.0735272075
2.119,24.0735272075
2.1195,24.0735272075
2.12,24.0735272075
2.1205,24.0735272075
2.121,24.0735272075
2.1215,24.0735272075
2.122,30.4506205075
2.1225,30.4506205075
2.123,30.4506205075
2.1235,30.4506205075
2.124,30.4506205075
2.1245,24.0735272075
2.125,24.0735272075
2.1255,24.0735272075
2.126,24.0735272075
2.1265,30.4506205075
2.127,24.0735272075
2.1275,24.0735272075
2.128,24.0735272075
2.1285,24.0735272075
2.129,30.4506205075
2.1295,30.4506205075
2.13,30.7694751725
2.1305,30.7694751725
2.131,30.7694751725
2.1315,30.7694751725
2.132,30.7694751725
2.1325,30.7694751725
2.133,24.0735272075
2.1335,24.0735272075
2.134,24.0735272075
2.1345,24.0735272075
2.135,24.0735272075
2.1355,30.7694751725
2.136,30.7694751725
2.1365,24.0735272075
2.137,24.0735272075
2.1375,24.0735272075
2.138,24.0735272075
2.1385,24.0735272075
2.139,24.0735272075
2.1395,24.0735272075
2.14,24.0735272075
2.1405,24.0735272075
2.141,24.0735272075
2.1415,30.4506205075
2.142,30.4506205075
2.1425,24.0735272075
2.143,24.0735272075
2.1435,24.0735272075
2.144,24.0735272075
2.1445,24.0735272075
2.145,24.0735272075
2.1455,24.0735272075
2.146,24.0735272075
2.1465,24.0735272075
2.147,24.0735272075
2.1475,24.0735272075
2.148,24.0735272075
2.1485,24.0735272075
2.149,24.0735272075
2.1495,24.0735272075
2.15,24.0735272075
2.1505,24.0735272075
2.151,24.0735272075
2.1515,24.0735272075
2.152,24.0735272075
2.1525,24.0735272075
2.153,24.0735272075
2.1535,24.0735272075
2.154,24.0735272075
2.1545,24.0735272075
2.155,24.0735272075
2.1555,24.0735272075
2.156,24.0735272075
2.1565,24.0735272075
2.157,24.0735272075
2.1575,24.0735272075
2.158,24.0735272075
2.1585,24.0735272075
2.159,24.0735272075
2.1595,24.0735272075
2.16,24.0735272075
2.1605,24.0735272075
2.161,24.0735272075
2.1615,24.0735272075
2.162,24.0735272075
2.1625,24.0735272075
2.163,24.0735272075
2.1635,24.0735272075
2.164,24.0735272075
2.1645,24.0735272075
2.165,24.0735272075
2.1655,24.0735272075
2.166,24.0735272075
2.1665,24.0735272075
2.167,24.0735272075
2.1675,24.0735272075
2.168,24.0735272075
2.1685,24.0735272075
2.169,24.0735272075
2.1695,24.0735272075
2.17,24.0735272075
2.1705,24.0735272075
2.171,30.4506205075
2.1715,30.4506205075
2.172,30.4506205075
2.1725,30.4506205075
2.173,30.4506205075
2.1735,30.4506205075
2.174,30.4506205075
2.1745,30.4506205075
2.175,30.4506205075
2.1755,30.4506205075
2.176,24.0735272075
2.1765,24.0735272075
2.177,30.4506205075
2.1775,30.4506205075
2.178,30.4506205075
2.1785,30.4506205075
2.179,24.0735272075
2.1795,30.4506205075
2.18,30.4506205075
2.1805,30.4506205075
2.181,24.0735272075
2.1815,24.0735272075
2.182,24.0735272075
2.1825,24.0735272075
2.183,24.0735272075
2.1835,24.0735272075
2.184,24.0735272075
2.1845,24.0735272075
2.185,24.0735272075
2.1855,24.0735272075
2.186,24.0735272075
2.1865,24.0735272075
2.187,24.0735272075
2.1875,30.4506205075
2.188,24.0735272075
2.1885,30.4506205075
2.189,30.4506205075
2.1895,30.4506205075
2.19,24.0735272075
2.1905,24.0735272075
2.191,24.0735272075
2.1915,24.0735272075
2.192,24.0735272075
2.1925,30.4506205075
2.193,30.4506205075
2.1935,30.4506205075
2.194,24.0735272075
2.1945,24.0735272075
2.195,24.0735272075
2.1955,24.0735272075
2.196,24.0735272075
2.1965,24.0735272075
2.197,24.0735272075
2.1975,24.0735272075
2.198,24.0735272075
2.1985,24.0735272075
2.199,30.4506205075
2.1995,24.0735272075
2.2,24.0735272075
2.2005,24.0735272075
2.201,24.0735272075
2.2015,24.0735272075
2.202,24.0735272075
2.2025,24.0735272075
2.203,24.0735272075
2.2035,24.0735272075
2.204,24.0735272075
2.2045,24.0735272075
2.205,24.0735272075
2.2055,30.4506205075
2.206,30.4506205075
2.2065,30.4506205075
2.207,30.4506205075
2.2075,24.0735272075
2.208,30.4506205075
2.2085,24.0735272075
2.209,24.0735272075
2.2095,24.0735272075
2.21,24.0735272075
2.2105,30.4506205075
2.211,30.4506205075
2.2115,30.4506205075
2.212,30.4506205075
2.2125,30.4506205075
2.213,30.4506205075
2.2135,30.4506205075
2.214,30.4506205075
2.2145,30.4506205075
2.215,24.0735272075
2.2155,24.0735272075
2.216,30.4506205075
2.2165,30.4506205075
2.217,30.4506205075
2.2175,30.4506205075
2.218,30.4506205075
2.2185,30.4506205075
2.219,30.4506205075
2.2195,30.4506205075
