time_fs,time_ps,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic
2000.0,2.0,157,1,59,0,-58
2000.5,2.0005,158,1,59,0,-58
2001.0,2.001,157,1,59,0,-58
2001.5,2.0015,157,1,59,0,-58
2002.0,2.002,154,1,58,0,-57
2002.5,2.0025,155,1,59,0,-58
2003.0,2.003,155,1,59,0,-58
2003.5,2.0035,155,1,59,0,-58
2004.0,2.004,155,1,59,0,-58
2004.5,2.0045,154,1,58,0,-57
2005.0,2.005,155,1,59,0,-58
2005.5,2.0055,155,1,59,0,-58
2006.0,2.006,153,1,59,0,-58
2006.5,2.0065,155,1,61,0,-60
2007.0,2.007,153,1,59,0,-58
2007.5,2.0075,152,1,58,0,-57
2008.0,2.008,152,1,58,0,-57
2008.5,2.0085,153,1,59,0,-58
2009.0,2.009,153,1,59,0,-58
2009.5,2.0095,153,1,59,0,-58
2010.0,2.01,153,1,59,0,-58
2010.5,2.0105,154,1,60,0,-59
2011.0,2.011,155,1,61,0,-60
2011.5,2.0115,155,1,61,0,-60
2012.0,2.012,158,1,62,0,-61
2012.5,2.0125,158,1,62,0,-61
2013.0,2.013,158,1,62,0,-61
2013.5,2.0135,159,1,63,0,-62
2014.0,2.014,159,1,62,0,-61
2014.5,2.0145,160,1,63,0,-62
2015.0,2.015,161,1,64,0,-63
2015.5,2.0155,160,1,63,0,-62
2016.0,2.016,161,1,62,0,-61
2016.5,2.0165,161,1,62,0,-61
2017.0,2.017,159,1,61,0,-60
2017.5,2.0175,159,1,60,0,-59
2018.0,2.018,158,1,59,0,-58
2018.5,2.0185,158,1,59,0,-58
2019.0,2.019,160,1,61,0,-60
2019.5,2.0195,158,1,59,0,-58
2020.0,2.02,157,1,58,0,-57
2020.5,2.0205,159,1,59,0,-58
2021.0,2.021,158,1,58,0,-57
2021.5,2.0215,159,1,58,0,-57
2022.0,2.022,162,1,61,0,-60
2022.5,2.0225,164,1,63,0,-62
2023.0,2.023,164,1,63,0,-62
2023.5,2.0235,164,1,63,0,-62
2024.0,2.024,164,1,63,0,-62
2024.5,2.0245,165,1,63,0,-62
2025.0,2.025,166,1,63,0,-62
2025.5,2.0255,166,1,63,0,-62
2026.0,2.026,165,1,62,0,-61
2026.5,2.0265,165,1,62,0,-61
2027.0,2.027,166,1,63,0,-62
2027.5,2.0275,166,1,63,0,-62
2028.0,2.028,165,1,62,0,-61
2028.5,2.0285,166,1,63,0,-62
2029.0,2.029,165,1,62,0,-61
2029.5,2.0295,165,1,62,0,-61
2030.0,2.03,165,1,61,0,-60
2030.5,2.0305,165,1,61,0,-60
2031.0,2.031,164,1,61,0,-60
2031.5,2.0315,164,1,61,0,-60
2032.0,2.032,164,1,61,0,-60
2032.5,2.0325,165,1,62,0,-61
2033.0,2.033,165,1,62,0,-61
2033.5,2.0335,165,1,62,0,-61
2034.0,2.034,166,1,63,0,-62
2034.5,2.0345,166,1,63,0,-62
2035.0,2.035,166,1,63,0,-62
2035.5,2.0355,166,1,63,0,-62
2036.0,2.036,167,1,64,0,-63
2036.5,2.0365,167,1,64,0,-63
2037.0,2.037,166,1,64,0,-63
2037.5,2.0375,165,1,64,0,-63
2038.0,2.038,164,1,64,0,-63
2038.5,2.0385,164,1,64,0,-63
2039.0,2.039,162,1,62,0,-61
2039.5,2.0395,163,1,63,0,-62
2040.0,2.04,163,1,62,0,-61
2040.5,2.0405,163,1,62,0,-61
2041.0,2.041,163,1,62,0,-61
2041.5,2.0415,163,1,63,0,-62
2042.0,2.042,163,1,63,0,-62
2042.5,2.0425,162,1,62,0,-61
2043.0,2.043,163,1,63,0,-62
2043.5,2.0435,164,1,64,0,-63
2044.0,2.044,164,1,64,0,-63
2044.5,2.0445,164,1,64,0,-63
2045.0,2.045,163,1,63,0,-62
2045.5,2.0455,162,1,62,0,-61
2046.0,2.046,160,1,61,0,-60
2046.5,2.0465,159,1,60,0,-59
2047.0,2.047,159,1,60,0,-59
2047.5,2.0475,158,1,59,0,-58
2048.0,2.048,159,1,58,0,-57
2048.5,2.0485,160,1,59,0,-58
2049.0,2.049,160,1,59,0,-58
2049.5,2.0495,159,1,58,0,-57
2050.0,2.05,159,1,58,0,-57
2050.5,2.0505,160,1,59,0,-58
2051.0,2.051,162,1,60,0,-59
2051.5,2.0515,163,1,61,0,-60
2052.0,2.052,162,1,61,0,-60
2052.5,2.0525,161,1,60,0,-59
2053.0,2.053,161,1,60,0,-59
2053.5,2.0535,162,1,60,0,-59
2054.0,2.054,162,1,60,0,-59
2054.5,2.0545,163,1,61,0,-60
2055.0,2.055,161,1,60,0,-59
2055.5,2.0555,160,1,59,0,-58
2056.0,2.056,161,1,60,0,-59
2056.5,2.0565,160,1,59,0,-58
2057.0,2.057,160,1,59,0,-58
2057.5,2.0575,160,1,60,0,-59
2058.0,2.058,160,1,60,0,-59
2058.5,2.0585,160,1,60,0,-59
2059.0,2.059,160,1,60,0,-59
2059.5,2.0595,163,1,63,0,-62
2060.0,2.06,163,1,64,0,-63
2060.5,2.0605,163,1,64,0,-63
2061.0,2.061,163,1,64,0,-63
2061.5,2.0615,163,1,64,0,-63
