frame_idx,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.10310902,0.20141548,0.41163567,0.03655698,0.1654521,-0.0054281233,-0.06904529,-0.028971381,-0.40400648,-0.47548082,-0.23128508,0.28949943,-0.091942154,-0.3042045,0.19098003,0.061084922,0.32866636,0.40334514,-0.60929364,-0.112260684,0.32273677,0.2572831,-0.92394066,-0.22910857,0.17216656,-0.34622848,-0.16305445,0.0048761903,0.21375778,0.101722345,0.20028722,0.24724498
1,-0.29887763,0.23884122,0.62745905,-0.07523005,0.10023224,0.20145036,-0.30290464,-0.26350653,0.17174558,-0.049067326,-0.49982646,0.6827921,-0.096299835,-0.28268102,0.39189115,0.10270075,0.4949688,-0.050135702,-0.2550467,0.026742646,0.3864036,-0.15742052,-0.26028913,-0.30411494,0.10846985,0.08088643,-0.17929018,0.03520571,0.51840156,-0.25124624,0.3576839,0.27622354
2,-0.2755177,0.031329304,0.51379347,-0.12561433,0.16995992,0.26467922,0.022106642,-0.4203265,-0.23533341,-0.46056262,-0.23079784,0.2701297,0.004299545,0.021578643,-0.32072735,-0.08666189,0.27342287,0.14579757,-0.33814543,-0.016316835,0.21263751,-0.25061664,-0.44344947,-0.8599252,0.30665234,-0.11312054,0.00987529,0.1680127,0.26801625,0.108904414,-0.5883619,0.10612769
3,-0.2755177,0.031329304,0.51379347,-0.12561433,0.16995992,0.26467922,0.022106642,-0.4203265,-0.23533341,-0.46056262,-0.23079784,0.2701297,0.004299545,0.021578643,-0.32072735,-0.08666189,0.27342287,0.14579757,-0.33814543,-0.016316835,0.21263751,-0.25061664,-0.44344947,-0.8599252,0.30665234,-0.11312054,0.00987529,0.1680127,0.26801625,0.108904414,-0.5883619,0.10612769
4,-0.37718156,0.23140068,0.25149447,0.46458778,0.23292746,-0.66509247,0.32038197,-0.30165675,-0.34627083,-0.2104229,0.11858415,0.7002196,0.17197183,-0.024376912,0.05901522,-0.2787849,-0.19962165,0.17743157,0.21170071,0.29385704,0.024269802,0.20582002,-0.31447265,0.03651138,-0.03588291,0.0076681226,-0.6483098,0.2260423,0.35280097,0.22783056,-0.1602317,0.18384215
5,-0.08532836,0.055826176,0.0051364903,0.36786962,-0.05907479,-0.06077102,0.059200376,-0.27767223,-0.12167528,-0.13984267,0.08298734,0.32578298,-0.3714405,0.08035966,0.21732965,-0.07857557,-0.20807758,0.028409433,-0.10503722,0.2959631,0.7085877,-0.018490916,-0.655673,0.08658394,0.49889624,-0.28079867,-0.15041831,0.32263353,0.49791253,0.5142175,-0.13814701,0.4608795
6,-0.08532836,0.055826176,0.0051364903,0.36786962,-0.05907479,-0.06077102,0.059200376,-0.27767223,-0.12167528,-0.13984267,0.08298734,0.32578298,-0.3714405,0.08035966,0.21732965,-0.07857557,-0.20807758,0.028409433,-0.10503722,0.2959631,0.7085877,-0.018490916,-0.655673,0.08658394,0.49889624,-0.28079867,-0.15041831,0.32263353,0.49791253,0.5142175,-0.13814701,0.4608795
7,-0.08532836,0.055826176,0.0051364903,0.36786962,-0.05907479,-0.06077102,0.059200376,-0.27767223,-0.12167528,-0.13984267,0.08298734,0.32578298,-0.3714405,0.08035966,0.21732965,-0.07857557,-0.20807758,0.028409433,-0.10503722,0.2959631,0.7085877,-0.018490916,-0.655673,0.08658394,0.49889624,-0.28079867,-0.15041831,0.32263353,0.49791253,0.5142175,-0.13814701,0.4608795
8,-0.08532836,0.055826176,0.0051364903,0.36786962,-0.05907479,-0.06077102,0.059200376,-0.27767223,-0.12167528,-0.13984267,0.08298734,0.32578298,-0.3714405,0.08035966,0.21732965,-0.07857557,-0.20807758,0.028409433,-0.10503722,0.2959631,0.7085877,-0.018490916,-0.655673,0.08658394,0.49889624,-0.28079867,-0.15041831,0.32263353,0.49791253,0.5142175,-0.13814701,0.4608795
9,-0.25992784,0.026094757,0.41638488,0.2295821,-0.08878389,-0.1963502,0.24744895,-0.061885588,-0.3352073,-0.5477003,0.034684684,0.16818063,0.07217173,0.075580284,-0.24404033,-0.083920315,0.07404314,-0.072981134,-0.2050876,0.19070083,0.44979733,0.011435815,-0.59784913,-0.09055305,0.52825874,-0.37399346,-0.49130595,0.511133,0.17545423,0.03355599,-0.31524464,0.5026012
10,-0.083529636,-0.02360899,0.659963,0.09039599,0.27856964,-0.17815064,0.112207964,-0.14922222,-0.06295159,-0.061869957,-0.3006975,0.036284782,-0.5355182,-0.1793509,-0.24558997,-0.27680615,0.015623697,0.24109735,-0.23679028,-0.07602895,0.07202903,-0.44792345,-0.16551812,-0.56001395,0.49750727,-0.5431113,0.032947317,0.12550946,0.4772909,0.26847145,0.22883666,0.55884
11,-0.5135376,0.26177606,0.4163885,0.10960943,0.18472648,-0.6972554,0.0392835,-0.06562957,-0.2646545,-0.014954159,0.2220067,0.02527251,0.06884288,-0.40376654,-0.27703166,-0.5636985,-0.015918847,0.5145273,-0.13586707,-0.283168,-0.467691,-0.060365725,-0.60375357,-0.003651552,0.16333131,-0.11113181,-0.0542205,-0.10199469,0.4788697,0.14756322,0.067530565,-0.024715833
12,0.16164196,-0.16538517,0.20105317,0.2666543,0.22598167,-0.02348673,0.37833297,-0.22292954,-0.14694445,-0.6212777,-0.43317947,0.3689479,-0.032362003,0.095480055,-0.24133907,0.06916539,0.44454682,0.17688212,0.039714456,0.17435066,0.44767126,0.047534462,-0.30500764,-0.099368855,0.6070798,-0.5861329,0.03301206,0.38866502,-0.022823678,0.0969201,-0.4684528,0.058134306
13,-0.016373543,-0.11765003,0.26659697,0.31635195,0.5612956,-0.27512607,0.19180973,-0.04358722,-0.26812223,-0.47454542,-0.28858927,0.2315798,0.08701442,0.22931054,-0.09080421,0.07467292,-0.019729417,-0.023673287,-0.01953717,-0.007344556,0.43419,-0.29560536,-0.5600643,0.17893732,0.4692396,-0.51595,-0.3227815,-0.033708706,0.3276774,0.36369905,0.123915374,0.56291044
14,-0.18052372,0.09265717,0.009591536,0.311612,-0.052145105,-0.6428216,0.25759676,-0.023040736,-0.061766956,-0.205435,-0.41544795,0.33247745,-0.16844809,-0.1779318,-0.017593129,-0.071259305,0.3364992,0.6590236,-0.14240961,-0.27934527,-0.30845863,-0.14277376,-0.7485742,-0.4423539,0.08336939,-0.37851188,0.04186965,0.033263307,0.47333264,0.24292569,-0.11956065,0.16274796
