frame,step,time_fs,(H2O)2,*OH,H*,H2,H2O,H2O2,H3O+,H3O2-,H5O2,HO2*,O*,O2
4000,4000,2000.0,0,2,3,8,94,1,0,0,1,0,0,1
4001,4001,2000.5,0,2,3,8,95,1,1,0,0,0,0,1
4002,4002,2001.0,0,2,4,8,95,1,1,0,0,0,0,1
4003,4003,2001.5,0,2,4,8,95,1,1,0,0,0,0,1
4004,4004,2002.0,0,2,4,8,95,1,1,0,0,0,0,1
4005,4005,2002.5,0,2,1,8,95,1,1,0,0,0,0,1
4006,4006,2003.0,0,2,1,8,95,1,1,0,0,0,0,1
4007,4007,2003.5,0,2,1,8,95,1,1,0,0,0,0,1
4008,4008,2004.0,0,2,1,8,95,1,1,0,0,0,0,1
4009,4009,2004.5,0,2,2,8,95,1,1,0,0,0,0,1
4010,4010,2005.0,0,2,5,8,95,1,1,0,0,0,0,1
4011,4011,2005.5,0,2,5,8,95,1,1,0,0,0,0,1
4012,4012,2006.0,0,2,5,8,95,1,1,0,0,0,0,1
4013,4013,2006.5,0,2,5,8,95,1,1,0,0,0,0,1
4014,4014,2007.0,0,2,5,8,95,1,1,0,0,0,0,1
4015,4015,2007.5,0,2,5,8,95,1,1,0,0,0,0,1
4016,4016,2008.0,0,2,5,8,95,1,1,0,0,0,0,1
4017,4017,2008.5,0,2,4,8,95,1,1,0,0,0,0,1
4018,4018,2009.0,0,2,3,8,95,1,1,0,0,0,0,1
4019,4019,2009.5,0,2,4,8,95,1,1,0,0,0,0,1
4020,4020,2010.0,0,2,4,8,95,1,1,0,0,0,0,1
4021,4021,2010.5,0,2,3,8,95,1,1,0,0,0,0,1
4022,4022,2011.0,0,2,3,8,95,1,1,0,0,0,0,1
4023,4023,2011.5,0,2,3,8,95,1,1,0,0,0,0,1
4024,4024,2012.0,0,2,3,8,95,1,1,0,0,0,0,1
4025,4025,2012.5,0,2,4,8,94,1,0,0,1,0,0,1
4026,4026,2013.0,0,2,4,8,94,1,0,0,1,0,0,1
4027,4027,2013.5,0,4,3,8,94,0,0,0,1,0,0,1
4028,4028,2014.0,0,4,1,8,94,0,0,0,1,0,0,1
4029,4029,2014.5,0,4,1,8,95,0,1,0,0,0,0,1
4030,4030,2015.0,0,4,1,8,95,0,1,0,0,0,0,1
4031,4031,2015.5,0,4,2,8,95,0,1,0,0,0,0,1
4032,4032,2016.0,0,4,2,8,95,0,1,0,0,0,0,1
4033,4033,2016.5,0,4,2,8,95,0,1,0,0,0,0,1
4034,4034,2017.0,0,4,2,8,95,0,1,0,0,0,0,1
4035,4035,2017.5,0,4,2,8,95,0,1,0,0,0,0,1
4036,4036,2018.0,0,4,1,8,95,0,1,0,0,0,0,1
4037,4037,2018.5,0,4,1,8,95,0,1,0,0,0,0,1
4038,4038,2019.0,0,4,1,8,95,0,1,0,0,0,0,1
4039,4039,2019.5,0,4,1,8,95,0,1,0,0,0,0,1
4040,4040,2020.0,0,4,1,8,95,0,1,0,0,0,0,1
4041,4041,2020.5,0,4,1,8,95,0,1,0,0,0,0,1
4042,4042,2021.0,0,4,2,8,95,0,1,0,0,0,0,1
4043,4043,2021.5,0,4,3,8,95,0,1,0,0,0,0,1
4044,4044,2022.0,0,4,3,8,95,0,1,0,0,0,0,1
4045,4045,2022.5,0,4,3,8,95,0,1,0,0,0,0,1
4046,4046,2023.0,0,4,3,8,95,0,1,0,0,0,0,1
4047,4047,2023.5,0,4,4,8,95,0,1,0,0,0,0,1
4048,4048,2024.0,0,4,5,8,95,0,1,0,0,0,0,1
4049,4049,2024.5,0,4,4,8,95,0,1,0,0,0,0,1
4050,4050,2025.0,0,4,3,8,95,0,1,0,0,0,0,1
4051,4051,2025.5,0,4,4,8,96,0,0,0,0,0,0,1
4052,4052,2026.0,0,4,3,8,96,0,0,0,0,0,0,1
