Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
4000,2000.0,1.247856587,318.80378184,-3487.131338714,-3480.692490458
4001,2000.5,1.250532077,319.487318921,-3487.127999717,-3480.692307559
4002,2001.0,1.237244735,316.09265413,-3487.122860011,-3480.692235654
4003,2001.5,1.225246372,313.027299164,-3487.11683455,-3480.692175986
4004,2002.0,1.228632807,313.892469307,-3487.111195005,-3480.692059215
4005,2002.5,1.225707378,313.145077522,-3487.107505887,-3480.691923566
4006,2003.0,1.219989948,311.684382205,-3487.107427944,-3480.691921776
4007,2003.5,1.228216272,313.786052558,-3487.110802194,-3480.692195332
4008,2004.0,1.231542103,314.635739476,-3487.113452016,-3480.692533132
4009,2004.5,1.223863815,312.674081973,-3487.110219745,-3480.692641609
4010,2005.0,1.206405103,308.213710977,-3487.099717157,-3480.692497051
4011,2005.5,1.194218018,305.100140924,-3487.084275579,-3480.692245071
4012,2006.0,1.181717539,301.906504665,-3487.067975245,-3480.691967212
4013,2006.5,1.164139161,297.415561232,-3487.054914081,-3480.69172957
4014,2007.0,1.151423598,294.166975092,-3487.048798115,-3480.691616704
4015,2007.5,1.159094205,296.12667039,-3487.051476338,-3480.691680613
4016,2008.0,1.167738924,298.335232694,-3487.061685332,-3480.69187524
4017,2008.5,1.182434513,302.089677877,-3487.076351938,-3480.692061343
4018,2009.0,1.196813394,305.763210334,-3487.091885554,-3480.692390109
4019,2009.5,1.196999349,305.810718546,-3487.102757003,-3480.692743829
4020,2010.0,1.197295046,305.886263335,-3487.10398218,-3480.692637772
4021,2010.5,1.189231372,303.826146991,-3487.09703643,-3480.692093761
4022,2011.0,1.170720532,299.096977188,-3487.089211838,-3480.691690394
4023,2011.5,1.162550815,297.009768709,-3487.085969606,-3480.691717105
4024,2012.0,1.15449757,294.952316995,-3487.086598051,-3480.691894044
4025,2012.5,1.158608902,296.002684469,-3487.08813066,-3480.691947519
4026,2013.0,1.156515398,295.467833724,-3487.089366961,-3480.691850657
4027,2013.5,1.164341107,297.467154611,-3487.0911191,-3480.691744686
4028,2014.0,1.166907207,298.122744602,-3487.094217238,-3480.69176308
4029,2014.5,1.168370088,298.496483172,-3487.098307799,-3480.691837482
4030,2015.0,1.175042123,300.201061911,-3487.10226648,-3480.691875537
4031,2015.5,1.17107641,299.187897234,-3487.105526095,-3480.691941785
4032,2016.0,1.168260252,298.468422012,-3487.107404717,-3480.692126597
4033,2016.5,1.16197114,296.861672728,-3487.105774981,-3480.692304452
4034,2017.0,1.15417233,294.869224225,-3487.098531664,-3480.692300779
4035,2017.5,1.144066871,292.287470436,-3487.086280547,-3480.69203781
4036,2018.0,1.126434245,287.782667499,-3487.073780246,-3480.691543687
4037,2018.5,1.119560342,286.026515201,-3487.069249419,-3480.691144526
4038,2019.0,1.131857612,289.168235481,-3487.078329705,-3480.691401526
4039,2019.5,1.147166574,293.079385868,-3487.096854307,-3480.69206277
4040,2020.0,1.16552914,297.770674478,-3487.114408693,-3480.692457927
4041,2020.5,1.177619145,300.859442356,-3487.123715743,-3480.692461598
4042,2021.0,1.178490673,301.082101331,-3487.123527523,-3480.69224336
4043,2021.5,1.175102269,300.216428078,-3487.115538236,-3480.691952083
4044,2022.0,1.16107881,296.633699348,-3487.103093823,-3480.691601157
4045,2022.5,1.155317553,295.161807056,-3487.090377624,-3480.691250028
4046,2023.0,1.145580101,292.674071972,-3487.081556139,-3480.691049421
4047,2023.5,1.145238787,292.586872859,-3487.079111164,-3480.690992789
4048,2024.0,1.147516744,293.168847655,-3487.083521035,-3480.690985276
4049,2024.5,1.15894912,296.089603783,-3487.094595739,-3480.691084159
4050,2025.0,1.16931472,298.737818662,-3487.110768757,-3480.69140206
4051,2025.5,1.191569176,304.423411876,-3487.127497777,-3480.691816507
4052,2026.0,1.195244725,305.362445137,-3487.139120083,-3480.692086295
4053,2026.5,1.196537517,305.692728947,-3487.142209998,-3480.692194329
4054,2027.0,1.180395635,301.568783274,-3487.136270371,-3480.692028421
4055,2027.5,1.16901059,298.66011933,-3487.125362045,-3480.691418161
4056,2028.0,1.158111223,295.875537075,-3487.118829195,-3480.690807416
4057,2028.5,1.159597687,296.255300547,-3487.125391222,-3480.69086209
4058,2029.0,1.180026604,301.474502863,-3487.144197468,-3480.691452035
4059,2029.5,1.20864418,308.785752788,-3487.166300758,-3480.69195993
4060,2030.0,1.224961889,312.954619042,-3487.18318391,-3480.69213625
4061,2030.5,1.227978297,313.72525435,-3487.191021908,-3480.692107646
4062,2031.0,1.234317814,315.344881255,-3487.189459242,-3480.692025736
4063,2031.5,1.223783921,312.6536706,-3487.179593468,-3480.691953232
4064,2032.0,1.203019684,307.34880019,-3487.163069557,-3480.691822669
4065,2032.5,1.179959989,301.457483968,-3487.142783607,-3480.691568934
4066,2033.0,1.161366067,296.707088225,-3487.123541008,-3480.691177589
4067,2033.5,1.152176781,294.359399085,-3487.111786449,-3480.6908193
4068,2034.0,1.153592146,294.72099827,-3487.112851076,-3480.69092628
4069,2034.5,1.162778412,297.067915639,-3487.125075157,-3480.691534553
4070,2035.0,1.177093293,300.725097319,-3487.139422233,-3480.692094069
4071,2035.5,1.183542037,302.372629441,-3487.147123469,-3480.692251113
4072,2036.0,1.17231011,299.503084354,-3487.145349447,-3480.692082318
4073,2036.5,1.157036124,295.600869394,-3487.136574558,-3480.691769274
4074,2037.0,1.150190175,293.85185895,-3487.126030773,-3480.691348723
4075,2037.5,1.15152807,294.193665719,-3487.119948049,-3480.690979705
4076,2038.0,1.148581768,293.440941138,-3487.123428086,-3480.690931943
4077,2038.5,1.162070969,296.887177275,-3487.137391249,-3480.691123445
4078,2039.0,1.186637457,303.16345079,-3487.158677803,-3480.691412072
4079,2039.5,1.208528517,308.756203029,-3487.181965502,-3480.69176092
4080,2040.0,1.229960208,314.231595164,-3487.200912166,-3480.692119083
4081,2040.5,1.239052099,316.554401645,-3487.209635036,-3480.692258293
4082,2041.0,1.229776689,314.18470961,-3487.206112728,-3480.692057802
4083,2041.5,1.226057339,313.234485877,-3487.193339795,-3480.691677321
4084,2042.0,1.207170838,308.409341693,-3487.17711382,-3480.69136555
4085,2042.5,1.194561923,305.188002084,-3487.162825075,-3480.691164335
4086,2043.0,1.185385476,302.843593309,-3487.153960811,-3480.691076564
4087,2043.5,1.178977506,301.206478049,-3487.151601381,-3480.691276983
4088,2044.0,1.180660676,301.636496161,-3487.152758109,-3480.691694418
4089,2044.5,1.178842406,301.171962428,-3487.151392695,-3480.69205567
4090,2045.0,1.166324954,297.973990004,-3487.142511689,-3480.692090302
4091,2045.5,1.143988917,292.267554709,-3487.125608634,-3480.691744215
4092,2046.0,1.128487936,288.30734676,-3487.106000647,-3480.691095215
4093,2046.5,1.110968689,283.831510099,-3487.09343183,-3480.690551103
4094,2047.0,1.112336914,284.181065799,-3487.095834415,-3480.69065677
4095,2047.5,1.129646817,288.603419013,-3487.112129012,-3480.691251854
4096,2048.0,1.15227148,294.383592998,-3487.133573488,-3480.691768536
4097,2048.5,1.173122323,299.710589319,-3487.152429482,-3480.691934497
4098,2049.0,1.191012563,304.281207697,-3487.166364222,-3480.691832948
4099,2049.5,1.203761082,307.53821349,-3487.176382268,-3480.691799596
4100,2050.0,1.207562916,308.509510294,-3487.182985142,-3480.69192935
4101,2050.5,1.21466344,310.323559905,-3487.184832093,-3480.69196346
4102,2051.0,1.210338738,309.218680381,-3487.181729924,-3480.691741368
4103,2051.5,1.200358623,306.668949446,-3487.176869516,-3480.691421992
4104,2052.0,1.188356759,303.602699926,-3487.174911523,-3480.691297695
4105,2052.5,1.206230839,308.169189706,-3487.176997193,-3480.691476749
4106,2053.0,1.203291792,307.418318716,-3487.17994896,-3480.691752919
4107,2053.5,1.207109965,308.393789685,-3487.17960677,-3480.691850938
4108,2054.0,1.211807357,309.593884668,-3487.173808401,-3480.69183899
4109,2054.5,1.211612324,309.544057499,-3487.161959064,-3480.691798651
4110,2055.0,1.18976579,303.962680648,-3487.145220679,-3480.691566647
4111,2055.5,1.174425042,300.043409593,-3487.12775193,-3480.691138072
4112,2056.0,1.162322738,296.951499485,-3487.116137173,-3480.690870302
4113,2056.5,1.162945952,297.110718833,-3487.114685264,-3480.690978123
4114,2057.0,1.170329202,298.996999819,-3487.122122536,-3480.691245603
4115,2057.5,1.174086318,299.956872014,-3487.13400686,-3480.691516283
4116,2058.0,1.184006458,302.491280359,-3487.145927601,-3480.691697756
4117,2058.5,1.19065089,304.188807066,-3487.154807435,-3480.691781716
4118,2059.0,1.187347765,303.344921165,-3487.158633972,-3480.691835096
4119,2059.5,1.186155522,303.040325433,-3487.156391709,-3480.691808234
4120,2060.0,1.17698853,300.698332203,-3487.148824467,-3480.691586082
4121,2060.5,1.162709902,297.050412449,-3487.140083197,-3480.691222908
4122,2061.0,1.160581622,296.506677329,-3487.136253431,-3480.690999595
4123,2061.5,1.168043514,298.413049663,-3487.140966216,-3480.69116733
4124,2062.0,1.17168535,299.343470057,-3487.151830658,-3480.69163833
4125,2062.5,1.181103616,301.7496589,-3487.162188147,-3480.692049613
4126,2063.0,1.180412731,301.573150804,-3487.166267798,-3480.692236162
4127,2063.5,1.183240317,302.295545696,-3487.16172944,-3480.692216864
4128,2064.0,1.171937285,299.40783469,-3487.149991062,-3480.691918903
4129,2064.5,1.166090439,297.914075933,-3487.13669371,-3480.691373646
4130,2065.0,1.164868278,297.601836918,-3487.130794366,-3480.690955839
4131,2065.5,1.177407803,300.80544853,-3487.138652018,-3480.69111009
4132,2066.0,1.19553714,305.437151668,-3487.157722442,-3480.691681946
4133,2066.5,1.213545952,310.038062776,-3487.179197257,-3480.692156432
4134,2067.0,1.228513505,313.861989974,-3487.195053094,-3480.692369804
4135,2067.5,1.227255415,313.540571554,-3487.200845088,-3480.692406077
4136,2068.0,1.214260614,310.220645494,-3487.195463695,-3480.692287627
4137,2068.5,1.190565723,304.167048426,-3487.180824756,-3480.691979131
4138,2069.0,1.169693715,298.834644889,-3487.161537433,-3480.691545325
4139,2069.5,1.150064967,293.819870467,-3487.14456006,-3480.691153263
4140,2070.0,1.142292951,291.834267398,-3487.135936359,-3480.691012591
4141,2070.5,1.1493337,293.633045683,-3487.137840712,-3480.691211336
4142,2071.0,1.1553526,295.170761016,-3487.147619747,-3480.691598213
4143,2071.5,1.175193786,300.23980912,-3487.159921032,-3480.691901775
4144,2072.0,1.185342818,302.832694949,-3487.170381353,-3480.692010858
