frame_idx,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.143988,-0.5559299,0.16341867,0.049743075,-0.11735872,-0.4381204,0.3181862,0.3197199,0.25150666,0.71562386,0.55126107,0.5777995,0.39070883,-0.2670867,0.05313007,-0.5101495,-0.3913985,0.25827613,0.4787538,0.34571135,-0.20024061,0.18344404,-0.64913124,-0.1522158,-0.33917904,0.17613457,-0.013377223,-0.0637457,0.6614214,0.048766613,-0.4091834,-0.11429663
1,0.143988,-0.5559299,0.16341867,0.049743075,-0.11735872,-0.4381204,0.3181862,0.3197199,0.25150666,0.71562386,0.55126107,0.5777995,0.39070883,-0.2670867,0.05313007,-0.5101495,-0.3913985,0.25827613,0.4787538,0.34571135,-0.20024061,0.18344404,-0.64913124,-0.1522158,-0.33917904,0.17613457,-0.013377223,-0.0637457,0.6614214,0.048766613,-0.4091834,-0.11429663
2,0.143988,-0.5559299,0.16341867,0.049743075,-0.11735872,-0.4381204,0.3181862,0.3197199,0.25150666,0.71562386,0.55126107,0.5777995,0.39070883,-0.2670867,0.05313007,-0.5101495,-0.3913985,0.25827613,0.4787538,0.34571135,-0.20024061,0.18344404,-0.64913124,-0.1522158,-0.33917904,0.17613457,-0.013377223,-0.0637457,0.6614214,0.048766613,-0.4091834,-0.11429663
3,-0.5947522,0.19852465,0.6256657,-0.07236602,0.6102421,-0.372375,0.22518042,0.20459454,-0.09940141,0.12552287,0.18237771,0.109540716,-0.393447,0.55194646,0.25911558,0.08466713,0.4772353,-0.054642253,0.32978177,-0.052369576,-0.37954634,-0.44239104,0.007057915,-0.6057636,-0.15599553,-0.30625984,0.4994726,-0.34145123,0.48323482,0.36616275,-0.69169223,0.23709762
4,-0.5258814,0.072287224,0.80182457,0.24457484,0.10780744,-0.5337308,0.49336484,0.41292447,-0.23350464,-0.3318956,0.020394458,0.0128845675,0.033043113,0.2124645,0.2595596,-0.07564732,0.88025504,0.11167743,-0.08541532,-0.03741189,0.21467447,-0.63417417,0.3719904,-0.53347826,-0.006002817,-0.4228027,0.31226775,-0.1828241,0.21213761,0.40020928,-0.28714326,0.23050787
5,-0.09636469,0.21294823,0.60891986,0.054356456,0.6358225,-0.2503638,0.27929348,0.1628034,-0.1867812,-0.16511688,-0.16594744,-0.1724782,0.009610232,0.67674536,0.5832496,-0.15552798,0.4418399,-0.18018952,0.5022186,0.12557681,0.09531249,-0.7417152,0.13355738,-0.22407839,-0.44225764,-0.3107224,0.3305947,-0.6183529,0.3689778,0.32543215,-0.53374666,0.16517644
6,-0.09636469,0.21294823,0.60891986,0.054356456,0.6358225,-0.2503638,0.27929348,0.1628034,-0.1867812,-0.16511688,-0.16594744,-0.1724782,0.009610232,0.67674536,0.5832496,-0.15552798,0.4418399,-0.18018952,0.5022186,0.12557681,0.09531249,-0.7417152,0.13355738,-0.22407839,-0.44225764,-0.3107224,0.3305947,-0.6183529,0.3689778,0.32543215,-0.53374666,0.16517644
7,-0.09636469,0.21294823,0.60891986,0.054356456,0.6358225,-0.2503638,0.27929348,0.1628034,-0.1867812,-0.16511688,-0.16594744,-0.1724782,0.009610232,0.67674536,0.5832496,-0.15552798,0.4418399,-0.18018952,0.5022186,0.12557681,0.09531249,-0.7417152,0.13355738,-0.22407839,-0.44225764,-0.3107224,0.3305947,-0.6183529,0.3689778,0.32543215,-0.53374666,0.16517644
8,-0.3319438,0.23780502,0.4894953,0.19519792,0.4158838,-0.5139623,0.5084093,0.30360052,-0.00017429801,-0.07623423,0.015269401,0.10329531,-0.025388096,0.38351673,0.3494541,-0.014280273,0.62879694,0.033642825,0.21337381,-0.12934196,0.17415597,-0.79516333,0.3196111,-0.53138953,-0.16243406,-0.55026126,0.44581747,-0.42275995,0.19555736,0.53523266,-0.4993067,0.30650616
9,-0.3319438,0.23780502,0.4894953,0.19519792,0.4158838,-0.5139623,0.5084093,0.30360052,-0.00017429801,-0.07623423,0.015269401,0.10329531,-0.025388096,0.38351673,0.3494541,-0.014280273,0.62879694,0.033642825,0.21337381,-0.12934196,0.17415597,-0.79516333,0.3196111,-0.53138953,-0.16243406,-0.55026126,0.44581747,-0.42275995,0.19555736,0.53523266,-0.4993067,0.30650616
10,-0.40369546,0.17447615,0.48959655,0.046276193,0.6243056,-0.43779558,0.49822927,0.05665612,0.130076,0.1390442,0.2743843,0.04743715,-0.26594234,0.5515207,0.3697337,-0.03697404,0.4387097,-0.13931799,0.39028895,0.14173073,-0.23746365,-0.5266393,-0.054568935,-0.43593633,-0.3708652,-0.28924617,0.5213424,-0.45377678,0.5406682,0.4607394,-0.45517775,0.26651043
11,-0.31829843,0.17603388,0.64470726,0.4125212,0.218575,-0.35608086,0.60865694,0.24225284,-0.14416867,-0.24794558,-0.059088707,-0.09017948,0.020273598,0.2555916,0.33802304,-0.1753686,0.7820507,0.09566199,0.03809645,0.07114176,0.2506868,-0.7507522,0.46097574,-0.4764179,-0.00337327,-0.5418622,0.49338308,-0.30940473,0.15649028,0.39395434,-0.2951917,0.30256367
12,-0.31829843,0.17603388,0.64470726,0.4125212,0.218575,-0.35608086,0.60865694,0.24225284,-0.14416867,-0.24794558,-0.059088707,-0.09017948,0.020273598,0.2555916,0.33802304,-0.1753686,0.7820507,0.09566199,0.03809645,0.07114176,0.2506868,-0.7507522,0.46097574,-0.4764179,-0.00337327,-0.5418622,0.49338308,-0.30940473,0.15649028,0.39395434,-0.2951917,0.30256367
13,-0.48122087,0.19014414,-0.5010417,-0.18358359,0.19333202,0.070450194,0.21560176,-0.12604204,0.043054316,0.18190661,-0.55261695,0.6812046,-0.2248757,-0.14380385,0.26791674,0.57881534,-0.043163083,-0.22598428,-0.1262384,0.34276423,-0.51475847,-0.23481075,-0.16986689,-0.33385718,0.2655982,-0.09748224,0.6523892,-0.18397671,0.55113995,-0.75364274,-0.45833346,-0.55369574
14,-0.6570048,-0.43844303,-0.21965311,0.09027462,-0.18229064,0.032663547,0.27742302,0.35497198,0.6086552,-0.75145096,0.44096118,0.067373835,-0.35397324,-0.03928168,0.07953793,-0.27204138,-0.44553977,0.519723,0.29790822,0.5176661,0.54663515,0.45637816,-0.06697259,-0.35240233,0.24522945,-0.32226005,0.081568874,0.04874751,0.29686543,-0.0073714987,-0.39639995,0.40883654
15,-0.6570048,-0.43844303,-0.21965311,0.09027462,-0.18229064,0.032663547,0.27742302,0.35497198,0.6086552,-0.75145096,0.44096118,0.067373835,-0.35397324,-0.03928168,0.07953793,-0.27204138,-0.44553977,0.519723,0.29790822,0.5176661,0.54663515,0.45637816,-0.06697259,-0.35240233,0.24522945,-0.32226005,0.081568874,0.04874751,0.29686543,-0.0073714987,-0.39639995,0.40883654
16,-0.008282132,-0.62185514,-0.45968965,0.27758175,-0.8461412,-0.5218643,0.2034427,-0.20113072,-0.14298296,-0.103685066,-0.5456522,-0.3417179,-0.043081954,-0.587844,-0.24074267,-0.5928347,0.11988922,0.7090833,-0.2733761,-0.016502775,-0.13065343,-0.0010823695,-0.38339332,-0.23480277,0.31417915,-0.11443049,-0.2730462,-0.44718674,0.17826496,0.48364052,-0.008924367,-0.36063573
17,-0.008282132,-0.62185514,-0.45968965,0.27758175,-0.8461412,-0.5218643,0.2034427,-0.20113072,-0.14298296,-0.103685066,-0.5456522,-0.3417179,-0.043081954,-0.587844,-0.24074267,-0.5928347,0.11988922,0.7090833,-0.2733761,-0.016502775,-0.13065343,-0.0010823695,-0.38339332,-0.23480277,0.31417915,-0.11443049,-0.2730462,-0.44718674,0.17826496,0.48364052,-0.008924367,-0.36063573
18,-0.008282132,-0.62185514,-0.45968965,0.27758175,-0.8461412,-0.5218643,0.2034427,-0.20113072,-0.14298296,-0.103685066,-0.5456522,-0.3417179,-0.043081954,-0.587844,-0.24074267,-0.5928347,0.11988922,0.7090833,-0.2733761,-0.016502775,-0.13065343,-0.0010823695,-0.38339332,-0.23480277,0.31417915,-0.11443049,-0.2730462,-0.44718674,0.17826496,0.48364052,-0.008924367,-0.36063573
19,-0.07394072,-0.23592645,-0.36268795,0.0006362283,-0.27521113,-0.21340887,0.20233795,-0.24986382,0.17888275,-0.50299627,-0.1312456,-0.016969852,-0.13531251,-0.7420367,-0.4440334,-0.8232444,0.43866003,0.46093014,-0.45078406,-0.5342942,-0.02239816,-0.49117887,-0.5580895,-0.4472669,0.46656772,0.20305882,0.28360394,-0.18641463,0.25196925,0.5838766,0.105301954,0.08922606
