Time_ps,HBonds_per_Interfacial_Water,N_Interfacial_Water
2.0,1.7619047619047619,21
2.0005,1.7142857142857142,21
2.001,1.7142857142857142,21
2.0015,1.7142857142857142,21
2.002,1.7142857142857142,21
2.0025,1.7142857142857142,21
2.003,1.7142857142857142,21
2.0035,1.7142857142857142,21
2.004,1.0,2
2.0045,1.0,2
2.005,1.75,24
2.0055,1.75,24
2.006,1.75,24
2.0065,1.75,24
2.007,1.75,24
2.0075,1.7391304347826086,23
2.008,1.7391304347826086,23
2.0085,1.7826086956521738,23
2.009,1.7826086956521738,23
2.0095,1.7826086956521738,23
2.01,1.7826086956521738,23
2.0105,1.736842105263158,19
2.011,1.736842105263158,19
2.0115,1.736842105263158,19
2.012,1.736842105263158,19
2.0125,1.736842105263158,19
2.013,1.6842105263157894,19
2.0135,1.6842105263157894,19
2.014,1.6842105263157894,19
2.0145,1.631578947368421,19
2.015,1.631578947368421,19
2.0155,1.631578947368421,19
2.016,1.631578947368421,19
2.0165,1.631578947368421,19
2.017,1.0,2
2.0175,1.631578947368421,19
2.018,1.631578947368421,19
2.0185,1.631578947368421,19
2.019,1.0,2
2.0195,1.631578947368421,19
2.02,1.631578947368421,19
2.0205,1.65,20
2.021,1.6956521739130435,23
2.0215,1.6956521739130435,23
2.022,1.6956521739130435,23
2.0225,1.7,20
2.023,1.7,20
2.0235,1.7,20
2.024,1.7391304347826086,23
2.0245,1.7,20
2.025,1.7391304347826086,23
2.0255,1.6956521739130435,23
2.026,1.6956521739130435,23
2.0265,1.6956521739130435,23
2.027,1.6956521739130435,23
2.0275,1.6956521739130435,23
2.028,1.6956521739130435,23
2.0285,1.7,20
2.029,1.7,20
2.0295,1.6956521739130435,23
2.03,1.6956521739130435,23
2.0305,1.6956521739130435,23
2.031,1.6956521739130435,23
2.0315,1.6956521739130435,23
2.032,1.7272727272727273,22
2.0325,1.7272727272727273,22
2.033,1.7272727272727273,22
2.0335,1.7272727272727273,22
2.034,1.7272727272727273,22
2.0345,1.7272727272727273,22
2.035,1.7272727272727273,22
2.0355,1.7,20
2.036,1.7272727272727273,22
2.0365,1.7272727272727273,22
2.037,1.7272727272727273,22
2.0375,1.7272727272727273,22
2.038,1.7272727272727273,22
2.0385,1.7727272727272727,22
2.039,1.75,20
2.0395,1.75,20
2.04,1.75,20
2.0405,1.7727272727272727,22
2.041,1.7272727272727273,22
2.0415,1.8,20
2.042,1.8,20
2.0425,1.7272727272727273,22
2.043,1.7272727272727273,22
2.0435,1.7272727272727273,22
2.044,1.7272727272727273,22
2.0445,1.7272727272727273,22
2.045,1.75,20
2.0455,1.75,20
2.046,1.75,20
2.0465,1.75,20
2.047,1.7142857142857142,21
2.0475,1.7142857142857142,21
2.048,1.7142857142857142,21
2.0485,1.7142857142857142,21
2.049,1.7619047619047619,21
2.0495,1.7619047619047619,21
2.05,1.7619047619047619,21
2.0505,1.7619047619047619,21
2.051,1.7142857142857142,21
2.0515,1.7142857142857142,21
2.052,1.7142857142857142,21
2.0525,1.6666666666666667,21
2.053,1.6666666666666667,21
2.0535,1.6666666666666667,21
2.054,1.6666666666666667,21
2.0545,1.6666666666666667,21
2.055,1.6666666666666667,21
2.0555,1.6666666666666667,21
2.056,1.7142857142857142,21
2.0565,1.7142857142857142,21
2.057,1.6666666666666667,21
2.0575,1.6666666666666667,21
2.058,1.6363636363636365,22
2.0585,1.6363636363636365,22
2.059,1.6363636363636365,22
2.0595,1.6363636363636365,22
2.06,1.6363636363636365,22
2.0605,1.6363636363636365,22
2.061,1.6363636363636365,22
2.0615,1.6363636363636365,22
2.062,1.6363636363636365,22
2.0625,1.6363636363636365,22
2.063,1.6363636363636365,22
2.0635,1.6363636363636365,22
2.064,1.6363636363636365,22
2.0645,1.6363636363636365,22
2.065,1.6,20
2.0655,1.6,20
2.066,1.619047619047619,21
2.0665,1.6363636363636365,22
2.067,1.6818181818181819,22
2.0675,1.6818181818181819,22
2.068,1.7272727272727273,22
2.0685,1.7272727272727273,22
2.069,1.7272727272727273,22
2.0695,1.7272727272727273,22
2.07,1.7272727272727273,22
2.0705,1.7272727272727273,22
2.071,1.7272727272727273,22
2.0715,1.7272727272727273,22
2.072,1.7272727272727273,22
2.0725,1.7272727272727273,22
2.073,1.7272727272727273,22
2.0735,1.7272727272727273,22
2.074,1.7272727272727273,22
2.0745,1.7272727272727273,22
2.075,1.6818181818181819,22
2.0755,1.6818181818181819,22
2.076,1.6818181818181819,22
2.0765,1.6818181818181819,22
2.077,1.6818181818181819,22
2.0775,1.6818181818181819,22
2.078,1.6818181818181819,22
2.0785,1.6818181818181819,22
2.079,1.6818181818181819,22
2.0795,1.6818181818181819,22
2.08,1.6818181818181819,22
2.0805,1.6818181818181819,22
2.081,1.6818181818181819,22
2.0815,1.7142857142857142,21
2.082,1.7142857142857142,21
2.0825,1.7142857142857142,21
2.083,1.7142857142857142,21
2.0835,1.7142857142857142,21
2.084,1.7142857142857142,21
2.0845,1.7142857142857142,21
2.085,1.619047619047619,21
2.0855,1.619047619047619,21
2.086,1.0,2
2.0865,1.0,2
2.087,1.5714285714285714,21
2.0875,1.0,2
2.088,1.5714285714285714,21
2.0885,1.5714285714285714,21
2.089,1.5714285714285714,21
2.0895,1.5714285714285714,21
2.09,1.65,20
2.0905,1.65,20
2.091,1.65,20
2.0915,1.65,20
2.092,1.7,20
2.0925,1.7,20
2.093,1.7,20
2.0935,1.9047619047619047,21
2.094,1.9047619047619047,21
2.0945,1.9047619047619047,21
2.095,1.9047619047619047,21
2.0955,1.85,20
2.096,1.85,20
2.0965,1.85,20
2.097,1.85,20
2.0975,1.85,20
2.098,1.85,20
2.0985,1.8421052631578947,19
2.099,1.8421052631578947,19
2.0995,1.8421052631578947,19
2.1,1.8421052631578947,19
2.1005,1.8421052631578947,19
2.101,1.8421052631578947,19
2.1015,1.8421052631578947,19
2.102,1.8421052631578947,19
2.1025,1.8421052631578947,19
2.103,1.8421052631578947,19
2.1035,1.7894736842105263,19
2.104,1.7894736842105263,19
2.1045,1.7894736842105263,19
2.105,1.7894736842105263,19
2.1055,1.7894736842105263,19
2.106,1.7894736842105263,19
2.1065,1.7894736842105263,19
2.107,1.75,20
2.1075,1.75,20
2.108,1.75,20
2.1085,1.7894736842105263,19
2.109,1.75,20
2.1095,1.75,20
2.11,1.75,20
2.1105,1.75,20
2.111,1.75,20
2.1115,1.75,20
2.112,1.736842105263158,19
