time_fs,time_ps,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic
2000.0,2.0,158,1,62,0,-61
2000.5,2.0005,153,1,59,0,-58
2001.0,2.001,154,1,60,0,-59
2001.5,2.0015,153,1,59,0,-58
2002.0,2.002,153,1,59,0,-58
2002.5,2.0025,154,1,60,0,-59
2003.0,2.003,154,1,60,0,-59
2003.5,2.0035,155,1,61,0,-60
2004.0,2.004,155,1,61,0,-60
2004.5,2.0045,155,1,61,0,-60
2005.0,2.005,155,1,61,0,-60
2005.5,2.0055,155,1,61,0,-60
2006.0,2.006,153,1,59,0,-58
2006.5,2.0065,153,1,59,0,-58
2007.0,2.007,154,1,59,0,-58
2007.5,2.0075,153,1,58,0,-57
2008.0,2.008,153,1,58,0,-57
2008.5,2.0085,152,1,57,0,-56
2009.0,2.009,152,1,57,0,-56
2009.5,2.0095,152,1,57,0,-56
2010.0,2.01,152,1,57,0,-56
2010.5,2.0105,155,1,59,0,-58
2011.0,2.011,155,1,59,0,-58
2011.5,2.0115,155,1,59,0,-58
2012.0,2.012,154,1,58,0,-57
2012.5,2.0125,154,1,58,0,-57
2013.0,2.013,150,1,55,0,-54
2013.5,2.0135,150,1,55,0,-54
2014.0,2.014,150,1,55,0,-54
2014.5,2.0145,149,1,55,0,-54
2015.0,2.015,149,1,55,0,-54
2015.5,2.0155,149,1,55,0,-54
2016.0,2.016,147,1,54,0,-53
2016.5,2.0165,147,1,54,0,-53
2017.0,2.017,147,1,54,0,-53
2017.5,2.0175,147,1,54,0,-53
2018.0,2.018,146,1,54,0,-53
2018.5,2.0185,144,1,53,0,-52
2019.0,2.019,145,1,53,0,-52
2019.5,2.0195,144,1,52,0,-51
2020.0,2.02,144,1,52,0,-51
2020.5,2.0205,144,1,52,0,-51
2021.0,2.021,144,1,52,0,-51
2021.5,2.0215,144,1,52,0,-51
2022.0,2.022,144,1,52,0,-51
2022.5,2.0225,147,1,54,0,-53
2023.0,2.023,147,1,54,0,-53
2023.5,2.0235,146,1,53,0,-52
2024.0,2.024,147,1,54,0,-53
2024.5,2.0245,147,1,54,0,-53
2025.0,2.025,147,1,54,0,-53
2025.5,2.0255,147,1,54,0,-53
2026.0,2.026,148,1,55,0,-54
2026.5,2.0265,149,1,56,0,-55
2027.0,2.027,150,1,57,0,-56
2027.5,2.0275,150,1,57,0,-56
2028.0,2.028,150,1,57,0,-56
2028.5,2.0285,151,1,57,0,-56
2029.0,2.029,151,1,57,0,-56
2029.5,2.0295,150,1,57,0,-56
2030.0,2.03,151,1,58,0,-57
2030.5,2.0305,152,1,59,0,-58
2031.0,2.031,153,1,60,0,-59
2031.5,2.0315,153,1,60,0,-59
2032.0,2.032,154,1,61,0,-60
2032.5,2.0325,154,1,61,0,-60
2033.0,2.033,154,1,61,0,-60
2033.5,2.0335,153,1,60,0,-59
2034.0,2.034,154,1,60,0,-59
2034.5,2.0345,154,1,60,0,-59
2035.0,2.035,155,1,61,0,-60
2035.5,2.0355,155,1,61,0,-60
2036.0,2.036,155,1,62,0,-61
2036.5,2.0365,156,1,62,0,-61
2037.0,2.037,156,1,62,0,-61
2037.5,2.0375,156,1,62,0,-61
2038.0,2.038,156,1,62,0,-61
2038.5,2.0385,156,1,62,0,-61
2039.0,2.039,156,1,62,0,-61
2039.5,2.0395,156,1,62,0,-61
2040.0,2.04,156,1,62,0,-61
2040.5,2.0405,155,1,61,0,-60
2041.0,2.041,155,1,61,0,-60
2041.5,2.0415,155,1,60,0,-59
2042.0,2.042,154,1,59,0,-58
2042.5,2.0425,151,1,57,0,-56
2043.0,2.043,151,1,57,0,-56
2043.5,2.0435,151,1,57,0,-56
2044.0,2.044,152,1,58,0,-57
2044.5,2.0445,152,1,58,0,-57
2045.0,2.045,151,1,58,0,-57
2045.5,2.0455,152,1,58,0,-57
2046.0,2.046,152,1,58,0,-57
2046.5,2.0465,153,1,59,0,-58
2047.0,2.047,154,1,59,0,-58
2047.5,2.0475,153,1,59,0,-58
2048.0,2.048,154,1,59,0,-58
2048.5,2.0485,153,1,58,0,-57
2049.0,2.049,154,1,58,0,-57
2049.5,2.0495,154,1,58,0,-57
2050.0,2.05,154,1,58,0,-57
2050.5,2.0505,153,1,58,0,-57
2051.0,2.051,153,1,59,0,-58
2051.5,2.0515,153,1,60,0,-59
2052.0,2.052,154,1,61,0,-60
2052.5,2.0525,154,1,61,0,-60
2053.0,2.053,153,1,61,0,-60
2053.5,2.0535,153,1,61,0,-60
2054.0,2.054,153,1,61,0,-60
2054.5,2.0545,153,1,61,0,-60
2055.0,2.055,151,1,59,0,-58
2055.5,2.0555,151,1,59,0,-58
2056.0,2.056,154,1,61,0,-60
2056.5,2.0565,155,1,62,0,-61
2057.0,2.057,155,1,62,0,-61
2057.5,2.0575,156,1,63,0,-62
2058.0,2.058,155,1,60,0,-59
2058.5,2.0585,155,1,60,0,-59
2059.0,2.059,155,1,59,0,-58
2059.5,2.0595,154,1,58,0,-57
2060.0,2.06,155,1,59,0,-58
2060.5,2.0605,155,1,59,0,-58
2061.0,2.061,154,1,58,0,-57
2061.5,2.0615,154,1,58,0,-57
2062.0,2.062,154,1,58,0,-57
2062.5,2.0625,154,1,58,0,-57
2063.0,2.063,155,1,59,0,-58
2063.5,2.0635,155,1,59,0,-58
2064.0,2.064,157,1,61,0,-60
2064.5,2.0645,157,1,61,0,-60
2065.0,2.065,156,1,60,0,-59
2065.5,2.0655,156,1,60,0,-59
2066.0,2.066,156,1,60,0,-59
2066.5,2.0665,156,1,60,0,-59
2067.0,2.067,156,1,61,0,-60
2067.5,2.0675,156,1,61,0,-60
2068.0,2.068,156,1,61,0,-60
2068.5,2.0685,157,1,62,0,-61
2069.0,2.069,158,1,63,0,-62
2069.5,2.0695,158,1,63,0,-62
2070.0,2.07,158,1,63,0,-62
2070.5,2.0705,157,1,62,0,-61
2071.0,2.071,155,1,60,0,-59
2071.5,2.0715,156,1,61,0,-60
2072.0,2.072,156,1,61,0,-60
2072.5,2.0725,155,1,60,0,-59
2073.0,2.073,154,1,59,0,-58
2073.5,2.0735,154,1,59,0,-58
2074.0,2.074,155,1,59,0,-58
2074.5,2.0745,155,1,59,0,-58
2075.0,2.075,155,1,59,0,-58
2075.5,2.0755,155,1,59,0,-58
2076.0,2.076,156,1,60,0,-59
2076.5,2.0765,156,1,60,0,-59
2077.0,2.077,156,1,60,0,-59
2077.5,2.0775,157,1,61,0,-60
2078.0,2.078,155,1,61,0,-60
2078.5,2.0785,155,1,61,0,-60
2079.0,2.079,155,1,61,0,-60
2079.5,2.0795,156,1,60,0,-59
2080.0,2.08,156,1,60,0,-59
2080.5,2.0805,155,1,59,0,-58
2081.0,2.081,155,1,59,0,-58
2081.5,2.0815,156,1,60,0,-59
2082.0,2.082,156,1,60,0,-59
2082.5,2.0825,155,1,60,0,-59
2083.0,2.083,155,1,60,0,-59
2083.5,2.0835,156,1,61,0,-60
2084.0,2.084,155,1,60,0,-59
2084.5,2.0845,155,1,60,0,-59
2085.0,2.085,154,1,60,0,-59
2085.5,2.0855,154,1,60,0,-59
2086.0,2.086,153,1,60,0,-59
2086.5,2.0865,154,1,61,0,-60
2087.0,2.087,154,1,61,0,-60
2087.5,2.0875,154,1,61,0,-60
2088.0,2.088,153,1,60,0,-59
2088.5,2.0885,153,1,60,0,-59
2089.0,2.089,152,1,59,0,-58
2089.5,2.0895,152,1,59,0,-58
2090.0,2.09,151,1,59,0,-58
2090.5,2.0905,151,1,59,0,-58
2091.0,2.091,151,1,59,0,-58
2091.5,2.0915,149,1,58,0,-57
2092.0,2.092,150,1,59,0,-58
2092.5,2.0925,150,1,59,0,-58
2093.0,2.093,150,1,59,0,-58
