frame_idx,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.048357148,-0.039324265,0.21750106,0.1115185,0.5001117,0.24545188,-0.009771259,-0.016968304,0.25159064,-0.22617154,-0.5360868,-0.01303797,-0.37587714,-0.0011146206,0.004539821,0.1476212,0.023623127,0.280383,0.0339313,0.41471058,0.44609907,-0.040430326,-0.52344954,0.25709805,0.06664357,-0.29636076,0.13685279,0.12883827,-0.08842797,0.57488686,0.5240204,0.6338667
1,-0.38892198,-0.056317225,0.15998852,0.17965443,0.29453528,0.23005922,0.10685495,-0.17225231,-0.22874303,0.17307451,-0.09593295,0.47680917,0.13889271,-0.075338945,0.06369334,0.064175434,0.22818905,-0.18508542,0.55587584,0.485733,0.060550146,-0.07790363,-0.6418159,-0.26700366,0.2222641,-0.61187756,0.06685567,0.24113949,0.37083295,0.25467667,-0.6242232,0.24583519
2,-0.091353066,-0.3432886,0.39979914,0.20980759,0.17061377,-0.15718004,0.035238564,-0.3013579,-0.39408818,0.04116653,-0.46279776,0.3677014,-0.1304845,-0.46121186,0.10457576,0.107437894,0.10482952,0.09609858,0.40526786,0.6829811,-0.10584047,-0.22817306,-0.39260066,-0.47304833,0.17816763,-0.4737018,0.053629424,0.32921505,0.38604823,0.09423809,-0.29758483,-0.021279795
3,-0.37010652,-0.27759206,0.21962602,0.43102026,0.5302862,-0.044361234,0.10375993,-0.17969388,-0.118498966,0.04056497,-0.41653302,0.3182464,-0.1975459,-0.20785284,0.043680917,-0.120336376,-0.3659582,0.30877498,0.46718934,0.6564862,-0.13914715,-0.079019405,-0.26399776,-0.30344266,0.12803566,-0.3909515,0.07342022,0.2608533,0.26437697,0.3707006,-0.38395628,0.34708992
4,-0.92328733,0.015274191,0.3576706,0.19492514,0.31716478,0.1731964,-0.073641814,-0.31445426,-0.061577644,-0.312598,-0.5779437,0.45224577,-0.025231775,0.13935003,-0.44332507,0.09519379,0.2267345,-0.07968657,0.18318178,0.25581416,-0.113456696,0.12788638,-0.25167653,-0.065818384,0.19071025,-0.25779748,0.026709074,0.43446514,-0.025361972,0.17317142,-0.5192331,0.06772094
5,-0.28339708,0.018068628,0.21919018,0.34627667,0.18776491,0.15966879,0.22208476,0.2568994,0.13094732,-0.01271697,-0.33847654,0.48258758,0.13151887,-0.010484152,-0.33465004,-0.42202985,0.188076,0.12778606,-0.11493576,0.5123745,-0.023608966,-0.27476212,-0.6649429,-0.52691925,0.14009333,-0.37158495,-0.147243,-0.26791057,0.30562106,0.44966725,-0.20881335,0.39945146
6,-0.28339708,0.018068628,0.21919018,0.34627667,0.18776491,0.15966879,0.22208476,0.2568994,0.13094732,-0.01271697,-0.33847654,0.48258758,0.13151887,-0.010484152,-0.33465004,-0.42202985,0.188076,0.12778606,-0.11493576,0.5123745,-0.023608966,-0.27476212,-0.6649429,-0.52691925,0.14009333,-0.37158495,-0.147243,-0.26791057,0.30562106,0.44966725,-0.20881335,0.39945146
7,-0.31646392,0.14375092,0.21436593,-0.009639948,0.17446569,-0.026939439,0.19382712,-0.12806663,0.04748891,0.11768907,-0.24115498,0.7226492,0.03406362,0.034230746,-0.18685228,0.10385062,0.7980211,0.27024278,0.058308046,0.56487095,-0.34806386,-0.020487309,-0.49769354,-0.22337411,0.008594099,-0.46663892,-0.29218334,0.05595296,0.22458774,0.21363422,-0.23871045,0.50609183
8,-0.31646392,0.14375092,0.21436593,-0.009639948,0.17446569,-0.026939439,0.19382712,-0.12806663,0.04748891,0.11768907,-0.24115498,0.7226492,0.03406362,0.034230746,-0.18685228,0.10385062,0.7980211,0.27024278,0.058308046,0.56487095,-0.34806386,-0.020487309,-0.49769354,-0.22337411,0.008594099,-0.46663892,-0.29218334,0.05595296,0.22458774,0.21363422,-0.23871045,0.50609183
9,-0.31646392,0.14375092,0.21436593,-0.009639948,0.17446569,-0.026939439,0.19382712,-0.12806663,0.04748891,0.11768907,-0.24115498,0.7226492,0.03406362,0.034230746,-0.18685228,0.10385062,0.7980211,0.27024278,0.058308046,0.56487095,-0.34806386,-0.020487309,-0.49769354,-0.22337411,0.008594099,-0.46663892,-0.29218334,0.05595296,0.22458774,0.21363422,-0.23871045,0.50609183
10,-0.31646392,0.14375092,0.21436593,-0.009639948,0.17446569,-0.026939439,0.19382712,-0.12806663,0.04748891,0.11768907,-0.24115498,0.7226492,0.03406362,0.034230746,-0.18685228,0.10385062,0.7980211,0.27024278,0.058308046,0.56487095,-0.34806386,-0.020487309,-0.49769354,-0.22337411,0.008594099,-0.46663892,-0.29218334,0.05595296,0.22458774,0.21363422,-0.23871045,0.50609183
11,-0.31646392,0.14375092,0.21436593,-0.009639948,0.17446569,-0.026939439,0.19382712,-0.12806663,0.04748891,0.11768907,-0.24115498,0.7226492,0.03406362,0.034230746,-0.18685228,0.10385062,0.7980211,0.27024278,0.058308046,0.56487095,-0.34806386,-0.020487309,-0.49769354,-0.22337411,0.008594099,-0.46663892,-0.29218334,0.05595296,0.22458774,0.21363422,-0.23871045,0.50609183
12,-0.16047196,-0.18270083,-0.20738384,0.098324195,0.32874477,-0.056033984,0.46078473,-0.16946766,0.014769189,-0.3013017,-0.52470386,0.21791261,0.11949149,-0.37180918,0.20978932,-0.23124193,0.4836632,0.43537366,0.11188633,0.5907556,-0.04321382,0.2282278,-0.47530597,-0.04712082,-0.0033786732,-0.17969343,-0.2175935,0.1805814,0.47935128,0.31236058,-0.49513003,0.25017577
13,-0.5091891,-0.33134502,0.026233617,-0.2548038,-0.00010462686,-0.0009079488,0.61632425,-0.06727808,-0.14070378,-0.08011664,-0.3081613,0.5103903,0.17939526,0.28463545,0.2257581,-0.07157945,0.28582886,0.071070604,0.6735737,0.19185433,0.4637049,-0.19631833,-0.12353415,-0.051785555,0.2824272,-0.22471689,0.10489624,0.35178286,0.15755135,0.44751665,-0.5019519,0.009546122
14,-0.551894,-0.40959233,0.18436705,-0.2434863,-0.20691909,-0.16813415,0.46681216,-0.14340259,-0.35680452,-0.37464848,-0.5151902,0.24599186,0.084024355,0.3167981,-0.27733436,-0.34601825,0.15902455,0.35895377,0.29730707,0.3682324,0.25259882,-0.2959658,0.2606731,-0.33925334,0.43259552,-0.13698043,-0.21030937,0.25844103,-0.18874773,0.31572583,-0.15609194,0.047909625
15,-0.4816086,-0.50050986,0.06910183,0.025885161,0.31664523,-0.080981,0.47838813,-0.16415219,-0.32010597,-0.61746496,-0.38333794,0.36179724,0.15592878,0.03284846,-0.14127003,-0.21851318,-0.15732875,0.29521728,0.17052548,0.6166931,0.42669362,-0.17931454,-0.047885537,-0.05348259,0.25537896,-0.2004881,-0.08709825,0.24352628,-0.19294994,0.3785624,-0.2805025,0.27063218
16,-0.4816086,-0.50050986,0.06910183,0.025885161,0.31664523,-0.080981,0.47838813,-0.16415219,-0.32010597,-0.61746496,-0.38333794,0.36179724,0.15592878,0.03284846,-0.14127003,-0.21851318,-0.15732875,0.29521728,0.17052548,0.6166931,0.42669362,-0.17931454,-0.047885537,-0.05348259,0.25537896,-0.2004881,-0.08709825,0.24352628,-0.19294994,0.3785624,-0.2805025,0.27063218
