coordination_state,count,percentage
0D1A,7542,1.0037263774287997
0D2A,10284,1.368645195634815
0D3A,2064,0.2746872504657972
0D4A,52,0.006920415224913495
1D0A,7783,1.0357998402981101
1D1A,87978,11.708544051104605
1D2A,121396,16.155975512376898
1D3A,17964,2.39073729039127
1D4A,404,0.053766302901251
2D0A,22079,2.9383816875166358
2D1A,153415,20.41722118711738
2D2A,254842,33.915624168219324
2D3A,40924,5.446366782006921
2D4A,1033,0.13747671014107
2D5A,5,0.0006654245408570668
3D0A,1429,0.1901783337769497
3D1A,6627,0.8819536864519564
3D2A,12455,1.6575725312749534
3D3A,2010,0.2675006654245409
3D4A,15,0.0019962736225712006
4D0A,30,0.003992547245142401
4D1A,75,0.009981368112856001
4D2A,173,0.023023689113654513
4D3A,3,0.0003992547245142401
5D1A,5,0.0006654245408570668
free H2O,813,0.10819803034335906
