frame_idx,atom_idx,donor_count,acceptor_count,state
4000,523,1,0,1D0A
4000,526,1,2,1D2A
4000,529,2,2,2D2A
4000,532,2,2,2D2A
4000,535,2,2,2D2A
4000,538,1,2,1D2A
4000,541,2,3,2D3A
4000,544,2,2,2D2A
4000,547,1,1,1D1A
4000,550,2,2,2D2A
4000,553,2,1,2D1A
4000,556,2,2,2D2A
4000,559,2,2,2D2A
4000,562,2,2,2D2A
4000,565,2,1,2D1A
4000,568,2,2,2D2A
4000,571,2,2,2D2A
4000,574,2,1,2D1A
4000,577,2,2,2D2A
4000,580,2,2,2D2A
4000,583,1,2,1D2A
4000,586,2,2,2D2A
4000,589,2,2,2D2A
4000,592,2,0,2D0A
4000,595,2,2,2D2A
4000,598,0,2,0D2A
4000,601,2,2,2D2A
4000,607,3,1,3D1A
4000,613,2,2,2D2A
4000,616,2,1,2D1A
4000,622,2,2,2D2A
4000,625,1,0,1D0A
4000,628,2,2,2D2A
4000,631,1,2,1D2A
4000,634,1,2,1D2A
4000,637,2,1,2D1A
4000,640,2,2,2D2A
4000,643,1,2,1D2A
4000,646,2,1,2D1A
4000,649,2,2,2D2A
4000,652,2,3,2D3A
4000,658,2,2,2D2A
4000,661,1,2,1D2A
4000,664,2,2,2D2A
4000,667,2,1,2D1A
4000,670,2,0,2D0A
4000,673,1,1,1D1A
4000,676,2,2,2D2A
4000,679,1,0,1D0A
4000,682,2,2,2D2A
4000,685,2,2,2D2A
4000,688,1,2,1D2A
4000,691,2,0,2D0A
4000,697,1,2,1D2A
4000,700,2,1,2D1A
4000,703,2,2,2D2A
4000,706,2,1,2D1A
4000,709,2,2,2D2A
4000,712,2,2,2D2A
4000,715,2,3,2D3A
4000,718,1,1,1D1A
4000,721,2,2,2D2A
4000,724,0,2,0D2A
4000,727,2,2,2D2A
4000,730,2,2,2D2A
4000,733,2,2,2D2A
4000,736,1,2,1D2A
4000,739,2,2,2D2A
4000,742,2,3,2D3A
4000,745,2,2,2D2A
