Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
4000,2000.0,1.146269741,293.920360425,-3470.118477566,-3463.515526862
4001,2000.5,1.135142915,291.067279057,-3470.106461106,-3463.515508793
4002,2001.0,1.129117001,289.522146503,-3470.096654948,-3463.515557861
4003,2001.5,1.123109691,287.981784104,-3470.090787676,-3463.515084314
4004,2002.0,1.127795603,289.183320727,-3470.096310595,-3463.515189483
4005,2002.5,1.141120967,292.600139196,-3470.111692636,-3463.516129093
4006,2003.0,1.157198637,296.722689646,-3470.124272223,-3463.516224787
4007,2003.5,1.166729649,299.166580587,-3470.131040408,-3463.515824512
4008,2004.0,1.178211991,302.110821337,-3470.136623711,-3463.515617382
4009,2004.5,1.177622078,301.959559236,-3470.14366208,-3463.515705169
4010,2005.0,1.183358632,303.430495622,-3470.150764759,-3463.515886009
4011,2005.5,1.189500628,305.005393306,-3470.154932443,-3463.515869686
4012,2006.0,1.1878392,304.579378991,-3470.155632373,-3463.515586777
4013,2006.5,1.193276174,305.973498712,-3470.156016128,-3463.515407849
4014,2007.0,1.195026838,306.422394761,-3470.157506351,-3463.515566826
4015,2007.5,1.191913166,305.624003616,-3470.157484785,-3463.515652586
4016,2008.0,1.186898297,304.3381177,-3470.154141721,-3463.515561287
4017,2008.5,1.183076094,303.35804865,-3470.14797411,-3463.515600848
4018,2009.0,1.172981046,300.769530406,-3470.138856191,-3463.515598415
4019,2009.5,1.16476179,298.661992884,-3470.128448064,-3463.514934739
4020,2010.0,1.171178431,300.307313707,-3470.1264665,-3463.514715195
4021,2010.5,1.174906248,301.263180498,-3470.135034667,-3463.515805064
4022,2011.0,1.181150221,302.864226567,-3470.138592416,-3463.516363592
4023,2011.5,1.172630115,300.679546746,-3470.127147684,-3463.515956343
4024,2012.0,1.155098004,296.184056375,-3470.105531605,-3463.515169349
4025,2012.5,1.136170784,291.330839759,-3470.085822506,-3463.514465073
4026,2013.0,1.133581395,290.666882515,-3470.07938176,-3463.514102356
4027,2013.5,1.142457127,292.942750374,-3470.091688918,-3463.514453081
4028,2014.0,1.16936096,299.841287271,-3470.117661766,-3463.515264313
4029,2014.5,1.193149554,305.941031561,-3470.145540265,-3463.515835901
4030,2015.0,1.217404544,312.160366499,-3470.166835869,-3463.515873779
4031,2015.5,1.23617656,316.973786405,-3470.180572439,-3463.515747075
4032,2016.0,1.235266333,316.74039085,-3470.188145745,-3463.516091974
4033,2016.5,1.231088391,315.669105336,-3470.185097751,-3463.516617802
4034,2017.0,1.207320655,309.574709585,-3470.165248122,-3463.516335756
4035,2017.5,1.173946752,301.017151587,-3470.134671575,-3463.514872839
4036,2018.0,1.149394761,294.721661414,-3470.115137419,-3463.514010777
4037,2018.5,1.149661022,294.789934571,-3470.118519797,-3463.515063215
4038,2019.0,1.158397366,297.030061207,-3470.130362703,-3463.515897794
4039,2019.5,1.16511781,298.753281517,-3470.136257682,-3463.515842854
4040,2020.0,1.164899811,298.69738337,-3470.134200782,-3463.515609269
4041,2020.5,1.156936581,296.655494574,-3470.126162318,-3463.515593735
4042,2021.0,1.147866669,294.329836215,-3470.112017737,-3463.515694018
4043,2021.5,1.131702938,290.185218576,-3470.090237779,-3463.515511642
4044,2022.0,1.109137982,284.399233348,-3470.064010543,-3463.514744303
4045,2022.5,1.083921724,277.933415183,-3470.045131842,-3463.51388487
4046,2023.0,1.096320579,281.112663254,-3470.046169427,-3463.51380313
4047,2023.5,1.110875176,284.844675265,-3470.068327783,-3463.514551801
4048,2024.0,1.138126762,291.832381398,-3470.100847001,-3463.515355657
4049,2024.5,1.168267031,299.560787842,-3470.132083044,-3463.515725316
4050,2025.0,1.19803735,307.194334092,-3470.156129261,-3463.515738744
4051,2025.5,1.222034839,313.347641797,-3470.17386989,-3463.515242339
4052,2026.0,1.247571405,319.895591793,-3470.192495667,-3463.515283901
4053,2026.5,1.261837016,323.55350342,-3470.210021679,-3463.516563489
4054,2027.0,1.259888761,323.053942145,-3470.209137549,-3463.516763259
4055,2027.5,1.236961269,317.174997259,-3470.186172671,-3463.515670132
4056,2028.0,1.207967401,309.740544728,-3470.156509571,-3463.514376221
4057,2028.5,1.193284263,305.975572931,-3470.139428526,-3463.513757986
4058,2029.0,1.189271423,304.946621802,-3470.143920455,-3463.51424957
4059,2029.5,1.206051154,309.249190773,-3470.162805799,-3463.515256602
4060,2030.0,1.224590421,314.002930471,-3470.181258396,-3463.515879053
4061,2030.5,1.238810637,317.649202413,-3470.189561461,-3463.515854119
4062,2031.0,1.247827205,319.961182639,-3470.187213724,-3463.515427609
4063,2031.5,1.231948664,315.889691894,-3470.180211804,-3463.515047644
4064,2032.0,1.222291618,313.413483712,-3470.17429647,-3463.515277829
4065,2032.5,1.204634353,308.885902288,-3470.167187601,-3463.515937201
4066,2033.0,1.195150378,306.454072011,-3470.151612938,-3463.515827214
4067,2033.5,1.1734894,300.899879905,-3470.13148011,-3463.514547066
4068,2034.0,1.16575674,298.917112526,-3470.125107615,-3463.514187409
4069,2034.5,1.172003551,300.51888649,-3470.136716626,-3463.515594268
4070,2035.0,1.177547511,301.940439114,-3470.146855309,-3463.516156581
4071,2035.5,1.177182312,301.846796572,-3470.144574805,-3463.5156561
4072,2036.0,1.170088488,300.027836243,-3470.134700259,-3463.515068162
4073,2036.5,1.161909413,297.930601534,-3470.125048493,-3463.514823171
4074,2037.0,1.153234708,295.706280156,-3470.119151303,-3463.514752181
4075,2037.5,1.150345606,294.965471871,-3470.118542307,-3463.514533174
4076,2038.0,1.155389042,296.258682732,-3470.126687876,-3463.5143481
4077,2038.5,1.178120607,302.087389325,-3470.146097609,-3463.514648762
4078,2039.0,1.191555843,305.532380603,-3470.172478214,-3463.515380628
4079,2039.5,1.214091455,311.310841867,-3470.195844239,-3463.515938816
4080,2040.0,1.222833149,313.552340351,-3470.208796254,-3463.515932721
4081,2040.5,1.230330451,315.474758344,-3470.212055136,-3463.515599619
4082,2041.0,1.227087708,314.643271628,-3470.211240297,-3463.515444928
4083,2041.5,1.229603151,315.288268131,-3470.21064533,-3463.515382166
4084,2042.0,1.227524397,314.755244954,-3470.212687447,-3463.515526348
4085,2042.5,1.225418876,314.215358538,-3470.214770957,-3463.516087271
4086,2043.0,1.229289749,315.207907072,-3470.208348767,-3463.516016975
4087,2043.5,1.217249946,312.120725305,-3470.191318011,-3463.515658205
4088,2044.0,1.185164298,303.893494739,-3470.167027577,-3463.515279604
4089,2044.5,1.152747589,295.581375657,-3470.139982738,-3463.514927655
4090,2045.0,1.129362397,289.585069569,-3470.114792016,-3463.514578285
4091,2045.5,1.111342007,284.96437753,-3470.095827812,-3463.514278795
4092,2046.0,1.097213875,281.341717551,-3470.087251344,-3463.514231425
4093,2046.5,1.100212718,282.110664868,-3470.089876812,-3463.51449716
4094,2047.0,1.108923181,284.344155024,-3470.099895713,-3463.514820717
4095,2047.5,1.126941154,288.964227582,-3470.112557499,-3463.514951202
4096,2048.0,1.141572811,292.715998655,-3470.125771965,-3463.515000343
4097,2048.5,1.158751679,297.120912344,-3470.138350426,-3463.515291773
4098,2049.0,1.165327705,298.807101567,-3470.146551576,-3463.515661313
4099,2049.5,1.163780264,298.410315139,-3470.147435635,-3463.515148497
4100,2050.0,1.166737799,299.168670504,-3470.149778799,-3463.514449678
4101,2050.5,1.176422739,301.652031044,-3470.162661442,-3463.515213773
4102,2051.0,1.184262825,303.662344062,-3470.176185188,-3463.515930889
4103,2051.5,1.184545455,303.734814405,-3470.179610241,-3463.515586336
4104,2052.0,1.180579913,302.717991311,-3470.176313785,-3463.514972882
4105,2052.5,1.177259991,301.866714736,-3470.17400631,-3463.5149103
4106,2053.0,1.176919949,301.779522961,-3470.173744723,-3463.515045383
4107,2053.5,1.180598061,302.722644731,-3470.173568246,-3463.514963715
4108,2054.0,1.182240917,303.143897138,-3470.173904786,-3463.514848429
4109,2054.5,1.183834573,303.552533865,-3470.176188629,-3463.514793934
4110,2055.0,1.188140609,304.656664707,-3470.181498976,-3463.514730456
4111,2055.5,1.19273235,305.834054284,-3470.190918129,-3463.514751965
4112,2056.0,1.207043091,309.503537958,-3470.20425138,-3463.515022533
4113,2056.5,1.225317303,314.189313864,-3470.217196041,-3463.515646829
4114,2057.0,1.230444771,315.504071794,-3470.220551684,-3463.516177645
4115,2057.5,1.226427312,314.473936367,-3470.208303178,-3463.515602841
4116,2058.0,1.213198459,311.081864541,-3470.189889746,-3463.514634456
4117,2058.5,1.196620254,306.830969814,-3470.178865317,-3463.514953192
4118,2059.0,1.187834288,304.578119521,-3470.1728298,-3463.515119026
4119,2059.5,1.192246098,305.709372264,-3470.168259949,-3463.514954819
4120,2060.0,1.185304664,303.929486649,-3470.165274374,-3463.515268393
4121,2060.5,1.177435763,301.911785133,-3470.159450495,-3463.515349438
4122,2061.0,1.165795082,298.9269439,-3470.149583294,-3463.514780375
4123,2061.5,1.154894836,296.131961206,-3470.142823817,-3463.514419539
4124,2062.0,1.154070447,295.92057588,-3470.143822982,-3463.514641608
4125,2062.5,1.148899026,294.59454764,-3470.14949779,-3463.514848865
4126,2063.0,1.151448917,295.248377176,-3470.156518624,-3463.514778233
4127,2063.5,1.161133221,297.731574416,-3470.16544224,-3463.514607443
4128,2064.0,1.180546512,302.709426971,-3470.178308293,-3463.514658059
4129,2064.5,1.200757853,307.89191096,-3470.193759361,-3463.515231742
4130,2065.0,1.209053414,310.019014416,-3470.203541924,-3463.515929878
4131,2065.5,1.202681446,308.38514833,-3470.199392103,-3463.515657824
4132,2066.0,1.191877126,305.61476243,-3470.187205483,-3463.514711699
4133,2066.5,1.189389418,304.976877632,-3470.180278824,-3463.514952879
4134,2067.0,1.185357872,303.943130123,-3470.176204457,-3463.515354479
4135,2067.5,1.178935485,302.296335931,-3470.167857327,-3463.515283174
4136,2068.0,1.159380338,297.282109522,-3470.154513712,-3463.515205537
4137,2068.5,1.147951641,294.351624261,-3470.137394086,-3463.515024041
4138,2069.0,1.117477414,286.537585711,-3470.119492887,-3463.514837236
4139,2069.5,1.096131344,281.064140733,-3470.10430814,-3463.51459721
4140,2070.0,1.090278614,279.563414955,-3470.09597978,-3463.514267533
4141,2070.5,1.08808386,279.000647718,-3470.098625855,-3463.514345383
4142,2071.0,1.105277525,283.409355436,-3470.110456133,-3463.514823409
4143,2071.5,1.117908763,286.648189937,-3470.124291025,-3463.515140544
4144,2072.0,1.128103443,289.26225528,-3470.134506909,-3463.515399551
4145,2072.5,1.131844147,290.22142683,-3470.136575885,-3463.515807745
4146,2073.0,1.120180471,287.230689212,-3470.125333929,-3463.515837279
4147,2073.5,1.099572704,281.946555832,-3470.102502556,-3463.514886933
4148,2074.0,1.080216233,276.98327292,-3470.083988197,-3463.513710558
4149,2074.5,1.086220999,278.522983052,-3470.086792858,-3463.514213779
4150,2075.0,1.104593871,283.234056645,-3470.105020824,-3463.515201006
4151,2075.5,1.124771561,288.407911924,-3470.123194636,-3463.515567205
4152,2076.0,1.127400401,289.081985144,-3470.133408244,-3463.515703985
4153,2076.5,1.127965799,289.226961375,-3470.133005814,-3463.515752054
4154,2077.0,1.119626154,287.088554206,-3470.121184118,-3463.515626458
4155,2077.5,1.102791295,282.771849726,-3470.100243655,-3463.515317906
4156,2078.0,1.073309689,275.212333833,-3470.075700775,-3463.514932792
4157,2078.5,1.053580371,270.153447567,-3470.054813818,-3463.514276559
