Time_ps,HBonds_per_interfacial_water,N_interfacial_water
0.0,1.6571428571428573,35
0.0005,1.6571428571428573,35
0.001,1.6571428571428573,35
0.0015,1.6571428571428573,35
0.002,1.6571428571428573,35
0.0025,1.6571428571428573,35
0.003,1.6571428571428573,35
0.0035,1.6285714285714286,35
0.004,1.6,35
0.0045,1.5714285714285714,35
0.005,1.5714285714285714,35
0.0055,0.8,5
0.006,0.8,5
0.0065,1.5,34
0.007,1.5,34
0.0075,0.8,5
0.008,1.4705882352941178,34
0.0085,1.4705882352941178,34
0.009,1.4705882352941178,34
0.0095,1.5,34
0.01,1.5,34
0.0105,1.5,34
0.011,1.5,34
0.0115,0.8333333333333334,6
0.012,1.542857142857143,35
0.0125,1.542857142857143,35
0.013,1.5277777777777777,36
0.0135,1.5277777777777777,36
0.014,1.5,36
0.0145,1.0,6
0.015,1.0,6
0.0155,1.0,6
0.016,1.1666666666666667,6
0.0165,1.1666666666666667,6
0.017,1.2,5
0.0175,1.4444444444444444,36
0.018,1.4444444444444444,36
0.0185,1.4166666666666667,36
0.019,1.3846153846153846,39
0.0195,1.358974358974359,39
0.02,1.1666666666666667,6
0.0205,1.1666666666666667,6
0.021,1.358974358974359,39
0.0215,1.358974358974359,39
0.022,1.3888888888888888,36
0.0225,1.6666666666666667,3
0.023,1.3333333333333333,3
0.0235,1.3888888888888888,36
0.024,1.3333333333333333,36
0.0245,1.3333333333333333,36
0.025,1.3611111111111112,36
0.0255,1.3611111111111112,36
0.026,1.25,4
0.0265,1.3333333333333333,3
0.027,1.3333333333333333,3
0.0275,1.3333333333333333,3
0.028,1.6666666666666667,3
0.0285,1.3888888888888888,36
0.029,1.3888888888888888,36
0.0295,1.3888888888888888,36
0.03,1.3888888888888888,36
0.0305,0.8333333333333334,6
0.031,1.0,6
0.0315,1.1666666666666667,6
0.032,1.1666666666666667,6
0.0325,1.1666666666666667,6
0.033,1.1666666666666667,6
0.0335,1.1666666666666667,6
0.034,1.3333333333333333,36
0.0345,1.3611111111111112,36
0.035,0.8571428571428571,7
0.0355,0.8571428571428571,7
0.036,1.3611111111111112,36
0.0365,1.3611111111111112,36
0.037,1.3333333333333333,36
0.0375,1.3055555555555556,36
0.038,1.3055555555555556,36
0.0385,1.3055555555555556,36
0.039,1.3333333333333333,36
0.0395,1.0,3
0.04,0.6666666666666666,3
0.0405,0.6666666666666666,3
0.041,0.6666666666666666,3
0.0415,0.6666666666666666,3
0.042,0.6666666666666666,3
0.0425,0.6666666666666666,3
0.043,1.3611111111111112,36
0.0435,1.3611111111111112,36
0.044,1.3611111111111112,36
0.0445,0.4,5
0.045,0.4,5
0.0455,0.4,5
0.046,1.4166666666666667,36
0.0465,1.4166666666666667,36
0.047,1.4166666666666667,36
0.0475,1.4166666666666667,36
0.048,1.4444444444444444,36
0.0485,1.4444444444444444,36
0.049,1.4594594594594594,37
0.0495,1.4594594594594594,37
0.05,1.4864864864864864,37
0.0505,1.4864864864864864,37
0.051,1.4864864864864864,37
0.0515,1.4864864864864864,37
0.052,1.4594594594594594,37
0.0525,1.4594594594594594,37
0.053,1.4864864864864864,37
0.0535,1.4864864864864864,37
0.054,1.4864864864864864,37
0.0545,1.4594594594594594,37
0.055,1.4594594594594594,37
0.0555,1.4166666666666667,36
0.056,1.4166666666666667,36
0.0565,1.4594594594594594,37
0.057,1.4864864864864864,37
0.0575,1.5135135135135136,37
0.058,1.5135135135135136,37
0.0585,1.5135135135135136,37
0.059,1.5135135135135136,37
0.0595,0.8,5
0.06,0.8,5
0.0605,0.8,5
0.061,0.3333333333333333,3
0.0615,0.0,0
0.062,0.0,0
0.0625,0.0,0
0.063,0.0,0
0.0635,0.0,0
0.064,0.0,0
0.0645,0.0,0
0.065,0.0,0
0.0655,0.0,0
0.066,0.5,2
0.0665,0.5,2
0.067,0.0,2
0.0675,0.0,2
0.068,0.0,2
0.0685,0.0,2
0.069,0.8,5
0.0695,0.8,5
0.07,0.8,5
0.0705,0.8,5
0.071,0.8,5
0.0715,0.0,2
0.072,0.0,2
0.0725,0.0,0
0.073,0.0,0
0.0735,0.0,0
0.074,0.0,0
0.0745,0.0,0
0.075,1.4722222222222223,36
0.0755,1.4722222222222223,36
0.076,1.4722222222222223,36
0.0765,1.4444444444444444,36
0.077,1.4444444444444444,36
0.0775,1.4444444444444444,36
0.078,1.4444444444444444,36
0.0785,1.4166666666666667,36
0.079,1.4722222222222223,36
0.0795,1.4324324324324325,37
0.08,1.4054054054054055,37
0.0805,0.6,5
0.081,0.6,5
0.0815,0.6,5
0.082,0.6,5
0.0825,0.6,5
0.083,1.3783783783783783,37
0.0835,1.3513513513513513,37
0.084,0.0,0
0.0845,0.0,0
0.085,0.0,0
0.0855,0.0,0
0.086,0.0,0
0.0865,0.0,0
0.087,0.0,0
0.0875,0.0,0
0.088,0.0,0
0.0885,0.0,0
0.089,1.3243243243243243,37
0.0895,1.2972972972972974,37
0.09,1.2972972972972974,37
0.0905,1.2972972972972974,37
0.091,1.2972972972972974,37
0.0915,1.2972972972972974,37
0.092,0.8,5
0.0925,0.8,5
0.093,0.8,5
0.0935,0.8,5
0.094,0.8,5
0.0945,1.3055555555555556,36
0.095,1.3333333333333333,36
0.0955,0.0,0
0.096,0.0,0
0.0965,0.0,0
0.097,0.0,0
0.0975,0.0,0
0.098,0.0,0
0.0985,0.0,0
0.099,0.0,0
0.0995,0.0,0
0.1,0.0,0
0.1005,1.2352941176470589,34
0.101,1.2352941176470589,34
0.1015,1.2352941176470589,34
0.102,1.2352941176470589,34
0.1025,1.3055555555555556,36
0.103,1.3055555555555556,36
0.1035,1.3055555555555556,36
0.104,1.3055555555555556,36
0.1045,1.2777777777777777,36
0.105,1.2777777777777777,36
0.1055,1.25,36
0.106,1.25,36
0.1065,1.25,36
0.107,1.25,36
0.1075,1.25,36
0.108,0.0,0
0.1085,0.0,0
0.109,0.0,0
0.1095,0.0,0
0.11,0.6666666666666666,3
0.1105,0.0,0
0.111,0.0,0
0.1115,0.0,0
0.112,0.0,0
0.1125,0.0,0
0.113,0.0,0
0.1135,1.2647058823529411,34
0.114,1.2941176470588236,34
0.1145,1.2941176470588236,34
0.115,1.3235294117647058,34
0.1155,1.3235294117647058,34
0.116,1.3235294117647058,34
0.1165,1.3529411764705883,34
0.117,1.3529411764705883,34
0.1175,1.3529411764705883,34
0.118,1.4722222222222223,36
0.1185,1.5,36
0.119,1.5277777777777777,36
0.1195,1.5277777777777777,36
0.12,0.8,5
0.1205,0.6666666666666666,3
0.121,0.6666666666666666,3
0.1215,0.6666666666666666,3
0.122,0.6666666666666666,3
0.1225,0.6666666666666666,3
0.123,0.6666666666666666,3
0.1235,0.3333333333333333,3
0.124,0.3333333333333333,3
0.1245,0.3333333333333333,3
0.125,1.4166666666666667,36
0.1255,1.3888888888888888,36
0.126,1.4166666666666667,36
0.1265,1.4166666666666667,36
0.127,0.6,5
0.1275,0.6,5
0.128,0.6,5
0.1285,0.8,5
0.129,0.8,5
0.1295,1.4285714285714286,35
0.13,1.4285714285714286,35
0.1305,1.4,35
0.131,1.4,35
0.1315,1.4,35
0.132,0.6666666666666666,3
0.1325,0.6666666666666666,3
0.133,0.6666666666666666,3
0.1335,0.6666666666666666,3
0.134,0.6666666666666666,3
0.1345,0.6666666666666666,3
0.135,1.3611111111111112,36
0.1355,1.3714285714285714,35
0.136,1.3714285714285714,35
0.1365,1.3714285714285714,35
0.137,1.3611111111111112,36
0.1375,1.3783783783783783,37
0.138,1.3783783783783783,37
0.1385,1.3783783783783783,37
0.139,1.3783783783783783,37
0.1395,1.3783783783783783,37
0.14,1.3783783783783783,37
0.1405,1.3783783783783783,37
0.141,1.3783783783783783,37
0.1415,1.1666666666666667,6
0.142,1.1666666666666667,6
0.1425,1.1666666666666667,6
0.143,1.1666666666666667,6
0.1435,0.75,4
0.144,0.75,4
0.1445,0.75,4
0.145,1.3548387096774193,31
0.1455,1.3548387096774193,31
0.146,1.3548387096774193,31
0.1465,1.411764705882353,34
0.147,1.3823529411764706,34
0.1475,1.3823529411764706,34
0.148,1.3823529411764706,34
0.1485,1.3823529411764706,34
0.149,1.3823529411764706,34
0.1495,1.411764705882353,34
0.15,1.411764705882353,34
0.1505,1.411764705882353,34
0.151,1.4411764705882353,34
0.1515,1.4411764705882353,34
0.152,1.4411764705882353,34
0.1525,1.4411764705882353,34
0.153,1.4411764705882353,34
0.1535,1.4411764705882353,34
0.154,1.4411764705882353,34
0.1545,1.4411764705882353,34
0.155,1.4411764705882353,34
0.1555,1.4516129032258065,31
0.156,1.4516129032258065,31
0.1565,1.4193548387096775,31
0.157,1.4516129032258065,31
0.1575,1.4516129032258065,31
0.158,1.4516129032258065,31
0.1585,1.4516129032258065,31
0.159,1.4516129032258065,31
0.1595,1.4516129032258065,31
0.16,1.4516129032258065,31
0.1605,0.6666666666666666,3
0.161,0.6666666666666666,3
0.1615,1.1666666666666667,6
0.162,1.1666666666666667,6
0.1625,1.1666666666666667,6
0.163,1.5588235294117647,34
