Time_fs,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic,PC1,PC2,LBHB_Fraction,Avg_Wire_Length,Hodge_Gradient_Pct,Hodge_Curl_Pct,Hodge_Harmonic_Pct
0.0,134,1,45,0,-44,0.147428,-1.1580452,0.0,0.0,99.99999850668236,0.0,0.0038159142344194
0.5,134,1,45,0,-44,0.147428,-1.1580452,0.0,0.0,99.99999849890058,0.0,0.0038259691981207
1.0,134,1,45,0,-44,0.147428,-1.1580452,0.0,0.0,99.99999820658984,0.0,0.0041328859505289
1.5,134,1,45,0,-44,0.30582482,-0.36378998,0.0,0.0,99.9999980948935,0.0,0.0042448739022439
2.0,133,1,45,0,-44,0.3383646,-0.4122638,0.001669449081803,0.0,99.9999978914556,0.0,0.0049022461697077
2.5,132,1,45,0,-44,0.3205048,-0.38266492,0.0027378507871321,0.0,99.99999851487368,0.0,0.0049129530555374
3.0,132,1,45,0,-44,0.3205048,-0.38266492,0.0034822983168891,0.0,99.99999840236818,0.0,0.0050714041465808
3.5,132,1,45,0,-44,0.3205048,-0.38266492,0.003030303030303,0.0,99.9999981263585,0.0,0.0042392253184824
4.0,133,1,46,0,-45,0.3282038,-0.4663455,0.002680965147453,0.0,99.99999808002164,0.0,0.0038013625448587
4.5,133,1,46,0,-45,0.3282038,-0.4663455,0.0024057738572574,0.0,99.99999809324244,0.0,0.0039063804674748
5.0,130,1,44,0,-43,0.317233,-0.3824613,0.0021794406102433,0.0,99.99999758421605,0.0,0.004424204126535
5.5,131,1,43,0,-42,0.5038808,-0.47408527,0.0019926934573231,0.0,99.99999754205491,0.0,0.004317524709477
6.0,131,1,43,0,-42,0.5038808,-0.47408527,0.0024494794856093,0.0,99.99999830974808,0.0,0.0036731595032699
6.5,128,1,41,0,-40,-0.37803498,-0.34265423,0.0034090909090909,0.0,99.99999831084732,0.0,0.0036722588388981
7.0,129,1,41,0,-40,-0.7315358,0.4611199,0.0042417815482502,0.0,99.99999846274628,0.0,0.0049864228518695
7.5,129,1,41,0,-40,-0.7315358,0.4611199,0.004964010920824,0.0,99.99999817371103,0.0,0.00519274140092
8.0,129,1,42,0,-41,0.9662281,-0.45143843,0.0055996266915538,0.0,99.99999769895906,0.0,0.0046921810354974
8.5,128,1,42,0,-41,0.26744062,-0.64573866,0.0061674008810572,0.0,99.99999771418564,0.0,0.0038971284439418
9.0,128,1,42,0,-41,0.26744062,-0.64573866,0.0070921985815602,0.0,99.99999783447964,0.0,0.004006697192838
9.5,130,1,43,0,-42,0.680986,-0.59304184,0.0075202849792202,0.0,99.99999852001493,0.0,0.005118958430717
10.0,129,1,43,0,-42,0.034136742,-0.1431204,0.0075258701787394,0.0,99.99999802488588,0.0,0.0049234581321511
