time_fs,time_ps,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic
2000.0,2.0,156,1,59,0,-58
2000.5,2.0005,157,1,59,0,-58
2001.0,2.001,157,1,59,0,-58
2001.5,2.0015,156,1,59,0,-58
2002.0,2.002,156,1,59,0,-58
2002.5,2.0025,156,1,59,0,-58
2003.0,2.003,156,1,59,0,-58
2003.5,2.0035,155,1,58,0,-57
2004.0,2.004,155,1,58,0,-57
2004.5,2.0045,156,1,58,0,-57
2005.0,2.005,156,1,58,0,-57
2005.5,2.0055,155,1,57,0,-56
2006.0,2.006,154,1,56,0,-55
2006.5,2.0065,155,1,57,0,-56
2007.0,2.007,155,1,57,0,-56
2007.5,2.0075,155,1,57,0,-56
2008.0,2.008,156,1,58,0,-57
2008.5,2.0085,156,1,58,0,-57
2009.0,2.009,157,1,59,0,-58
2009.5,2.0095,157,1,59,0,-58
2010.0,2.01,157,1,59,0,-58
2010.5,2.0105,158,1,59,0,-58
2011.0,2.011,158,1,59,0,-58
2011.5,2.0115,157,1,59,0,-58
2012.0,2.012,157,1,59,0,-58
2012.5,2.0125,157,1,59,0,-58
2013.0,2.013,157,1,58,0,-57
2013.5,2.0135,157,1,58,0,-57
2014.0,2.014,160,1,61,0,-60
2014.5,2.0145,160,1,61,0,-60
2015.0,2.015,160,1,61,0,-60
2015.5,2.0155,161,1,62,0,-61
2016.0,2.016,160,1,62,0,-61
2016.5,2.0165,161,1,63,0,-62
2017.0,2.017,160,1,63,0,-62
2017.5,2.0175,160,1,63,0,-62
2018.0,2.018,160,1,63,0,-62
2018.5,2.0185,159,1,62,0,-61
2019.0,2.019,158,1,61,0,-60
2019.5,2.0195,158,1,61,0,-60
2020.0,2.02,158,1,60,0,-59
2020.5,2.0205,159,1,61,0,-60
2021.0,2.021,159,1,61,0,-60
2021.5,2.0215,158,1,60,0,-59
2022.0,2.022,158,1,60,0,-59
2022.5,2.0225,160,1,62,0,-61
2023.0,2.023,159,1,63,0,-62
2023.5,2.0235,158,1,62,0,-61
2024.0,2.024,158,1,62,0,-61
2024.5,2.0245,157,1,61,0,-60
2025.0,2.025,156,1,60,0,-59
2025.5,2.0255,156,1,60,0,-59
2026.0,2.026,156,1,60,0,-59
2026.5,2.0265,154,1,58,0,-57
2027.0,2.027,154,1,58,0,-57
2027.5,2.0275,154,1,58,0,-57
2028.0,2.028,154,1,58,0,-57
2028.5,2.0285,154,1,58,0,-57
2029.0,2.029,155,1,59,0,-58
2029.5,2.0295,154,1,58,0,-57
2030.0,2.03,155,1,59,0,-58
2030.5,2.0305,156,1,59,0,-58
2031.0,2.031,156,1,59,0,-58
2031.5,2.0315,154,1,57,0,-56
2032.0,2.032,154,1,57,0,-56
2032.5,2.0325,153,1,57,0,-56
2033.0,2.033,153,1,57,0,-56
2033.5,2.0335,152,1,56,0,-55
2034.0,2.034,152,1,56,0,-55
2034.5,2.0345,152,1,56,0,-55
2035.0,2.035,150,1,55,0,-54
2035.5,2.0355,151,1,56,0,-55
2036.0,2.036,151,1,56,0,-55
2036.5,2.0365,151,1,56,0,-55
2037.0,2.037,151,1,56,0,-55
2037.5,2.0375,151,1,56,0,-55
2038.0,2.038,152,1,57,0,-56
2038.5,2.0385,152,1,57,0,-56
2039.0,2.039,152,1,57,0,-56
2039.5,2.0395,152,1,57,0,-56
2040.0,2.04,153,1,58,0,-57
2040.5,2.0405,153,1,58,0,-57
2041.0,2.041,153,1,58,0,-57
2041.5,2.0415,151,1,56,0,-55
2042.0,2.042,151,1,56,0,-55
2042.5,2.0425,151,1,56,0,-55
2043.0,2.043,151,1,56,0,-55
2043.5,2.0435,152,1,57,0,-56
2044.0,2.044,152,1,57,0,-56
2044.5,2.0445,152,1,57,0,-56
2045.0,2.045,152,1,57,0,-56
2045.5,2.0455,152,1,57,0,-56
2046.0,2.046,152,1,57,0,-56
2046.5,2.0465,151,1,56,0,-55
2047.0,2.047,151,1,56,0,-55
2047.5,2.0475,151,1,56,0,-55
2048.0,2.048,152,1,57,0,-56
2048.5,2.0485,152,1,57,0,-56
2049.0,2.049,152,1,57,0,-56
2049.5,2.0495,153,1,57,0,-56
2050.0,2.05,153,1,57,0,-56
2050.5,2.0505,153,1,57,0,-56
2051.0,2.051,154,1,58,0,-57
2051.5,2.0515,156,1,59,0,-58
2052.0,2.052,156,1,59,0,-58
2052.5,2.0525,156,1,59,0,-58
2053.0,2.053,156,1,59,0,-58
2053.5,2.0535,157,1,59,0,-58
2054.0,2.054,157,1,59,0,-58
2054.5,2.0545,157,1,59,0,-58
2055.0,2.055,156,1,58,0,-57
2055.5,2.0555,156,1,58,0,-57
2056.0,2.056,156,1,58,0,-57
2056.5,2.0565,155,1,58,0,-57
2057.0,2.057,156,1,59,0,-58
2057.5,2.0575,156,1,59,0,-58
2058.0,2.058,155,1,58,0,-57
2058.5,2.0585,155,1,58,0,-57
2059.0,2.059,156,1,59,0,-58
2059.5,2.0595,156,1,59,0,-58
2060.0,2.06,155,1,58,0,-57
2060.5,2.0605,154,1,57,0,-56
2061.0,2.061,155,1,58,0,-57
2061.5,2.0615,154,1,58,0,-57
2062.0,2.062,154,1,58,0,-57
2062.5,2.0625,153,1,57,0,-56
2063.0,2.063,152,1,56,0,-55
2063.5,2.0635,152,1,56,0,-55
2064.0,2.064,154,1,57,0,-56
2064.5,2.0645,155,1,58,0,-57
2065.0,2.065,154,1,58,0,-57
2065.5,2.0655,153,1,57,0,-56
2066.0,2.066,152,1,56,0,-55
2066.5,2.0665,154,1,58,0,-57
2067.0,2.067,154,1,58,0,-57
2067.5,2.0675,154,1,58,0,-57
2068.0,2.068,154,1,58,0,-57
2068.5,2.0685,152,1,57,0,-56
2069.0,2.069,152,1,57,0,-56
2069.5,2.0695,153,1,58,0,-57
2070.0,2.07,153,1,58,0,-57
2070.5,2.0705,153,1,58,0,-57
2071.0,2.071,153,1,58,0,-57
2071.5,2.0715,153,1,58,0,-57
2072.0,2.072,153,1,58,0,-57
2072.5,2.0725,153,1,58,0,-57
2073.0,2.073,154,1,58,0,-57
2073.5,2.0735,155,1,58,0,-57
2074.0,2.074,155,1,58,0,-57
2074.5,2.0745,155,1,58,0,-57
2075.0,2.075,155,1,58,0,-57
2075.5,2.0755,155,1,58,0,-57
2076.0,2.076,155,1,58,0,-57
2076.5,2.0765,155,1,58,0,-57
2077.0,2.077,154,1,58,0,-57
2077.5,2.0775,154,1,58,0,-57
2078.0,2.078,155,1,58,0,-57
2078.5,2.0785,155,1,58,0,-57
2079.0,2.079,153,1,56,0,-55
2079.5,2.0795,153,1,56,0,-55
2080.0,2.08,153,1,56,0,-55
2080.5,2.0805,153,1,56,0,-55
2081.0,2.081,153,1,56,0,-55
2081.5,2.0815,153,1,56,0,-55
2082.0,2.082,152,1,56,0,-55
2082.5,2.0825,152,1,56,0,-55
2083.0,2.083,153,1,55,0,-54
2083.5,2.0835,154,1,56,0,-55
2084.0,2.084,155,1,57,0,-56
2084.5,2.0845,156,1,58,0,-57
2085.0,2.085,156,1,58,0,-57
2085.5,2.0855,156,1,58,0,-57
2086.0,2.086,156,1,58,0,-57
2086.5,2.0865,154,1,56,0,-55
2087.0,2.087,153,1,57,0,-56
2087.5,2.0875,153,1,57,0,-56
2088.0,2.088,154,1,58,0,-57
2088.5,2.0885,154,1,58,0,-57
2089.0,2.089,154,1,58,0,-57
2089.5,2.0895,154,1,58,0,-57
2090.0,2.09,153,1,57,0,-56
2090.5,2.0905,153,1,57,0,-56
2091.0,2.091,153,1,57,0,-56
2091.5,2.0915,153,1,57,0,-56
2092.0,2.092,153,1,57,0,-56
2092.5,2.0925,153,1,57,0,-56
2093.0,2.093,153,1,57,0,-56
2093.5,2.0935,153,1,57,0,-56
2094.0,2.094,152,1,56,0,-55
2094.5,2.0945,152,1,56,0,-55
2095.0,2.095,152,1,56,0,-55
2095.5,2.0955,152,1,56,0,-55
2096.0,2.096,151,1,55,0,-54
2096.5,2.0965,150,1,55,0,-54
2097.0,2.097,150,1,55,0,-54
2097.5,2.0975,150,1,55,0,-54
2098.0,2.098,153,1,57,0,-56
2098.5,2.0985,153,1,57,0,-56
2099.0,2.099,153,1,57,0,-56
2099.5,2.0995,153,1,57,0,-56
2100.0,2.1,153,1,57,0,-56
2100.5,2.1005,154,1,58,0,-57
2101.0,2.101,155,1,58,0,-57
2101.5,2.1015,155,1,58,0,-57
2102.0,2.102,155,1,58,0,-57
2102.5,2.1025,155,2,58,0,-56
2103.0,2.103,152,2,56,0,-54
2103.5,2.1035,153,1,56,0,-55
2104.0,2.104,154,1,57,0,-56
2104.5,2.1045,155,1,58,0,-57
2105.0,2.105,155,1,58,0,-57
2105.5,2.1055,154,1,58,0,-57
2106.0,2.106,154,1,58,0,-57
2106.5,2.1065,153,1,57,0,-56
2107.0,2.107,153,1,57,0,-56
2107.5,2.1075,152,1,56,0,-55
2108.0,2.108,152,1,55,0,-54
