frame_idx,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.24257979,0.22334407,0.49375674,-0.12160668,0.46825805,0.2855773,0.58082765,0.0059981234,-0.4794576,-0.12775844,-0.18150936,-0.2567118,-0.04781682,0.28347394,-0.17418678,-0.25521132,0.04938058,-0.26934487,-0.16388547,0.15003711,0.23821029,-0.05752228,-0.52610195,-0.32419172,0.50776863,-0.13535084,-0.23169045,-0.4213304,-0.23900945,0.31351006,0.14193137,0.17057279
1,-0.24257979,0.22334407,0.49375674,-0.12160668,0.46825805,0.2855773,0.58082765,0.0059981234,-0.4794576,-0.12775844,-0.18150936,-0.2567118,-0.04781682,0.28347394,-0.17418678,-0.25521132,0.04938058,-0.26934487,-0.16388547,0.15003711,0.23821029,-0.05752228,-0.52610195,-0.32419172,0.50776863,-0.13535084,-0.23169045,-0.4213304,-0.23900945,0.31351006,0.14193137,0.17057279
2,-0.24257979,0.22334407,0.49375674,-0.12160668,0.46825805,0.2855773,0.58082765,0.0059981234,-0.4794576,-0.12775844,-0.18150936,-0.2567118,-0.04781682,0.28347394,-0.17418678,-0.25521132,0.04938058,-0.26934487,-0.16388547,0.15003711,0.23821029,-0.05752228,-0.52610195,-0.32419172,0.50776863,-0.13535084,-0.23169045,-0.4213304,-0.23900945,0.31351006,0.14193137,0.17057279
3,-0.24257979,0.22334407,0.49375674,-0.12160668,0.46825805,0.2855773,0.58082765,0.0059981234,-0.4794576,-0.12775844,-0.18150936,-0.2567118,-0.04781682,0.28347394,-0.17418678,-0.25521132,0.04938058,-0.26934487,-0.16388547,0.15003711,0.23821029,-0.05752228,-0.52610195,-0.32419172,0.50776863,-0.13535084,-0.23169045,-0.4213304,-0.23900945,0.31351006,0.14193137,0.17057279
4,-0.24257979,0.22334407,0.49375674,-0.12160668,0.46825805,0.2855773,0.58082765,0.0059981234,-0.4794576,-0.12775844,-0.18150936,-0.2567118,-0.04781682,0.28347394,-0.17418678,-0.25521132,0.04938058,-0.26934487,-0.16388547,0.15003711,0.23821029,-0.05752228,-0.52610195,-0.32419172,0.50776863,-0.13535084,-0.23169045,-0.4213304,-0.23900945,0.31351006,0.14193137,0.17057279
5,-0.24257979,0.22334407,0.49375674,-0.12160668,0.46825805,0.2855773,0.58082765,0.0059981234,-0.4794576,-0.12775844,-0.18150936,-0.2567118,-0.04781682,0.28347394,-0.17418678,-0.25521132,0.04938058,-0.26934487,-0.16388547,0.15003711,0.23821029,-0.05752228,-0.52610195,-0.32419172,0.50776863,-0.13535084,-0.23169045,-0.4213304,-0.23900945,0.31351006,0.14193137,0.17057279
6,-0.24257979,0.22334407,0.49375674,-0.12160668,0.46825805,0.2855773,0.58082765,0.0059981234,-0.4794576,-0.12775844,-0.18150936,-0.2567118,-0.04781682,0.28347394,-0.17418678,-0.25521132,0.04938058,-0.26934487,-0.16388547,0.15003711,0.23821029,-0.05752228,-0.52610195,-0.32419172,0.50776863,-0.13535084,-0.23169045,-0.4213304,-0.23900945,0.31351006,0.14193137,0.17057279
7,-0.60083157,-0.37041044,0.27606827,-0.09906144,0.16605656,0.20128047,0.13809957,-0.019325428,-0.009346312,0.0643995,-0.3838187,0.56245893,-0.097260624,0.44670808,0.18639809,-0.08685905,0.4608405,-0.09719843,0.5912764,0.28771123,0.5465924,0.042803213,0.04640599,-0.24987434,0.048899107,-0.22455713,-0.11939269,0.28793988,0.22589678,0.29848287,-0.26076123,0.13735518
8,-0.60083157,-0.37041044,0.27606827,-0.09906144,0.16605656,0.20128047,0.13809957,-0.019325428,-0.009346312,0.0643995,-0.3838187,0.56245893,-0.097260624,0.44670808,0.18639809,-0.08685905,0.4608405,-0.09719843,0.5912764,0.28771123,0.5465924,0.042803213,0.04640599,-0.24987434,0.048899107,-0.22455713,-0.11939269,0.28793988,0.22589678,0.29848287,-0.26076123,0.13735518
9,-0.033729266,0.26637647,0.39590475,0.22836193,0.19853997,-0.34024718,0.347197,-0.4912215,-0.42246717,0.116718404,-0.54174024,-0.02214352,0.17734136,0.22865193,-0.008111548,-0.02580523,-0.31482434,-0.19628139,-0.012693644,-0.052968703,0.19321129,-0.026397822,-0.41813648,-0.7682209,0.44050363,-0.27692473,-0.27219272,0.20453633,0.19915868,0.2005959,0.10133624,-0.03198834
10,-0.033729266,0.26637647,0.39590475,0.22836193,0.19853997,-0.34024718,0.347197,-0.4912215,-0.42246717,0.116718404,-0.54174024,-0.02214352,0.17734136,0.22865193,-0.008111548,-0.02580523,-0.31482434,-0.19628139,-0.012693644,-0.052968703,0.19321129,-0.026397822,-0.41813648,-0.7682209,0.44050363,-0.27692473,-0.27219272,0.20453633,0.19915868,0.2005959,0.10133624,-0.03198834
11,-0.25607798,0.40800196,0.5018303,0.13646913,0.45779735,-0.15383288,0.5545298,0.14754635,-0.5188952,0.040560964,-0.1017265,0.27089134,-0.05375858,-0.04808464,0.29952976,-0.08288096,0.27489543,-0.18703334,-0.44578224,0.11473615,-0.19142736,0.40405932,-0.6953731,-0.15309112,0.40683594,-0.10947005,-0.24125262,-0.008531562,-0.10959557,-0.06904093,0.15163201,0.29633474
12,-0.5669258,-0.10521439,-0.15836819,-0.40758458,-0.060998105,0.2897677,-0.35967115,-0.16032666,-0.3225128,-0.13984458,-0.3660588,0.45852762,-0.32831794,-0.12151756,0.29058933,0.13900743,0.5119966,0.066464156,0.0020460167,-0.39607552,0.063073315,0.022591796,-0.5290009,-0.25657597,-0.023905829,0.07956786,-0.037488434,-0.02525989,-0.0057033156,0.59056747,-0.433077,0.43027636
13,0.045164037,0.2281944,-0.23194776,-0.18265107,0.46294105,0.25615293,-0.6415502,-0.431568,-0.018196559,0.12640832,0.08759252,-0.04044438,0.4220731,-0.21559529,-0.005610383,-0.64480364,0.1732414,-0.3494101,-0.4317788,0.06951515,-0.1257105,-0.5596387,-0.37976536,-0.034435593,-0.35437107,0.010029575,-0.5108803,0.10056375,0.036761727,0.33737347,-0.042708352,-0.023092596
14,0.07229229,0.20137459,0.42891413,0.51606977,0.18081684,0.1733965,0.29293025,0.11307185,-0.18793616,-0.33525202,-0.27327758,0.035253976,-0.42533252,-0.15230244,0.041753925,0.25762743,0.54515797,-0.07524331,-0.22730695,0.1561039,0.07287356,-0.012424509,-0.3228978,-0.32305777,0.37207866,-0.27700254,-0.396532,-0.40684196,-0.002256213,-0.08446482,-0.0686062,0.80557716
15,0.07229229,0.20137459,0.42891413,0.51606977,0.18081684,0.1733965,0.29293025,0.11307185,-0.18793616,-0.33525202,-0.27327758,0.035253976,-0.42533252,-0.15230244,0.041753925,0.25762743,0.54515797,-0.07524331,-0.22730695,0.1561039,0.07287356,-0.012424509,-0.3228978,-0.32305777,0.37207866,-0.27700254,-0.396532,-0.40684196,-0.002256213,-0.08446482,-0.0686062,0.80557716
16,-0.04825427,0.37116706,0.46859282,0.20629421,0.5662124,0.3223684,0.46342745,0.04788636,-0.35784933,-0.4880762,-0.5295405,-0.15591554,0.33693543,-0.024479998,-0.30463222,0.068900436,-0.17920929,-0.3153328,0.04227242,0.27808675,0.29322073,0.24186893,-0.43501887,-0.31938705,0.49998373,-0.106638916,-0.095168576,0.034721646,-0.055736437,0.13914552,-0.17580847,0.12380838
17,-0.04825427,0.37116706,0.46859282,0.20629421,0.5662124,0.3223684,0.46342745,0.04788636,-0.35784933,-0.4880762,-0.5295405,-0.15591554,0.33693543,-0.024479998,-0.30463222,0.068900436,-0.17920929,-0.3153328,0.04227242,0.27808675,0.29322073,0.24186893,-0.43501887,-0.31938705,0.49998373,-0.106638916,-0.095168576,0.034721646,-0.055736437,0.13914552,-0.17580847,0.12380838
18,0.033060774,0.2967571,0.2644216,-0.027021278,0.34263557,-0.14810623,0.582827,-0.26752478,-0.38374168,0.1316554,-0.10560021,-0.13597013,0.08354195,0.58262926,-0.2710027,0.18139781,0.33238095,-0.16927929,-0.0107027115,0.12767616,0.49631086,-0.06445191,-0.4098662,-0.6062446,0.39465716,-0.15606351,-0.33069643,-0.13669948,-0.39407673,0.37525642,0.15982223,0.010152953
19,0.033060774,0.2967571,0.2644216,-0.027021278,0.34263557,-0.14810623,0.582827,-0.26752478,-0.38374168,0.1316554,-0.10560021,-0.13597013,0.08354195,0.58262926,-0.2710027,0.18139781,0.33238095,-0.16927929,-0.0107027115,0.12767616,0.49631086,-0.06445191,-0.4098662,-0.6062446,0.39465716,-0.15606351,-0.33069643,-0.13669948,-0.39407673,0.37525642,0.15982223,0.010152953
