Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
4000,2000.0,1.237060821,316.814635156,-3455.580395036,-3448.451657993
4001,2000.5,1.215143306,311.201499963,-3455.553627915,-3448.450350653
4002,2001.0,1.210376951,309.980823694,-3455.548578627,-3448.450624589
4003,2001.5,1.221559814,312.844785161,-3455.561344689,-3448.451310284
4004,2002.0,1.239576515,317.458911296,-3455.578850156,-3448.45240322
4005,2002.5,1.238856064,317.274401792,-3455.583963105,-3448.452918729
4006,2003.0,1.219088032,312.211755141,-3455.568365014,-3448.452692583
4007,2003.5,1.18995791,304.7514517,-3455.536846369,-3448.451641223
4008,2004.0,1.154159649,295.583419854,-3455.507073854,-3448.450273757
4009,2004.5,1.147854343,293.968613842,-3455.499619185,-3448.450099017
4010,2005.0,1.16950585,299.513623779,-3455.517978264,-3448.451174016
4011,2005.5,1.19865798,306.979563426,-3455.547305686,-3448.452421258
4012,2006.0,1.222406616,313.061653514,-3455.569190067,-3448.453380246
4013,2006.5,1.229034733,314.759132233,-3455.57417674,-3448.452035495
4014,2007.0,1.246691142,319.280986616,-3455.587042222,-3448.450522371
4015,2007.5,1.272053545,325.776366699,-3455.622571104,-3448.454839479
4016,2008.0,1.270462812,325.368975844,-3455.629565043,-3448.454374243
4017,2008.5,1.240378207,317.664226808,-3455.608256669,-3448.451853116
4018,2009.0,1.219431617,312.299748266,-3455.590676982,-3448.451833362
4019,2009.5,1.212223676,310.453774844,-3455.577608878,-3448.452406672
4020,2010.0,1.196770705,306.49622714,-3455.557691691,-3448.452351235
4021,2010.5,1.177723854,301.618276872,-3455.528796402,-3448.45172095
4022,2011.0,1.149573517,294.408899004,-3455.498375089,-3448.45099958
4023,2011.5,1.129705713,289.320700529,-3455.476874583,-3448.450464545
4024,2012.0,1.125334741,288.201282853,-3455.472423045,-3448.450257698
4025,2012.5,1.144152978,293.020684336,-3455.488267064,-3448.45042124
4026,2013.0,1.176588993,301.327635725,-3455.52196202,-3448.450859615
4027,2013.5,1.218783998,312.133891284,-3455.566630319,-3448.451496642
4028,2014.0,1.268481777,324.86162742,-3455.61207899,-3448.452464654
4029,2014.5,1.303962708,333.948390007,-3455.643681155,-3448.453942268
4030,2015.0,1.303119982,333.732565798,-3455.64250531,-3448.454768081
4031,2015.5,1.269738524,325.183483675,-3455.606968075,-3448.451853824
4032,2016.0,1.244778749,318.791217429,-3455.581830528,-3448.451127956
4033,2016.5,1.244122236,318.623082751,-3455.584637365,-3448.452258057
4034,2017.0,1.261331945,323.030535956,-3455.597584558,-3448.453473483
4035,2017.5,1.268533167,324.874788353,-3455.600295792,-3448.453412555
4036,2018.0,1.260118242,322.71970328,-3455.589979,-3448.451788253
4037,2018.5,1.252107144,320.668039254,-3455.583676104,-3448.451948786
