Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
0,0.0,1.166426762,298.0,-3482.486302086,-3481.319875325
1,0.5,1.186267146,303.068843196,-3482.509090606,-3481.320480637
2,1.0,1.222026263,312.204622028,-3482.54715508,-3481.321378567
3,1.5,1.253388149,320.216991465,-3482.586651345,-3481.32215687
4,2.0,1.295115432,330.877523897,-3482.620113362,-3481.321763324
5,2.5,1.331720118,340.229329615,-3482.651749034,-3481.321177718
6,3.0,1.367225326,349.300239338,-3482.68879551,-3481.320962084
7,3.5,1.410426844,360.337411063,-3482.733877651,-3481.321258897
8,4.0,1.455846041,371.941157877,-3482.78379921,-3481.321564032
9,4.5,1.492274096,381.247837551,-3482.835840998,-3481.321405559
10,5.0,1.535014436,392.167186882,-3482.891181464,-3481.322636371
11,5.5,1.565444737,399.941553808,-3482.939129063,-3481.325722153
12,6.0,1.569003464,400.850741323,-3482.949722721,-3481.324687322
13,6.5,1.610196195,411.374705876,-3482.985890016,-3481.315324471
14,7.0,1.730031395,441.990335491,-3483.128199572,-3481.331360071
15,7.5,1.76727105,451.504363789,-3483.176737243,-3481.334316019
16,8.0,1.708021514,436.367226748,-3483.096997218,-3481.316956939
17,8.5,1.720081671,439.448369009,-3483.126841339,-3481.323742909
18,9.0,1.820217654,465.031220743,-3483.238214628,-3481.326056195
19,9.5,1.904277122,486.506826686,-3483.334894025,-3481.328602349
20,10.0,1.926837502,492.270577466,-3483.367973375,-3481.332386643
21,10.5,1.82723493,466.824002055,-3483.281038949,-3481.335524709
22,11.0,1.671014559,426.912648787,-3483.101630351,-3481.308654375
23,11.5,1.677851316,428.6593112,-3483.142766555,-3481.330824237
24,12.0,1.722192847,439.987734607,-3483.197929632,-3481.33204314
25,12.5,1.68230369,429.796808592,-3483.166924156,-3481.327801559
26,13.0,1.605988363,410.299684322,-3483.094076362,-3481.324236078
27,13.5,1.536758005,392.61263576,-3483.027416669,-3481.321931047
28,14.0,1.505734972,384.686837169,-3482.999258508,-3481.321417362
29,14.5,1.514661608,386.967423982,-3483.017376612,-3481.322353682
30,15.0,1.553021636,396.767686246,-3483.067726419,-3481.323768642
31,15.5,1.606548705,410.44284113,-3483.128906482,-3481.324733064
32,16.0,1.659823334,424.053502301,-3483.185261179,-3481.325096549
33,16.5,1.693977325,432.779201836,-3483.231127487,-3481.325014903
34,17.0,1.724407166,440.553451288,-3483.268094322,-3481.325047769
35,17.5,1.754791126,448.315978863,-3483.297189186,-3481.326138127
36,18.0,1.745362551,445.907156082,-3483.305153069,-3481.329401969
37,18.5,1.697991733,433.804807041,-3483.26039713,-3481.328953264
38,19.0,1.662449315,424.724390861,-3483.22008962,-3481.319610946
39,19.5,1.702476749,434.950644037,-3483.278931629,-3481.330151182
40,20.0,1.746286719,446.143263706,-3483.322836383,-3481.324750916
41,20.5,1.809083986,462.186778801,-3483.386740802,-3481.327307221
42,21.0,1.852598474,473.303908538,-3483.437091723,-3481.334299514
43,21.5,1.808375111,462.005674609,-3483.395355936,-3481.326497992
44,22.0,1.770429192,452.311209323,-3483.380288967,-3481.329801893
45,22.5,1.736352705,443.605310662,-3483.366492147,-3481.332789695
46,23.0,1.676203567,428.238342389,-3483.30539745,-3481.32108366
47,23.5,1.679126952,428.985212015,-3483.317222907,-3481.328062709
48,24.0,1.675658955,428.099204219,-3483.322067557,-3481.328162781
49,24.5,1.651091635,421.822718258,-3483.29001013,-3481.325282934
50,25.0,1.609105637,411.096088859,-3483.250858661,-3481.323936075
51,25.5,1.569485967,400.974011798,-3483.222977635,-3481.323929826
52,26.0,1.549839807,395.954789108,-3483.207974426,-3481.324444528
53,26.5,1.535034965,392.172431775,-3483.199865147,-3481.325475976
54,27.0,1.529032316,390.638868237,-3483.194788555,-3481.324919703
55,27.5,1.543875478,394.4310158,-3483.207888892,-3481.323981374
56,28.0,1.580354233,403.750648488,-3483.248825191,-3481.327088089
57,28.5,1.605744483,410.237377586,-3483.279300866,-3481.329704033
58,29.0,1.595699291,407.671020949,-3483.270240885,-3481.327138826
59,29.5,1.588647067,405.869310791,-3483.270718616,-3481.32354826
60,30.0,1.631469746,416.809696241,-3483.319340335,-3481.329801435
61,30.5,1.659552049,423.984194215,-3483.35169731,-3481.328333925
62,31.0,1.676812867,428.39400695,-3483.381371687,-3481.325980147
63,31.5,1.719492531,439.297854902,-3483.432404197,-3481.329577573
