coordination_state,count,percentage
0D1A,8393,1.539449187905245
0D2A,7289,1.3369528333898881
0D3A,728,0.13353020478911215
0D4A,20,0.0036684122194811032
1D0A,10882,1.995983088619668
1D1A,74241,13.617329579324828
1D2A,86498,15.865516008033822
1D3A,8908,1.6339108025568834
1D4A,121,0.022193893927860673
1D5A,12,0.002201047331688662
2D0A,12894,2.365025357899467
2D1A,104068,19.088216142847973
2D2A,183115,33.58706517851411
2D3A,30418,5.579288144608809
2D4A,416,0.07630297416520694
3D0A,555,0.10179843909060061
3D1A,5081,0.9319601243591742
3D2A,8133,1.4917598290519907
3D3A,1360,0.24945203092471502
3D4A,4,0.0007336824438962206
4D1A,97,0.01779179926448335
4D2A,96,0.017608378653509296
4D3A,33,0.00605288016214382
free H2O,1833,0.3362099799154431
