Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
0,0.0,1.162180062,298.0,-3465.22703411,-3464.064854048
1,0.5,1.1827766,303.281254181,-3465.246182717,-3464.065275947
2,1.0,1.212763777,310.970405743,-3465.282258699,-3464.066110043
3,1.5,1.25461001,321.700393184,-3465.322168004,-3464.066495462
4,2.0,1.290074893,330.794108885,-3465.358623636,-3464.066210326
5,2.5,1.31714091,337.734232244,-3465.394853311,-3464.066563709
6,3.0,1.356468676,347.818447813,-3465.435848139,-3464.066319784
7,3.5,1.400216919,359.0361385,-3465.485400798,-3464.066830348
8,4.0,1.456141227,373.375950771,-3465.537820889,-3464.067860151
9,4.5,1.501863117,385.09971333,-3465.580005077,-3464.069368259
10,5.0,1.515973442,388.717807375,-3465.591438043,-3464.071989796
11,5.5,1.484664703,380.689788003,-3465.559101175,-3464.064688176
12,6.0,1.524605224,390.931122954,-3465.605452295,-3464.063300148
13,6.5,1.643332931,421.374646813,-3465.739459741,-3464.072892621
14,7.0,1.713255614,439.303847656,-3465.816763357,-3464.072068056
15,7.5,1.704197467,436.981205982,-3465.824061382,-3464.074881962
16,8.0,1.664585544,426.824128443,-3465.765101233,-3464.059356274
17,8.5,1.710414671,438.575388041,-3465.834964291,-3464.073795613
18,9.0,1.770683223,454.029128104,-3465.908725329,-3464.074566258
19,9.5,1.783035029,457.196312272,-3465.922200634,-3464.067315775
20,10.0,1.811154774,464.406626817,-3465.960183876,-3464.070098701
21,10.5,1.814117207,465.166238282,-3465.994227042,-3464.083503412
22,11.0,1.744503274,447.316205657,-3465.929443448,-3464.087050852
23,11.5,1.697787528,435.337603559,-3465.886532446,-3464.077957427
24,12.0,1.74175396,446.611241059,-3465.951817512,-3464.092358312
25,12.5,1.706194724,437.493331906,-3465.906878873,-3464.086643975
26,13.0,1.610624068,412.987615082,-3465.806625642,-3464.079591531
27,13.5,1.548654106,397.097608722,-3465.750727225,-3464.078111334
28,14.0,1.556028253,398.988447969,-3465.764493861,-3464.080754443
29,14.5,1.586827035,406.885707193,-3465.810235864,-3464.081401442
30,15.0,1.635251707,419.302502553,-3465.868506978,-3464.081818602
31,15.5,1.691560232,433.740833786,-3465.929757172,-3464.082258556
32,16.0,1.738379261,445.745918789,-3465.98518513,-3464.082749606
33,16.5,1.769559552,453.741002389,-3466.026993187,-3464.083473763
34,17.0,1.772790159,454.569377515,-3466.045898357,-3464.085232207
35,17.5,1.74147684,446.540183567,-3466.020995449,-3464.087846989
36,18.0,1.661157743,425.945189827,-3465.942588603,-3464.079936526
37,18.5,1.642532197,421.169326971,-3465.931547197,-3464.082057954
38,19.0,1.667681662,427.618018343,-3465.9730243,-3464.087073584
39,19.5,1.667163441,427.485138832,-3465.980918778,-3464.083757153
40,20.0,1.676599669,429.904726045,-3465.988361816,-3464.083206571
41,20.5,1.690523425,433.474981157,-3466.009717169,-3464.085092301
42,21.0,1.690364621,433.434261554,-3466.022315473,-3464.089965279
43,21.5,1.679772659,430.718327307,-3465.998742219,-3464.076758382
44,22.0,1.737416906,445.499157021,-3466.071661802,-3464.090425323
45,22.5,1.770762932,454.04956667,-3466.10809813,-3464.088997494
46,23.0,1.726689823,442.748575678,-3466.068293804,-3464.084362856
47,23.5,1.663848051,426.635024295,-3466.00728272,-3464.082031933
48,24.0,1.610969731,413.076248112,-3465.955621018,-3464.081318933
49,24.5,1.573204212,403.392615579,-3465.925114351,-3464.081180706
50,25.0,1.569273792,402.384798215,-3465.919333084,-3464.081114312
51,25.5,1.57626261,404.176833551,-3465.937169389,-3464.081864599
52,26.0,1.59931933,410.088914472,-3465.968015871,-3464.0840387
53,26.5,1.603622786,411.19238369,-3465.984798506,-3464.087314107
54,27.0,1.575923046,404.0897646,-3465.95997148,-3464.085968478
55,27.5,1.577687347,404.542157241,-3465.959207291,-3464.07721702
56,28.0,1.686253905,432.380213593,-3466.080361998,-3464.088418965
57,28.5,1.789467446,458.845678097,-3466.193463153,-3464.090719803
58,29.0,1.832774593,469.950265335,-3466.240698174,-3464.087687888
59,29.5,1.850219214,474.423321764,-3466.257425402,-3464.086718858
60,30.0,1.847107588,473.625455335,-3466.258838423,-3464.090055266
