time_fs,time_ps,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic
2000.0,2.0,145,1,55,0,-54
2000.5,2.0005,145,1,55,0,-54
2001.0,2.001,145,1,55,0,-54
2001.5,2.0015,145,1,55,0,-54
2002.0,2.002,145,1,55,0,-54
2002.5,2.0025,145,1,55,0,-54
2003.0,2.003,146,1,54,0,-53
2003.5,2.0035,146,1,54,0,-53
2004.0,2.004,146,1,54,0,-53
2004.5,2.0045,146,1,54,0,-53
2005.0,2.005,146,1,54,0,-53
2005.5,2.0055,146,1,54,0,-53
2006.0,2.006,147,1,54,0,-53
2006.5,2.0065,147,1,54,0,-53
2007.0,2.007,149,1,55,0,-54
2007.5,2.0075,149,1,55,0,-54
2008.0,2.008,147,1,53,0,-52
2008.5,2.0085,148,1,54,0,-53
2009.0,2.009,148,1,54,0,-53
2009.5,2.0095,148,1,54,0,-53
2010.0,2.01,149,1,55,0,-54
2010.5,2.0105,149,1,55,0,-54
2011.0,2.011,149,1,55,0,-54
2011.5,2.0115,148,1,54,0,-53
2012.0,2.012,148,1,54,0,-53
2012.5,2.0125,147,1,53,0,-52
2013.0,2.013,148,1,54,0,-53
2013.5,2.0135,148,1,54,0,-53
2014.0,2.014,145,1,52,0,-51
2014.5,2.0145,145,1,52,0,-51
2015.0,2.015,145,1,52,0,-51
2015.5,2.0155,146,1,53,0,-52
2016.0,2.016,146,1,53,0,-52
2016.5,2.0165,146,1,53,0,-52
2017.0,2.017,144,1,52,0,-51
2017.5,2.0175,144,1,52,0,-51
2018.0,2.018,143,1,52,0,-51
2018.5,2.0185,142,1,51,0,-50
2019.0,2.019,141,1,51,0,-50
2019.5,2.0195,142,1,51,0,-50
2020.0,2.02,142,1,51,0,-50
2020.5,2.0205,144,1,52,0,-51
2021.0,2.021,144,1,52,0,-51
2021.5,2.0215,144,1,52,0,-51
2022.0,2.022,144,1,52,0,-51
2022.5,2.0225,145,1,52,0,-51
2023.0,2.023,145,1,52,0,-51
2023.5,2.0235,145,1,52,0,-51
2024.0,2.024,145,1,52,0,-51
2024.5,2.0245,145,1,52,0,-51
2025.0,2.025,146,1,52,0,-51
2025.5,2.0255,146,1,52,0,-51
2026.0,2.026,147,1,52,0,-51
2026.5,2.0265,147,1,52,0,-51
2027.0,2.027,147,1,52,0,-51
2027.5,2.0275,146,1,53,0,-52
2028.0,2.028,145,1,52,0,-51
2028.5,2.0285,147,1,54,0,-53
2029.0,2.029,147,1,54,0,-53
2029.5,2.0295,147,1,54,0,-53
2030.0,2.03,147,1,54,0,-53
2030.5,2.0305,147,1,54,0,-53
2031.0,2.031,146,1,54,0,-53
2031.5,2.0315,149,1,57,0,-56
2032.0,2.032,149,1,57,0,-56
2032.5,2.0325,149,1,57,0,-56
2033.0,2.033,148,1,56,0,-55
2033.5,2.0335,148,1,56,0,-55
2034.0,2.034,148,1,56,0,-55
2034.5,2.0345,148,1,56,0,-55
2035.0,2.035,148,1,56,0,-55
2035.5,2.0355,149,1,56,0,-55
2036.0,2.036,149,1,56,0,-55
2036.5,2.0365,149,1,56,0,-55
2037.0,2.037,149,1,56,0,-55
2037.5,2.0375,149,1,56,0,-55
2038.0,2.038,149,1,56,0,-55
2038.5,2.0385,148,1,55,0,-54
2039.0,2.039,149,1,56,0,-55
2039.5,2.0395,149,1,56,0,-55
2040.0,2.04,149,1,56,0,-55
2040.5,2.0405,149,1,56,0,-55
2041.0,2.041,149,1,56,0,-55
2041.5,2.0415,149,1,56,0,-55
2042.0,2.042,148,1,55,0,-54
2042.5,2.0425,148,1,55,0,-54
2043.0,2.043,146,1,54,0,-53
2043.5,2.0435,146,1,54,0,-53
2044.0,2.044,144,1,53,0,-52
2044.5,2.0445,144,1,53,0,-52
2045.0,2.045,144,1,53,0,-52
2045.5,2.0455,144,1,53,0,-52
2046.0,2.046,142,1,52,0,-51
2046.5,2.0465,143,1,52,0,-51
2047.0,2.047,142,1,51,0,-50
2047.5,2.0475,142,1,51,0,-50
2048.0,2.048,142,1,51,0,-50
2048.5,2.0485,142,1,51,0,-50
2049.0,2.049,145,1,53,0,-52
2049.5,2.0495,144,1,52,0,-51
2050.0,2.05,144,1,52,0,-51
2050.5,2.0505,144,1,52,0,-51
2051.0,2.051,144,1,52,0,-51
2051.5,2.0515,143,1,51,0,-50
2052.0,2.052,145,1,50,0,-49
2052.5,2.0525,145,1,50,0,-49
2053.0,2.053,145,1,50,0,-49
2053.5,2.0535,144,1,50,0,-49
2054.0,2.054,145,1,51,0,-50
2054.5,2.0545,145,1,51,0,-50
2055.0,2.055,145,1,51,0,-50
2055.5,2.0555,145,1,51,0,-50
2056.0,2.056,146,1,52,0,-51
2056.5,2.0565,146,1,52,0,-51
2057.0,2.057,147,1,53,0,-52
2057.5,2.0575,146,1,53,0,-52
2058.0,2.058,147,1,54,0,-53
2058.5,2.0585,147,1,54,0,-53
2059.0,2.059,147,1,54,0,-53
2059.5,2.0595,147,1,54,0,-53
2060.0,2.06,146,1,54,0,-53
2060.5,2.0605,145,1,54,0,-53
2061.0,2.061,146,1,54,0,-53
2061.5,2.0615,146,1,54,0,-53
2062.0,2.062,146,1,54,0,-53
2062.5,2.0625,148,1,56,0,-55
2063.0,2.063,148,1,56,0,-55
2063.5,2.0635,148,1,56,0,-55
2064.0,2.064,148,1,56,0,-55
2064.5,2.0645,148,1,56,0,-55
2065.0,2.065,148,1,56,0,-55
2065.5,2.0655,148,1,56,0,-55
2066.0,2.066,149,1,57,0,-56
2066.5,2.0665,150,1,58,0,-57
2067.0,2.067,150,1,58,0,-57
2067.5,2.0675,150,1,58,0,-57
2068.0,2.068,149,1,57,0,-56
2068.5,2.0685,148,1,56,0,-55
2069.0,2.069,148,1,56,0,-55
2069.5,2.0695,148,1,56,0,-55
2070.0,2.07,149,1,57,0,-56
2070.5,2.0705,149,1,57,0,-56
2071.0,2.071,149,1,57,0,-56
2071.5,2.0715,149,1,57,0,-56
2072.0,2.072,149,1,57,0,-56
2072.5,2.0725,149,1,57,0,-56
2073.0,2.073,149,1,57,0,-56
2073.5,2.0735,149,1,57,0,-56
2074.0,2.074,149,1,57,0,-56
2074.5,2.0745,147,1,56,0,-55
2075.0,2.075,145,1,55,0,-54
2075.5,2.0755,145,1,55,0,-54
2076.0,2.076,144,1,55,0,-54
2076.5,2.0765,144,1,55,0,-54
2077.0,2.077,144,1,55,0,-54
2077.5,2.0775,147,1,57,0,-56
2078.0,2.078,147,1,57,0,-56
2078.5,2.0785,147,1,57,0,-56
2079.0,2.079,146,1,56,0,-55
2079.5,2.0795,146,1,56,0,-55
2080.0,2.08,146,1,56,0,-55
2080.5,2.0805,145,1,55,0,-54
2081.0,2.081,145,1,55,0,-54
2081.5,2.0815,145,1,55,0,-54
2082.0,2.082,145,1,55,0,-54
2082.5,2.0825,145,1,55,0,-54
2083.0,2.083,145,1,55,0,-54
2083.5,2.0835,144,1,54,0,-53
2084.0,2.084,144,1,54,0,-53
2084.5,2.0845,143,1,53,0,-52
2085.0,2.085,143,1,53,0,-52
2085.5,2.0855,143,1,53,0,-52
2086.0,2.086,144,1,54,0,-53
2086.5,2.0865,145,1,55,0,-54
2087.0,2.087,145,1,55,0,-54
2087.5,2.0875,147,1,57,0,-56
2088.0,2.088,147,1,57,0,-56
2088.5,2.0885,147,1,57,0,-56
2089.0,2.089,148,1,58,0,-57
2089.5,2.0895,148,1,58,0,-57
2090.0,2.09,148,1,58,0,-57
2090.5,2.0905,147,1,57,0,-56
2091.0,2.091,147,1,57,0,-56
2091.5,2.0915,147,1,57,0,-56
2092.0,2.092,148,1,57,0,-56
2092.5,2.0925,148,1,57,0,-56
2093.0,2.093,148,1,56,0,-55
2093.5,2.0935,148,1,56,0,-55
2094.0,2.094,147,1,55,0,-54
2094.5,2.0945,148,1,56,0,-55
2095.0,2.095,146,1,54,0,-53
2095.5,2.0955,146,1,54,0,-53
2096.0,2.096,145,1,54,0,-53
2096.5,2.0965,146,1,55,0,-54
2097.0,2.097,146,1,55,0,-54
2097.5,2.0975,146,1,55,0,-54
2098.0,2.098,147,1,55,0,-54
2098.5,2.0985,149,1,56,0,-55
2099.0,2.099,149,1,56,0,-55
2099.5,2.0995,149,1,56,0,-55
2100.0,2.1,150,1,56,0,-55
2100.5,2.1005,150,1,56,0,-55
2101.0,2.101,149,1,56,0,-55
2101.5,2.1015,149,1,56,0,-55
2102.0,2.102,151,1,58,0,-57
2102.5,2.1025,150,1,58,0,-57
2103.0,2.103,149,1,57,0,-56
2103.5,2.1035,149,1,57,0,-56
2104.0,2.104,149,1,57,0,-56
2104.5,2.1045,149,1,57,0,-56
2105.0,2.105,149,1,57,0,-56
2105.5,2.1055,149,1,57,0,-56
2106.0,2.106,150,1,57,0,-56
2106.5,2.1065,148,1,55,0,-54
2107.0,2.107,147,1,54,0,-53
2107.5,2.1075,147,1,54,0,-53
2108.0,2.108,146,1,54,0,-53
2108.5,2.1085,146,1,54,0,-53
2109.0,2.109,146,1,53,0,-52
2109.5,2.1095,146,1,53,0,-52
2110.0,2.11,146,1,53,0,-52
2110.5,2.1105,149,1,55,0,-54
2111.0,2.111,150,1,55,0,-54
2111.5,2.1115,150,1,55,0,-54
2112.0,2.112,150,1,55,0,-54
2112.5,2.1125,150,1,55,0,-54
2113.0,2.113,151,1,56,0,-55
2113.5,2.1135,150,1,56,0,-55
2114.0,2.114,149,1,55,0,-54
2114.5,2.1145,149,1,55,0,-54
2115.0,2.115,148,1,54,0,-53
2115.5,2.1155,148,1,54,0,-53
2116.0,2.116,148,1,54,0,-53
2116.5,2.1165,147,1,54,0,-53
2117.0,2.117,146,1,54,0,-53
2117.5,2.1175,146,1,54,0,-53
2118.0,2.118,145,1,53,0,-52
2118.5,2.1185,144,1,53,0,-52
2119.0,2.119,144,1,53,0,-52
2119.5,2.1195,144,1,53,0,-52
2120.0,2.12,141,1,50,0,-49
2120.5,2.1205,141,1,50,0,-49
2121.0,2.121,143,1,52,0,-51
2121.5,2.1215,143,1,52,0,-51
2122.0,2.122,144,1,53,0,-52
2122.5,2.1225,142,1,51,0,-50
2123.0,2.123,144,1,51,0,-50
2123.5,2.1235,143,1,51,0,-50
2124.0,2.124,143,1,51,0,-50
2124.5,2.1245,143,1,51,0,-50
2125.0,2.125,143,1,51,0,-50
2125.5,2.1255,148,1,54,0,-53
2126.0,2.126,147,1,53,0,-52
