frame_idx,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.6420693,0.013965256,0.5449109,0.09818084,0.21290444,0.11704881,-0.047696695,0.030465761,-0.4003487,-0.40222165,-0.3080667,-0.22765927,0.56588435,0.09848652,-0.29226696,-0.03771905,0.054423366,-0.019662118,-0.004274078,0.06223613,-0.19194703,0.33729255,-0.64371383,-0.15955573,0.25655547,-0.29869133,-0.27664357,-0.1052765,0.35882095,-0.0004893939,-0.37654203,0.17838182
1,-0.6420693,0.013965256,0.5449109,0.09818084,0.21290444,0.11704881,-0.047696695,0.030465761,-0.4003487,-0.40222165,-0.3080667,-0.22765927,0.56588435,0.09848652,-0.29226696,-0.03771905,0.054423366,-0.019662118,-0.004274078,0.06223613,-0.19194703,0.33729255,-0.64371383,-0.15955573,0.25655547,-0.29869133,-0.27664357,-0.1052765,0.35882095,-0.0004893939,-0.37654203,0.17838182
2,-0.6420693,0.013965256,0.5449109,0.09818084,0.21290444,0.11704881,-0.047696695,0.030465761,-0.4003487,-0.40222165,-0.3080667,-0.22765927,0.56588435,0.09848652,-0.29226696,-0.03771905,0.054423366,-0.019662118,-0.004274078,0.06223613,-0.19194703,0.33729255,-0.64371383,-0.15955573,0.25655547,-0.29869133,-0.27664357,-0.1052765,0.35882095,-0.0004893939,-0.37654203,0.17838182
3,-0.6420693,0.013965256,0.5449109,0.09818084,0.21290444,0.11704881,-0.047696695,0.030465761,-0.4003487,-0.40222165,-0.3080667,-0.22765927,0.56588435,0.09848652,-0.29226696,-0.03771905,0.054423366,-0.019662118,-0.004274078,0.06223613,-0.19194703,0.33729255,-0.64371383,-0.15955573,0.25655547,-0.29869133,-0.27664357,-0.1052765,0.35882095,-0.0004893939,-0.37654203,0.17838182
4,-0.6420693,0.013965256,0.5449109,0.09818084,0.21290444,0.11704881,-0.047696695,0.030465761,-0.4003487,-0.40222165,-0.3080667,-0.22765927,0.56588435,0.09848652,-0.29226696,-0.03771905,0.054423366,-0.019662118,-0.004274078,0.06223613,-0.19194703,0.33729255,-0.64371383,-0.15955573,0.25655547,-0.29869133,-0.27664357,-0.1052765,0.35882095,-0.0004893939,-0.37654203,0.17838182
5,-0.6420693,0.013965256,0.5449109,0.09818084,0.21290444,0.11704881,-0.047696695,0.030465761,-0.4003487,-0.40222165,-0.3080667,-0.22765927,0.56588435,0.09848652,-0.29226696,-0.03771905,0.054423366,-0.019662118,-0.004274078,0.06223613,-0.19194703,0.33729255,-0.64371383,-0.15955573,0.25655547,-0.29869133,-0.27664357,-0.1052765,0.35882095,-0.0004893939,-0.37654203,0.17838182
6,-0.5730691,0.019171547,0.14189608,0.019300802,0.005356866,0.23628525,-0.30409834,0.12842858,-0.11715425,-0.5281601,-0.1202758,-0.13181955,0.46524075,0.10229194,0.030858789,-0.042133354,0.48603362,-0.061395027,-0.13450888,-0.24596323,-0.40800393,0.15102242,-0.5562644,0.3749166,-0.20078513,-0.22067437,-0.5134212,0.085622594,0.21401973,0.21738407,-0.4158726,0.083601326
7,-0.5730691,0.019171547,0.14189608,0.019300802,0.005356866,0.23628525,-0.30409834,0.12842858,-0.11715425,-0.5281601,-0.1202758,-0.13181955,0.46524075,0.10229194,0.030858789,-0.042133354,0.48603362,-0.061395027,-0.13450888,-0.24596323,-0.40800393,0.15102242,-0.5562644,0.3749166,-0.20078513,-0.22067437,-0.5134212,0.085622594,0.21401973,0.21738407,-0.4158726,0.083601326
8,-0.5730691,0.019171547,0.14189608,0.019300802,0.005356866,0.23628525,-0.30409834,0.12842858,-0.11715425,-0.5281601,-0.1202758,-0.13181955,0.46524075,0.10229194,0.030858789,-0.042133354,0.48603362,-0.061395027,-0.13450888,-0.24596323,-0.40800393,0.15102242,-0.5562644,0.3749166,-0.20078513,-0.22067437,-0.5134212,0.085622594,0.21401973,0.21738407,-0.4158726,0.083601326
9,-0.5730691,0.019171547,0.14189608,0.019300802,0.005356866,0.23628525,-0.30409834,0.12842858,-0.11715425,-0.5281601,-0.1202758,-0.13181955,0.46524075,0.10229194,0.030858789,-0.042133354,0.48603362,-0.061395027,-0.13450888,-0.24596323,-0.40800393,0.15102242,-0.5562644,0.3749166,-0.20078513,-0.22067437,-0.5134212,0.085622594,0.21401973,0.21738407,-0.4158726,0.083601326
