coordination_state,count,percentage
0D1A,7860,1.066455365586598
0D2A,10447,1.4174630030894642
0D3A,1890,0.2564377405799835
0D4A,84,0.011397232914665932
1D0A,9107,1.235650001831698
1D1A,92559,12.558529539863857
1D2A,105759,14.349523283597076
1D3A,12952,1.757344770366109
1D4A,555,0.07530314604332848
2D0A,12536,1.7009013311696681
2D1A,145585,19.75316849859095
2D2A,273662,37.13082802253938
2D3A,40927,5.553030374982531
2D4A,265,0.035955556218886575
2D5A,8,0.0010854507537777077
3D0A,764,0.1036605469857711
3D1A,7176,0.9736493261386039
3D2A,12652,1.716640367099445
3D3A,848,0.11505777990043703
4D1A,97,0.013161090389554708
4D2A,109,0.01478926652022127
free H2O,1179,0.15996830483798968
