Time_ps,Z_surface_A
0.0,33.0014578275
0.0005,33.0014578275
0.001,33.0014578275
0.0015,33.0014578275
0.002,33.0014578275
0.0025,33.0014578275
0.003,33.0014578275
0.0035,33.0014578275
0.004,33.0014578275
0.0045,33.0014578275
0.005,33.0014578275
0.0055,33.0014578275
0.006,33.0014578275
0.0065,33.0014578275
0.007,33.0014578275
0.0075,33.0014578275
0.008,33.0014578275
0.0085,33.0014578275
0.009,25.9866551975
0.0095,25.9866551975
0.01,25.9866551975
0.0105,25.9866551975
0.011,25.9866551975
0.0115,25.9866551975
0.012,25.9866551975
0.0125,25.9866551975
0.013,25.9866551975
0.0135,25.9866551975
0.014,25.9866551975
0.0145,25.9866551975
0.015,25.9866551975
0.0155,25.9866551975
0.016,33.0014578275
0.0165,33.0014578275
0.017,33.0014578275
0.0175,33.0014578275
0.018,25.9866551975
0.0185,25.9866551975
0.019,25.9866551975
0.0195,25.9866551975
0.02,25.9866551975
0.0205,25.9866551975
0.021,25.9866551975
0.0215,25.9866551975
0.022,25.9866551975
0.0225,25.9866551975
0.023,25.9866551975
0.0235,25.9866551975
0.024,25.9866551975
0.0245,25.9866551975
0.025,25.9866551975
0.0255,25.9866551975
0.026,25.9866551975
0.0265,25.9866551975
0.027,25.9866551975
0.0275,25.9866551975
0.028,25.9866551975
0.0285,25.9866551975
0.029,25.9866551975
0.0295,25.9866551975
0.03,25.9866551975
0.0305,25.9866551975
0.031,25.9866551975
0.0315,25.9866551975
0.032,25.9866551975
0.0325,25.9866551975
0.033,25.9866551975
0.0335,25.9866551975
0.034,25.9866551975
0.0345,25.9866551975
0.035,25.9866551975
0.0355,25.9866551975
0.036,25.9866551975
0.0365,25.9866551975
0.037,25.9866551975
0.0375,25.9866551975
0.038,25.9866551975
0.0385,25.9866551975
0.039,25.9866551975
0.0395,25.9866551975
0.04,25.9866551975
0.0405,25.9866551975
0.041,25.9866551975
0.0415,25.9866551975
0.042,25.9866551975
0.0425,33.320312492499994
0.043,33.320312492499994
0.0435,25.9866551975
0.044,25.9866551975
0.0445,25.9866551975
0.045,25.9866551975
0.0455,25.9866551975
0.046,25.9866551975
0.0465,25.9866551975
0.047,25.9866551975
0.0475,25.9866551975
0.048,25.9866551975
0.0485,25.9866551975
0.049,25.9866551975
0.0495,25.9866551975
0.05,25.9866551975
0.0505,25.9866551975
0.051,25.9866551975
0.0515,25.9866551975
0.052,25.667800532499996
0.0525,25.667800532499996
0.053,25.667800532499996
0.0535,33.320312492499994
0.054,33.320312492499994
0.0545,33.320312492499994
0.055,33.320312492499994
0.0555,33.320312492499994
0.056,33.320312492499994
0.0565,25.9866551975
0.057,33.320312492499994
0.0575,33.320312492499994
0.058,33.320312492499994
0.0585,33.320312492499994
0.059,33.320312492499994
0.0595,33.320312492499994
0.06,33.320312492499994
0.0605,33.6391671575
0.061,33.6391671575
0.0615,33.6391671575
0.062,33.320312492499994
0.0625,33.320312492499994
0.063,33.320312492499994
0.0635,33.320312492499994
0.064,33.320312492499994
0.0645,33.320312492499994
0.065,33.320312492499994
0.0655,25.667800532499996
0.066,25.667800532499996
0.0665,25.667800532499996
0.067,25.667800532499996
0.0675,25.667800532499996
0.068,25.667800532499996
0.0685,25.667800532499996
0.069,33.320312492499994
0.0695,33.320312492499994
0.07,33.320312492499994
0.0705,33.320312492499994
0.071,33.320312492499994
0.0715,33.320312492499994
0.072,33.320312492499994
0.0725,33.320312492499994
0.073,33.320312492499994
0.0735,33.6391671575
0.074,33.320312492499994
0.0745,33.320312492499994
0.075,33.320312492499994
0.0755,33.320312492499994
0.076,25.3489458675
0.0765,25.3489458675
0.077,25.3489458675
0.0775,25.3489458675
0.078,25.667800532499996
0.0785,25.667800532499996
0.079,33.0014578275
0.0795,33.0014578275
0.08,25.667800532499996
0.0805,25.667800532499996
