frame,step,time_fs,(H2O)2,*OH,H*,H2,H2O,H2O2,H3O+,H3O2-,HO2*,O*,O2
0,0,0.0,0,0,1,1,50,0,0,0,0,0,0
1,1,0.5,0,0,1,1,50,0,0,0,0,0,0
2,2,1.0,0,0,1,1,50,0,0,0,0,0,0
3,3,1.5,0,0,1,1,50,0,0,0,0,0,0
4,4,2.0,0,0,1,1,50,0,0,0,0,0,0
5,5,2.5,0,0,1,1,50,0,0,0,0,0,0
6,6,3.0,0,0,1,1,50,0,0,0,0,0,0
7,7,3.5,0,0,1,1,50,0,0,0,0,0,0
8,8,4.0,0,0,1,1,50,0,0,0,0,0,0
9,9,4.5,0,0,1,1,50,0,0,0,0,0,0
10,10,5.0,0,0,1,1,50,0,0,0,0,0,0
11,11,5.5,0,0,1,1,50,0,0,0,0,0,0
12,12,6.0,0,0,1,1,50,0,0,0,0,0,0
13,13,6.5,0,0,1,1,50,0,0,0,0,0,0
14,14,7.0,0,0,1,1,50,0,0,0,0,0,0
15,15,7.5,0,0,1,1,50,0,0,0,0,0,0
16,16,8.0,0,0,1,1,50,0,0,0,0,0,0
17,17,8.5,0,0,1,1,50,0,0,0,0,0,0
18,18,9.0,0,0,1,1,50,0,0,0,0,0,0
19,19,9.5,0,0,1,1,50,0,0,0,0,0,0
20,20,10.0,0,0,1,1,50,0,0,0,0,0,0
21,21,10.5,0,0,1,1,50,0,0,0,0,0,0
22,22,11.0,0,0,1,1,50,0,0,0,0,0,0
23,23,11.5,0,0,1,1,50,0,0,0,0,0,0
24,24,12.0,0,0,1,1,50,0,0,0,0,0,0
25,25,12.5,0,0,1,1,50,0,0,0,0,0,0
26,26,13.0,0,0,1,1,50,0,0,0,0,0,0
27,27,13.5,0,0,1,1,50,0,0,0,0,0,0
28,28,14.0,0,0,1,1,50,0,0,0,0,0,0
29,29,14.5,0,0,1,1,50,0,0,0,0,0,0
30,30,15.0,0,0,1,1,50,0,0,0,0,0,0
31,31,15.5,0,0,1,1,50,0,0,0,0,0,0
32,32,16.0,0,0,1,1,50,0,0,0,0,0,0
33,33,16.5,0,0,1,1,50,0,0,0,0,0,0
34,34,17.0,0,0,1,1,50,0,0,0,0,0,0
35,35,17.5,0,0,1,1,50,0,0,0,0,0,0
36,36,18.0,0,0,1,1,50,0,0,0,0,0,0
37,37,18.5,0,0,1,1,50,0,0,0,0,0,0
38,38,19.0,0,0,1,1,50,0,0,0,0,0,0
39,39,19.5,0,0,1,1,50,0,0,0,0,0,0
40,40,20.0,0,0,1,1,50,0,0,0,0,0,0
41,41,20.5,0,0,1,1,50,0,0,0,0,0,0
42,42,21.0,0,0,1,1,50,0,0,0,0,0,0
43,43,21.5,0,0,1,1,50,0,0,0,0,0,0
44,44,22.0,0,0,1,1,50,0,0,0,0,0,0
45,45,22.5,0,0,1,1,50,0,0,0,0,0,0
46,46,23.0,0,0,1,1,50,0,0,0,0,0,0
47,47,23.5,0,0,1,1,50,0,0,0,0,0,0
48,48,24.0,0,0,1,1,50,0,0,0,0,0,0
49,49,24.5,0,0,1,1,50,0,0,0,0,0,0
50,50,25.0,0,0,1,1,50,0,0,0,0,0,0
51,51,25.5,0,0,1,1,50,0,0,0,0,0,0
52,52,26.0,0,0,1,1,50,0,0,0,0,0,0
53,53,26.5,0,0,1,1,50,0,0,0,0,0,0
54,54,27.0,0,0,1,1,50,0,0,0,0,0,0
55,55,27.5,0,0,1,1,50,0,0,0,0,0,0
56,56,28.0,0,0,1,1,50,0,0,0,0,0,0
57,57,28.5,0,0,1,1,50,0,0,0,0,0,0
58,58,29.0,0,0,1,1,50,0,0,0,0,0,0
59,59,29.5,0,0,1,1,50,0,0,0,0,0,0
60,60,30.0,0,0,1,1,50,0,0,0,0,0,0
61,61,30.5,0,0,1,1,50,0,0,0,0,0,0
62,62,31.0,0,0,1,1,50,0,0,0,0,0,0
63,63,31.5,0,0,1,1,50,0,0,0,0,0,0
64,64,32.0,0,0,1,1,50,0,0,0,0,0,0
65,65,32.5,0,0,1,1,50,0,0,0,0,0,0
66,66,33.0,0,0,1,1,50,0,0,0,0,0,0
67,67,33.5,0,0,1,1,50,0,0,0,0,0,0
68,68,34.0,0,0,1,1,50,0,0,0,0,0,0
69,69,34.5,0,0,1,1,50,0,0,0,0,0,0
70,70,35.0,0,0,1,1,50,0,0,0,0,0,0
71,71,35.5,0,0,1,1,50,0,0,0,0,0,0
72,72,36.0,0,0,1,1,50,0,0,0,0,0,0
73,73,36.5,0,0,1,1,50,0,0,0,0,0,0
74,74,37.0,0,0,1,1,50,0,0,0,0,0,0
75,75,37.5,0,0,1,1,50,0,0,0,0,0,0
76,76,38.0,0,0,1,1,50,0,0,0,0,0,0
77,77,38.5,0,0,1,1,50,0,0,0,0,0,0
78,78,39.0,0,0,1,1,50,0,0,0,0,0,0
79,79,39.5,0,0,1,1,50,0,0,0,0,0,0
80,80,40.0,0,0,1,1,50,0,0,0,0,0,0
81,81,40.5,0,0,1,1,50,0,0,0,0,0,0
82,82,41.0,0,0,1,1,50,0,0,0,0,0,0
83,83,41.5,0,0,1,1,50,0,0,0,0,0,0
84,84,42.0,0,0,1,1,50,0,0,0,0,0,0
85,85,42.5,0,0,1,1,50,0,0,0,0,0,0
86,86,43.0,0,0,1,1,50,0,0,0,0,0,0
87,87,43.5,0,0,1,1,50,0,0,0,0,0,0
88,88,44.0,0,0,1,1,50,0,0,0,0,0,0
89,89,44.5,0,0,1,1,50,0,0,0,0,0,0
90,90,45.0,0,0,1,1,50,0,0,0,0,0,0
91,91,45.5,0,0,1,1,50,0,0,0,0,0,0
92,92,46.0,0,0,1,1,50,0,0,0,0,0,0
93,93,46.5,0,0,1,1,50,0,0,0,0,0,0
94,94,47.0,0,0,1,1,50,0,0,0,0,0,0
95,95,47.5,0,0,1,1,50,0,0,0,0,0,0
96,96,48.0,0,0,1,1,50,0,0,0,0,0,0
97,97,48.5,0,0,1,1,50,0,0,0,0,0,0
98,98,49.0,0,0,1,1,50,0,0,0,0,0,0
99,99,49.5,0,0,1,1,50,0,0,0,0,0,0
100,100,50.0,0,0,1,1,50,0,0,0,0,0,0
101,101,50.5,0,0,1,1,50,0,0,0,0,0,0
102,102,51.0,0,0,1,1,50,0,0,0,0,0,0
103,103,51.5,0,0,1,1,50,0,0,0,0,0,0
104,104,52.0,0,0,1,1,50,0,0,0,0,0,0
105,105,52.5,0,0,1,1,50,0,0,0,0,0,0
106,106,53.0,0,0,1,1,50,0,0,0,0,0,0
107,107,53.5,0,0,1,1,50,0,0,0,0,0,0
108,108,54.0,0,0,1,1,50,0,0,0,0,0,0
109,109,54.5,0,0,1,1,50,0,0,0,0,0,0
110,110,55.0,0,0,1,1,50,0,0,0,0,0,0
111,111,55.5,0,0,1,1,50,0,0,0,0,0,0
112,112,56.0,0,0,1,1,50,0,0,0,0,0,0
113,113,56.5,0,0,1,1,50,0,0,0,0,0,0
114,114,57.0,0,0,1,1,50,0,0,0,0,0,0
115,115,57.5,0,0,1,1,50,0,0,0,0,0,0
116,116,58.0,0,0,1,1,50,0,0,0,0,0,0
117,117,58.5,0,0,1,1,50,0,0,0,0,0,0
118,118,59.0,0,0,1,1,50,0,0,0,0,0,0
119,119,59.5,0,0,1,1,50,0,0,0,0,0,0
120,120,60.0,0,0,1,1,50,0,0,0,0,0,0
121,121,60.5,0,0,1,1,50,0,0,0,0,0,0
122,122,61.0,0,0,1,1,50,0,0,0,0,0,0
123,123,61.5,0,0,1,1,50,0,0,0,0,0,0
124,124,62.0,0,0,1,1,50,0,0,0,0,0,0
125,125,62.5,0,0,1,1,50,0,0,0,0,0,0
126,126,63.0,0,0,1,1,50,0,0,0,0,0,0
127,127,63.5,0,0,1,1,50,0,0,0,0,0,0
128,128,64.0,0,0,1,1,50,0,0,0,0,0,0
129,129,64.5,0,0,1,1,50,0,0,0,0,0,0
130,130,65.0,0,0,1,1,50,0,0,0,0,0,0
131,131,65.5,0,0,1,1,50,0,0,0,0,0,0
132,132,66.0,0,0,1,1,50,0,0,0,0,0,0
133,133,66.5,0,0,1,1,50,0,0,0,0,0,0
134,134,67.0,0,0,1,1,50,0,0,0,0,0,0
135,135,67.5,0,0,1,1,50,0,0,0,0,0,0
136,136,68.0,0,0,1,1,50,0,0,0,0,0,0
137,137,68.5,0,0,1,1,50,0,0,0,0,0,0
138,138,69.0,0,0,1,1,50,0,0,0,0,0,0
139,139,69.5,0,0,1,1,50,0,0,0,0,0,0
140,140,70.0,0,0,1,1,50,0,0,0,0,0,0
141,141,70.5,0,0,1,1,50,0,0,0,0,0,0
142,142,71.0,0,0,1,1,50,0,0,0,0,0,0
143,143,71.5,0,0,1,1,50,0,0,0,0,0,0
144,144,72.0,0,0,1,1,50,0,0,0,0,0,0
145,145,72.5,0,0,1,1,50,0,0,0,0,0,0
146,146,73.0,0,0,1,1,50,0,0,0,0,0,0
147,147,73.5,0,0,1,1,50,0,0,0,0,0,0
148,148,74.0,0,0,1,1,50,0,0,0,0,0,0
149,149,74.5,0,0,1,1,50,0,0,0,0,0,0
150,150,75.0,0,0,1,1,50,0,0,0,0,0,0
151,151,75.5,0,0,1,1,50,0,0,0,0,0,0
152,152,76.0,0,0,1,1,50,0,0,0,0,0,0
153,153,76.5,0,0,1,1,50,0,0,0,0,0,0
154,154,77.0,0,0,1,1,50,0,0,0,0,0,0
155,155,77.5,0,0,1,1,50,0,0,0,0,0,0
156,156,78.0,0,0,1,1,50,0,0,0,0,0,0
157,157,78.5,0,0,1,1,50,0,0,0,0,0,0
158,158,79.0,0,0,1,1,50,0,0,0,0,0,0
