Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
0,0.0,1.163595629,298.0,-3450.657361459,-3449.49376583
1,0.5,1.178534475,301.825878962,-3450.679126864,-3449.494384795
2,1.0,1.216207643,311.4740796,-3450.715971526,-3449.495281726
3,1.5,1.258753758,322.37025533,-3450.753597338,-3449.495629736
4,2.0,1.290533059,330.509020583,-3450.78515247,-3449.495213651
5,2.5,1.322961849,338.814121675,-3450.814734106,-3449.494636615
6,3.0,1.358307581,347.866259704,-3450.849764308,-3449.494447529
7,3.5,1.400317307,358.625064593,-3450.893783872,-3449.495402086
8,4.0,1.443715116,369.739361352,-3450.942527662,-3449.495690984
9,4.5,1.487558596,380.967795621,-3450.99426378,-3449.495799553
10,5.0,1.541079545,394.674655842,-3451.050976335,-3449.496735192
11,5.5,1.588948958,406.934142564,-3451.106086078,-3449.499488804
12,6.0,1.611345309,412.669908875,-3451.128894596,-3449.501312085
13,6.5,1.631490819,417.829228543,-3451.141890599,-3449.488765563
14,7.0,1.741106478,445.90209654,-3451.267868933,-3449.505826679
15,7.5,1.78456775,457.032646227,-3451.319443938,-3449.509667015
16,8.0,1.733689584,444.002609766,-3451.249435269,-3449.489685977
17,8.5,1.766118251,452.307679527,-3451.298356363,-3449.501119375
18,9.0,1.856115478,475.356213615,-3451.394563089,-3449.500422422
19,9.5,1.917823684,491.159852801,-3451.483025882,-3449.503756786
20,10.0,1.931533907,494.671078231,-3451.510540974,-3449.508725853
21,10.5,1.815072099,464.844892941,-3451.407481262,-3449.510007322
22,11.0,1.672127079,428.236285233,-3451.244519841,-3449.482410865
23,11.5,1.700582302,435.523744943,-3451.303850506,-3449.505214521
24,12.0,1.726821489,442.243672182,-3451.337613915,-3449.504066517
25,12.5,1.683228876,431.079485441,-3451.295248799,-3449.500331188
26,13.0,1.605871867,411.268145367,-3451.218284879,-3449.49702766
27,13.5,1.529525486,391.715630118,-3451.151818811,-3449.494825786
28,14.0,1.495479128,382.996265334,-3451.126045192,-3449.494396497
29,14.5,1.512268111,387.295969289,-3451.146513901,-3449.4954462
30,15.0,1.554142873,398.020209569,-3451.1971632,-3449.496732018
31,15.5,1.616856312,414.081291716,-3451.257013159,-3449.498022224
32,16.0,1.667281478,426.99531354,-3451.30984307,-3449.49827441
33,16.5,1.699371194,435.213576983,-3451.351033524,-3449.498137731
34,17.0,1.724390277,441.621032214,-3451.383409279,-3449.497991154
35,17.5,1.738861012,445.327026613,-3451.411133291,-3449.498630653
36,18.0,1.738604586,445.261355293,-3451.428682866,-3449.50095161
37,18.5,1.715765884,439.412301534,-3451.408756737,-3449.504462971
38,19.0,1.642030847,420.528558564,-3451.33315214,-3449.496104316
39,19.5,1.630042533,417.458318637,-3451.328351434,-3449.499193929
40,20.0,1.694882903,434.06411349,-3451.385894725,-3449.499986218
41,20.5,1.768252473,452.854259466,-3451.468991086,-3449.499173979
42,21.0,1.868218736,478.455890939,-3451.571753413,-3449.50460693
43,21.5,1.900327816,486.679113601,-3451.610073046,-3449.510096671
44,22.0,1.829887458,468.639146524,-3451.533501917,-3449.50841163
45,22.5,1.743284255,446.459831226,-3451.46191931,-3449.509678774
46,23.0,1.713161949,438.745426736,-3451.434096593,-3449.505517776
47,23.5,1.726299809,442.110068446,-3451.452009535,-3449.509913838
48,24.0,1.724409653,441.625994388,-3451.456908241,-3449.510239218
49,24.5,1.687422368,432.153450106,-3451.418268799,-3449.506970606
50,25.0,1.63475316,418.664723068,-3451.368744563,-3449.505292578
51,25.5,1.594087169,408.250052269,-3451.328703817,-3449.505087808
52,26.0,1.560842226,399.735932243,-3451.300131943,-3449.506415084
53,26.5,1.527619122,391.227405007,-3451.272189621,-3449.50696816
54,27.0,1.498185496,383.689373528,-3451.240414614,-3449.505527637
55,27.5,1.479292796,378.850901709,-3451.22404251,-3449.503933583
56,28.0,1.495035762,382.882718016,-3451.245409216,-3449.505212883
57,28.5,1.530722932,392.022299125,-3451.289286795,-3449.507282829
58,29.0,1.569751466,402.017612745,-3451.328776775,-3449.507381365
59,29.5,1.585684484,406.098101764,-3451.360470062,-3449.511277309
60,30.0,1.590927935,407.440963889,-3451.373679787,-3449.512291769
61,30.5,1.582519827,405.287624758,-3451.368891341,-3449.510613784
62,31.0,1.588593401,406.84308346,-3451.379411779,-3449.508059909
63,31.5,1.651640599,422.989642099,-3451.443065063,-3449.511716246
64,32.0,1.72568658,441.953018766,-3451.514980588,-3449.514634019
65,32.5,1.760566262,450.885800149,-3451.548805299,-3449.513061593
66,33.0,1.782026544,456.381836542,-3451.565550954,-3449.508558106
67,33.5,1.828389165,468.255429665,-3451.611853006,-3449.512082923
68,34.0,1.864819225,477.58526699,-3451.649519103,-3449.513837135
69,34.5,1.859679418,476.268948543,-3451.660754106,-3449.525259762
70,35.0,1.823938095,467.115498703,-3451.628077584,-3449.525000168
71,35.5,1.765328101,452.105319963,-3451.576587477,-3449.523061433
72,36.0,1.727903186,442.520697546,-3451.545725591,-3449.52113264
73,36.5,1.72828712,442.61902429,-3451.560507987,-3449.529289075
74,37.0,1.731078859,443.333996053,-3451.551603687,-3449.519123964
75,37.5,1.809249402,463.353684332,-3451.642199248,-3449.53173441
76,38.0,1.867722566,478.328820393,-3451.713220906,-3449.535599698
77,38.5,1.822710663,466.801150034,-3451.662928985,-3449.52532829
78,39.0,1.789483818,458.291664606,-3451.636131019,-3449.520750681
79,39.5,1.827002171,467.90021683,-3451.686726635,-3449.528173228
80,40.0,1.846678353,472.939340456,-3451.713071849,-3449.526470731
81,40.5,1.84098869,471.482202161,-3451.717102077,-3449.524408272
82,41.0,1.836393791,470.305436213,-3451.722488566,-3449.525003929
83,41.5,1.833253472,469.501191991,-3451.728938572,-3449.530620896
84,42.0,1.811996248,464.05715916,-3451.714986684,-3449.527251643
85,42.5,1.840464552,471.34796914,-3451.741524401,-3449.523134443
86,43.0,1.933227374,495.104779634,-3451.850510815,-3449.532205265
87,43.5,1.995430496,511.035168098,-3451.927088686,-3449.53600271
88,44.0,1.974741182,505.736578517,-3451.910417597,-3449.53140538
89,44.5,1.942846023,497.568141687,-3451.880529235,-3449.524363602
90,45.0,1.969117557,504.296352996,-3451.915661401,-3449.531886286
91,45.5,1.974761461,505.741772026,-3451.925953319,-3449.532528524
92,46.0,1.930923999,494.51487912,-3451.883920383,-3449.531489478
93,46.5,1.842822141,471.951754025,-3451.804925759,-3449.529051792
94,47.0,1.752262921,448.759291798,-3451.730275407,-3449.524308741
95,47.5,1.740447319,445.733284198,-3451.726600639,-3449.52344896
96,48.0,1.809656719,463.457999344,-3451.804176566,-3449.527887685
97,48.5,1.897841513,486.04236459,-3451.901877934,-3449.530602625
98,49.0,1.96106673,502.234514318,-3451.97464089,-3449.530286962
99,49.5,2.006078334,513.762108294,-3452.020800444,-3449.528957751
100,50.0,2.030862095,520.109296872,-3452.055144794,-3449.528392713
101,50.5,2.05741984,526.910807544,-3452.08554719,-3449.529477226
102,51.0,2.06684187,529.323814933,-3452.10367556,-3449.53056959
103,51.5,2.067537865,529.502061033,-3452.108499522,-3449.52810235
104,52.0,2.081468381,533.069704133,-3452.13595915,-3449.531242466
105,52.5,2.083460103,533.579789493,-3452.149485164,-3449.539729556
106,53.0,1.976943978,506.300720736,-3452.047048939,-3449.542095126
107,53.5,1.834355068,469.783313717,-3451.878539804,-3449.513658613
108,54.0,1.906700298,488.311123461,-3451.974121241,-3449.532027149
109,54.5,2.054864543,526.256389039,-3452.14501517,-3449.541374202
110,55.0,2.104726706,539.026224191,-3452.201005501,-3449.536790713
111,55.5,2.054598857,526.188346045,-3452.161093782,-3449.532714267
112,56.0,1.963706262,502.910505534,-3452.076953873,-3449.53123624
113,56.5,1.861623628,476.766866007,-3451.980019571,-3449.527618217
114,57.0,1.803109638,461.781274234,-3451.929078661,-3449.524658228
115,57.5,1.82287369,466.84290166,-3451.960026572,-3449.530300937
116,58.0,1.853393774,474.659177977,-3451.999752193,-3449.533438148
117,58.5,1.851955435,474.290815519,-3451.998803981,-3449.52958045
118,59.0,1.860285715,476.424222842,-3452.003869301,-3449.526399374
119,59.5,1.893166527,484.845087963,-3452.049199611,-3449.531587268
120,60.0,1.902127096,487.139913938,-3452.071595959,-3449.534264221
121,60.5,1.870106168,478.939267514,-3452.03721691,-3449.529648615
122,61.0,1.83059237,468.819676577,-3452.005320557,-3449.52836235
123,61.5,1.82019622,466.157194144,-3451.995684303,-3449.530428049
124,62.0,1.800133967,461.019196735,-3451.980545796,-3449.529010157
125,62.5,1.791488808,458.805148181,-3451.969743519,-3449.529333923
126,63.0,1.775000649,454.582485902,-3451.957557593,-3449.531103146
127,63.5,1.732366397,443.663738187,-3451.921428432,-3449.531210122
128,64.0,1.68353212,431.157147169,-3451.866776811,-3449.527213011
129,64.5,1.665975172,426.660764964,-3451.852476894,-3449.52464153
130,65.0,1.716633018,439.634377099,-3451.911131812,-3449.528547144
131,65.5,1.777187278,455.14248737,-3451.991913874,-3449.530493921
132,66.0,1.833583693,469.58576253,-3452.057179622,-3449.530340049
133,66.5,1.876434869,480.560064914,-3452.102096234,-3449.530514998
134,67.0,1.879587405,481.367437868,-3452.121940583,-3449.532373749
135,67.5,1.843919166,472.232704994,-3452.093183006,-3449.535384524
136,68.0,1.762138843,451.288542433,-3452.00575055,-3449.523775023
137,68.5,1.753224585,449.00557654,-3452.013876786,-3449.531153017
138,69.0,1.780659712,456.031787289,-3452.058143842,-3449.534793283
139,69.5,1.780727145,456.049057042,-3452.063748852,-3449.528375566
140,70.0,1.79956457,460.873372633,-3452.101608202,-3449.537757776
141,70.5,1.815975393,465.07622888,-3452.12187118,-3449.538992269
