Time_ps,Z_GDS_A
2.0,24.0735272075
2.0005,24.0735272075
2.001,24.0735272075
2.0015,24.0735272075
2.002,24.0735272075
2.0025,24.0735272075
2.003,24.0735272075
2.0035,24.0735272075
2.004,24.0735272075
2.0045,24.0735272075
2.005,24.0735272075
2.0055,24.0735272075
2.006,24.0735272075
2.0065,24.0735272075
2.007,24.0735272075
2.0075,24.0735272075
2.008,24.0735272075
2.0085,24.0735272075
2.009,24.0735272075
2.0095,24.0735272075
2.01,24.0735272075
2.0105,24.0735272075
2.011,24.0735272075
2.0115,24.0735272075
2.012,24.0735272075
2.0125,24.0735272075
2.013,24.0735272075
2.0135,24.0735272075
2.014,24.0735272075
2.0145,24.0735272075
2.015,24.0735272075
2.0155,24.0735272075
2.016,24.0735272075
2.0165,24.0735272075
2.017,24.0735272075
2.0175,24.0735272075
2.018,24.0735272075
2.0185,24.0735272075
2.019,24.0735272075
2.0195,24.0735272075
2.02,24.0735272075
2.0205,24.0735272075
2.021,24.0735272075
2.0215,24.0735272075
2.022,24.0735272075
2.0225,24.0735272075
2.023,24.0735272075
2.0235,24.0735272075
2.024,24.0735272075
2.0245,24.0735272075
2.025,24.0735272075
2.0255,24.0735272075
2.026,24.0735272075
2.0265,24.0735272075
2.027,24.0735272075
2.0275,24.0735272075
2.028,24.0735272075
2.0285,24.0735272075
2.029,24.0735272075
2.0295,24.0735272075
2.03,24.0735272075
2.0305,24.0735272075
2.031,24.0735272075
2.0315,24.0735272075
2.032,24.0735272075
2.0325,24.0735272075
2.033,24.0735272075
2.0335,24.0735272075
2.034,24.0735272075
2.0345,24.0735272075
2.035,24.0735272075
2.0355,24.0735272075
2.036,24.0735272075
2.0365,24.0735272075
2.037,24.0735272075
2.0375,24.0735272075
2.038,24.0735272075
2.0385,24.0735272075
2.039,24.0735272075
2.0395,24.0735272075
2.04,24.0735272075
2.0405,24.0735272075
2.041,24.0735272075
2.0415,24.0735272075
2.042,24.0735272075
2.0425,24.0735272075
2.043,24.0735272075
2.0435,24.0735272075
2.044,24.0735272075
2.0445,24.0735272075
2.045,24.0735272075
2.0455,24.0735272075
2.046,24.0735272075
2.0465,24.0735272075
2.047,24.0735272075
2.0475,24.0735272075
2.048,24.0735272075
2.0485,24.0735272075
2.049,24.0735272075
2.0495,24.0735272075
2.05,24.0735272075
2.0505,24.0735272075
2.051,24.0735272075
2.0515,24.0735272075
2.052,24.0735272075
2.0525,24.0735272075
2.053,24.0735272075
2.0535,24.0735272075
2.054,24.0735272075
2.0545,24.0735272075
2.055,24.0735272075
2.0555,24.0735272075
2.056,24.0735272075
2.0565,24.0735272075
2.057,24.0735272075
2.0575,24.0735272075
2.058,24.0735272075
2.0585,24.0735272075
2.059,31.088329837499998
2.0595,31.088329837499998
2.06,31.088329837499998
2.0605,31.088329837499998
2.061,31.088329837499998
2.0615,31.088329837499998
2.062,31.088329837499998
2.0625,31.088329837499998
2.063,31.088329837499998
2.0635,31.088329837499998
2.064,31.088329837499998
2.0645,31.088329837499998
2.065,31.088329837499998
2.0655,31.088329837499998
2.066,31.088329837499998
2.0665,31.088329837499998
2.067,31.088329837499998
2.0675,31.088329837499998
2.068,31.088329837499998
2.0685,24.0735272075
2.069,31.088329837499998
2.0695,31.088329837499998
2.07,31.088329837499998
2.0705,24.0735272075
2.071,24.0735272075
2.0715,24.0735272075
2.072,24.0735272075
2.0725,24.0735272075
2.073,24.0735272075
2.0735,24.0735272075
2.074,24.0735272075
2.0745,24.0735272075
2.075,24.0735272075
2.0755,24.0735272075
2.076,24.0735272075
