time_fs,time_ps,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic
2000.0,2.0,150,1,58,0,-57
2000.5,2.0005,150,1,58,0,-57
2001.0,2.001,150,1,58,0,-57
2001.5,2.0015,150,1,58,0,-57
2002.0,2.002,150,1,58,0,-57
2002.5,2.0025,150,1,58,0,-57
2003.0,2.003,151,1,59,0,-58
2003.5,2.0035,152,1,60,0,-59
2004.0,2.004,152,1,60,0,-59
2004.5,2.0045,152,1,60,0,-59
2005.0,2.005,152,1,60,0,-59
2005.5,2.0055,152,1,60,0,-59
2006.0,2.006,152,1,60,0,-59
2006.5,2.0065,152,1,60,0,-59
2007.0,2.007,152,1,60,0,-59
2007.5,2.0075,152,1,60,0,-59
2008.0,2.008,152,1,60,0,-59
2008.5,2.0085,152,1,60,0,-59
2009.0,2.009,152,1,60,0,-59
2009.5,2.0095,151,1,59,0,-58
2010.0,2.01,151,1,59,0,-58
2010.5,2.0105,150,1,58,0,-57
2011.0,2.011,149,1,57,0,-56
2011.5,2.0115,149,1,57,0,-56
2012.0,2.012,149,1,57,0,-56
2012.5,2.0125,149,1,57,0,-56
2013.0,2.013,149,1,57,0,-56
2013.5,2.0135,148,1,56,0,-55
2014.0,2.014,148,1,56,0,-55
2014.5,2.0145,148,1,56,0,-55
2015.0,2.015,149,1,56,0,-55
2015.5,2.0155,149,1,56,0,-55
2016.0,2.016,149,1,56,0,-55
2016.5,2.0165,149,1,56,0,-55
2017.0,2.017,148,1,55,0,-54
2017.5,2.0175,148,1,55,0,-54
2018.0,2.018,148,1,55,0,-54
2018.5,2.0185,148,1,55,0,-54
2019.0,2.019,148,1,55,0,-54
2019.5,2.0195,148,1,55,0,-54
2020.0,2.02,149,1,56,0,-55
2020.5,2.0205,150,1,57,0,-56
2021.0,2.021,150,1,57,0,-56
2021.5,2.0215,150,1,57,0,-56
2022.0,2.022,150,1,57,0,-56
2022.5,2.0225,151,1,58,0,-57
2023.0,2.023,152,1,58,0,-57
2023.5,2.0235,152,1,58,0,-57
2024.0,2.024,151,1,58,0,-57
2024.5,2.0245,152,1,58,0,-57
2025.0,2.025,152,1,58,0,-57
2025.5,2.0255,152,1,58,0,-57
2026.0,2.026,152,1,58,0,-57
2026.5,2.0265,151,1,58,0,-57
2027.0,2.027,151,1,58,0,-57
2027.5,2.0275,151,1,58,0,-57
2028.0,2.028,150,1,57,0,-56
2028.5,2.0285,149,1,56,0,-55
2029.0,2.029,148,1,56,0,-55
2029.5,2.0295,147,1,55,0,-54
2030.0,2.03,148,1,56,0,-55
2030.5,2.0305,147,1,55,0,-54
2031.0,2.031,148,1,55,0,-54
2031.5,2.0315,148,1,55,0,-54
2032.0,2.032,148,1,55,0,-54
2032.5,2.0325,149,1,56,0,-55
2033.0,2.033,149,1,56,0,-55
2033.5,2.0335,149,1,56,0,-55
2034.0,2.034,149,1,56,0,-55
2034.5,2.0345,149,1,56,0,-55
2035.0,2.035,149,1,56,0,-55
2035.5,2.0355,149,1,56,0,-55
2036.0,2.036,149,1,56,0,-55
2036.5,2.0365,149,1,56,0,-55
2037.0,2.037,149,1,56,0,-55
2037.5,2.0375,149,1,56,0,-55
2038.0,2.038,149,1,56,0,-55
2038.5,2.0385,149,1,56,0,-55
2039.0,2.039,149,1,56,0,-55
2039.5,2.0395,148,1,55,0,-54
2040.0,2.04,148,1,55,0,-54
2040.5,2.0405,149,1,56,0,-55
2041.0,2.041,148,1,55,0,-54
2041.5,2.0415,147,1,54,0,-53
2042.0,2.042,147,1,54,0,-53
2042.5,2.0425,147,1,54,0,-53
2043.0,2.043,148,1,54,0,-53
2043.5,2.0435,148,1,54,0,-53
2044.0,2.044,149,1,55,0,-54
2044.5,2.0445,149,1,55,0,-54
2045.0,2.045,149,1,55,0,-54
2045.5,2.0455,149,1,55,0,-54
2046.0,2.046,149,1,55,0,-54
2046.5,2.0465,149,1,55,0,-54
2047.0,2.047,149,1,55,0,-54
2047.5,2.0475,149,1,55,0,-54
2048.0,2.048,149,1,55,0,-54
2048.5,2.0485,149,1,55,0,-54
2049.0,2.049,150,1,56,0,-55
2049.5,2.0495,151,1,57,0,-56
2050.0,2.05,150,1,57,0,-56
2050.5,2.0505,151,1,58,0,-57
2051.0,2.051,152,1,58,0,-57
2051.5,2.0515,152,1,58,0,-57
2052.0,2.052,152,1,58,0,-57
2052.5,2.0525,153,1,59,0,-58
2053.0,2.053,154,1,60,0,-59
2053.5,2.0535,154,1,60,0,-59
2054.0,2.054,153,1,59,0,-58
2054.5,2.0545,153,1,59,0,-58
2055.0,2.055,153,1,59,0,-58
2055.5,2.0555,154,1,59,0,-58
2056.0,2.056,155,1,60,0,-59
2056.5,2.0565,155,1,60,0,-59
2057.0,2.057,154,1,59,0,-58
2057.5,2.0575,153,1,58,0,-57
2058.0,2.058,153,1,58,0,-57
2058.5,2.0585,153,1,58,0,-57
2059.0,2.059,152,1,57,0,-56
2059.5,2.0595,150,1,55,0,-54
2060.0,2.06,152,1,55,0,-54
2060.5,2.0605,152,1,55,0,-54
2061.0,2.061,152,1,55,0,-54
2061.5,2.0615,154,1,56,0,-55
2062.0,2.062,154,1,56,0,-55
2062.5,2.0625,155,1,57,0,-56
2063.0,2.063,154,1,57,0,-56
2063.5,2.0635,154,1,57,0,-56
2064.0,2.064,154,1,57,0,-56
2064.5,2.0645,154,1,58,0,-57
2065.0,2.065,153,1,57,0,-56
2065.5,2.0655,153,1,57,0,-56
2066.0,2.066,152,1,57,0,-56
2066.5,2.0665,152,1,57,0,-56
2067.0,2.067,152,1,57,0,-56
2067.5,2.0675,152,1,57,0,-56
2068.0,2.068,152,1,57,0,-56
2068.5,2.0685,152,1,57,0,-56
2069.0,2.069,152,1,57,0,-56
2069.5,2.0695,152,1,57,0,-56
2070.0,2.07,152,1,57,0,-56
2070.5,2.0705,152,1,57,0,-56
2071.0,2.071,152,1,57,0,-56
2071.5,2.0715,152,1,57,0,-56
2072.0,2.072,152,1,57,0,-56
2072.5,2.0725,152,1,57,0,-56
2073.0,2.073,150,1,56,0,-55
2073.5,2.0735,150,1,56,0,-55
2074.0,2.074,150,1,56,0,-55
2074.5,2.0745,150,1,56,0,-55
2075.0,2.075,152,1,57,0,-56
2075.5,2.0755,152,1,57,0,-56
2076.0,2.076,152,1,57,0,-56
2076.5,2.0765,153,1,57,0,-56
2077.0,2.077,153,1,57,0,-56
2077.5,2.0775,153,1,57,0,-56
2078.0,2.078,153,1,57,0,-56
2078.5,2.0785,151,1,56,0,-55
2079.0,2.079,151,1,56,0,-55
2079.5,2.0795,155,1,59,0,-58
2080.0,2.08,155,1,59,0,-58
2080.5,2.0805,155,1,59,0,-58
2081.0,2.081,155,1,59,0,-58
2081.5,2.0815,155,1,59,0,-58
2082.0,2.082,155,1,59,0,-58
2082.5,2.0825,156,1,59,0,-58
2083.0,2.083,156,1,59,0,-58
2083.5,2.0835,156,1,59,0,-58
2084.0,2.084,154,1,59,0,-58
2084.5,2.0845,154,1,59,0,-58
2085.0,2.085,154,1,59,0,-58
2085.5,2.0855,154,1,59,0,-58
2086.0,2.086,154,1,59,0,-58
2086.5,2.0865,154,1,59,0,-58
2087.0,2.087,154,1,59,0,-58
2087.5,2.0875,152,1,57,0,-56
2088.0,2.088,152,1,57,0,-56
2088.5,2.0885,152,1,57,0,-56
2089.0,2.089,153,1,58,0,-57
2089.5,2.0895,153,1,58,0,-57
2090.0,2.09,153,1,58,0,-57
2090.5,2.0905,154,1,59,0,-58
2091.0,2.091,154,1,59,0,-58
2091.5,2.0915,154,1,59,0,-58
2092.0,2.092,154,1,59,0,-58
2092.5,2.0925,155,1,60,0,-59
2093.0,2.093,153,1,58,0,-57
2093.5,2.0935,153,1,58,0,-57
2094.0,2.094,153,1,58,0,-57
2094.5,2.0945,153,1,58,0,-57
2095.0,2.095,153,1,58,0,-57
2095.5,2.0955,154,1,59,0,-58
