frame_idx,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.05475288,-0.067548014,0.17496486,-0.13043861,0.26684907,-0.29051438,0.37915736,-0.71346474,-0.21867557,-0.45778167,-0.31676194,0.2629991,-0.08253706,0.15009634,-0.15493415,0.12223951,0.6069392,-0.10912005,0.047748774,0.07486081,-0.120402604,-0.22431624,-0.3227616,-0.34367007,0.54630667,-0.082129285,-0.02233906,-0.2940617,0.32863042,0.3421715,-0.34493467,0.27123472
1,0.05475288,-0.067548014,0.17496486,-0.13043861,0.26684907,-0.29051438,0.37915736,-0.71346474,-0.21867557,-0.45778167,-0.31676194,0.2629991,-0.08253706,0.15009634,-0.15493415,0.12223951,0.6069392,-0.10912005,0.047748774,0.07486081,-0.120402604,-0.22431624,-0.3227616,-0.34367007,0.54630667,-0.082129285,-0.02233906,-0.2940617,0.32863042,0.3421715,-0.34493467,0.27123472
2,0.05475288,-0.067548014,0.17496486,-0.13043861,0.26684907,-0.29051438,0.37915736,-0.71346474,-0.21867557,-0.45778167,-0.31676194,0.2629991,-0.08253706,0.15009634,-0.15493415,0.12223951,0.6069392,-0.10912005,0.047748774,0.07486081,-0.120402604,-0.22431624,-0.3227616,-0.34367007,0.54630667,-0.082129285,-0.02233906,-0.2940617,0.32863042,0.3421715,-0.34493467,0.27123472
3,0.05475288,-0.067548014,0.17496486,-0.13043861,0.26684907,-0.29051438,0.37915736,-0.71346474,-0.21867557,-0.45778167,-0.31676194,0.2629991,-0.08253706,0.15009634,-0.15493415,0.12223951,0.6069392,-0.10912005,0.047748774,0.07486081,-0.120402604,-0.22431624,-0.3227616,-0.34367007,0.54630667,-0.082129285,-0.02233906,-0.2940617,0.32863042,0.3421715,-0.34493467,0.27123472
4,0.05475288,-0.067548014,0.17496486,-0.13043861,0.26684907,-0.29051438,0.37915736,-0.71346474,-0.21867557,-0.45778167,-0.31676194,0.2629991,-0.08253706,0.15009634,-0.15493415,0.12223951,0.6069392,-0.10912005,0.047748774,0.07486081,-0.120402604,-0.22431624,-0.3227616,-0.34367007,0.54630667,-0.082129285,-0.02233906,-0.2940617,0.32863042,0.3421715,-0.34493467,0.27123472
5,0.05475288,-0.067548014,0.17496486,-0.13043861,0.26684907,-0.29051438,0.37915736,-0.71346474,-0.21867557,-0.45778167,-0.31676194,0.2629991,-0.08253706,0.15009634,-0.15493415,0.12223951,0.6069392,-0.10912005,0.047748774,0.07486081,-0.120402604,-0.22431624,-0.3227616,-0.34367007,0.54630667,-0.082129285,-0.02233906,-0.2940617,0.32863042,0.3421715,-0.34493467,0.27123472
6,-0.2248879,0.41434935,0.3588527,-0.20552774,0.3594202,-0.060654666,0.28578383,-0.1752884,0.05460571,-0.022580558,-0.028510274,0.13542672,-0.004154034,0.2915068,-0.27466846,0.18046199,0.3834634,0.042745475,-0.44165474,0.07011849,-0.19764881,-0.38137445,-0.6433192,-0.40764058,0.45889953,-0.24768755,-0.115257666,0.039905638,0.19233438,-0.0024927265,-0.29789594,0.6352456
7,-0.10629736,-0.23854531,0.36128655,-0.063524716,0.4770624,0.030095844,0.38275933,-0.09513249,0.36252338,-0.4087268,0.08623158,0.148494,0.14698249,0.07509485,0.041981343,-0.0107445,0.21900696,0.23021063,0.36325702,0.34720603,0.100617535,0.011519891,-0.54257256,-0.4207556,0.2891713,-0.41080368,0.009996304,-0.12521677,0.41163424,0.014973133,-0.515586,0.536418
8,-0.10629736,-0.23854531,0.36128655,-0.063524716,0.4770624,0.030095844,0.38275933,-0.09513249,0.36252338,-0.4087268,0.08623158,0.148494,0.14698249,0.07509485,0.041981343,-0.0107445,0.21900696,0.23021063,0.36325702,0.34720603,0.100617535,0.011519891,-0.54257256,-0.4207556,0.2891713,-0.41080368,0.009996304,-0.12521677,0.41163424,0.014973133,-0.515586,0.536418
9,-0.10629736,-0.23854531,0.36128655,-0.063524716,0.4770624,0.030095844,0.38275933,-0.09513249,0.36252338,-0.4087268,0.08623158,0.148494,0.14698249,0.07509485,0.041981343,-0.0107445,0.21900696,0.23021063,0.36325702,0.34720603,0.100617535,0.011519891,-0.54257256,-0.4207556,0.2891713,-0.41080368,0.009996304,-0.12521677,0.41163424,0.014973133,-0.515586,0.536418
