Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
4000,2000.0,1.260265061,322.757303948,-3455.775630688,-3449.496317339
4001,2000.5,1.255936322,321.648702237,-3455.767196836,-3449.495474133
4002,2001.0,1.242507565,318.209561063,-3455.75293499,-3449.494844856
4003,2001.5,1.228792981,314.697218794,-3455.740149246,-3449.494703039
4004,2002.0,1.220696958,312.623805419,-3455.730417706,-3449.494729475
4005,2002.5,1.208177946,309.417652556,-3455.722849451,-3449.494653685
4006,2003.0,1.1990107,307.069895843,-3455.717639517,-3449.494493765
4007,2003.5,1.199435407,307.178664551,-3455.716551838,-3449.494383259
4008,2004.0,1.195530391,306.178579419,-3455.720478159,-3449.494495331
4009,2004.5,1.201936673,307.819245479,-3455.726902436,-3449.494993782
4010,2005.0,1.206523971,308.994064909,-3455.728303431,-3449.495812444
4011,2005.5,1.192609221,305.430459747,-3455.713955935,-3449.49631788
4012,2006.0,1.1631049,297.8743229,-3455.680013142,-3449.494989278
4013,2006.5,1.136121651,290.963839753,-3455.649707189,-3449.492641013
4014,2007.0,1.143556065,292.867813193,-3455.654263439,-3449.493848134
4015,2007.5,1.162159583,297.63222478,-3455.679004871,-3449.495423661
4016,2008.0,1.174076594,300.684203526,-3455.69862497,-3449.495404557
4017,2008.5,1.175213664,300.975410473,-3455.709552277,-3449.494978065
4018,2009.0,1.179146741,301.982682044,-3455.716154058,-3449.494906771
4019,2009.5,1.188815726,304.458935418,-3455.719276938,-3449.49502702
4020,2010.0,1.190989035,305.015525634,-3455.716853702,-3449.494953115
4021,2010.5,1.193245237,305.593345136,-3455.709653683,-3449.494719803
4022,2011.0,1.186410698,303.843001225,-3455.701249012,-3449.494450867
4023,2011.5,1.18190307,302.68858535,-3455.695849442,-3449.494247869
4024,2012.0,1.181669408,302.628744004,-3455.696297921,-3449.494243258
4025,2012.5,1.190313984,304.842643375,-3455.70251467,-3449.494492387
4026,2013.0,1.196649856,306.465277442,-3455.710609739,-3449.495057977
4027,2013.5,1.195954848,306.287284005,-3455.712336031,-3449.495705925
4028,2014.0,1.190579526,304.910649222,-3455.700790419,-3449.495200905
4029,2014.5,1.185830983,303.694534666,-3455.68792718,-3449.493142243
4030,2015.0,1.200625512,307.483453667,-3455.701345489,-3449.493941493
4031,2015.5,1.228405109,314.597883757,-3455.730953682,-3449.495769573
4032,2016.0,1.246177602,319.14946748,-3455.748905561,-3449.495631359
4033,2016.5,1.247691112,319.537081651,-3455.752079043,-3449.494930882
4034,2017.0,1.249898716,320.102454939,-3455.748394751,-3449.494536384
4035,2017.5,1.249230883,319.931421121,-3455.742995714,-3449.494356108
4036,2018.0,1.244806603,318.79835103,-3455.738005585,-3449.494232088
4037,2018.5,1.240388969,317.666982993,-3455.734886748,-3449.494126758
4038,2019.0,1.244509388,318.722233472,-3455.734757194,-3449.494021473
4039,2019.5,1.250536751,320.265857559,-3455.738376335,-3449.493984948
4040,2020.0,1.244337887,318.678311509,-3455.745671568,-3449.494090681
4041,2020.5,1.258538975,322.315248658,-3455.754507318,-3449.494360085
4042,2021.0,1.27022892,325.309075521,-3455.760112403,-3449.494827902
4043,2021.5,1.264822079,323.924368832,-3455.755208428,-3449.495399624
4044,2022.0,1.250191699,320.177488598,-3455.732903039,-3449.49515354
4045,2022.5,1.219745564,312.380150749,-3455.701168308,-3449.493106739
4046,2023.0,1.206021252,308.865317335,-3455.689275228,-3449.493098918
4047,2023.5,1.210361841,309.976953987,-3455.697113855,-3449.495190401
4048,2024.0,1.206809753,309.067254646,-3455.695311864,-3449.495208646
4049,2024.5,1.187354243,304.084645492,-3455.678351806,-3449.494343273
4050,2025.0,1.16820377,299.180157391,-3455.656764492,-3449.49364595
4051,2025.5,1.1563307,296.139431875,-3455.640390203,-3449.493240361
4052,2026.0,1.162863277,297.812442788,-3455.634688956,-3449.493213479
4053,2026.5,1.170445542,299.754281298,-3455.639722124,-3449.493576808
4054,2027.0,1.176440546,301.289618179,-3455.649894341,-3449.494086993
4055,2027.5,1.184479458,303.348405328,-3455.657757727,-3449.494367838
4056,2028.0,1.19003115,304.77020884,-3455.659180567,-3449.49426803
4057,2028.5,1.183045617,302.981194673,-3455.655634034,-3449.494047993
4058,2029.0,1.175636251,301.083636028,-3455.650841961,-3449.494135752
4059,2029.5,1.173574342,300.555575487,-3455.644291528,-3449.494565604
4060,2030.0,1.157331106,296.395638701,-3455.631945387,-3449.494553655
4061,2030.5,1.143609214,292.881424797,-3455.618547936,-3449.493075561
4062,2031.0,1.154077067,295.562270492,-3455.627360124,-3449.492349489
4063,2031.5,1.193049386,305.543187087,-3455.666063173,-3449.49447917
4064,2032.0,1.233630117,315.936022669,-3455.704547314,-3449.495319406
4065,2032.5,1.255893703,321.637787292,-3455.72417474,-3449.494992567
4066,2033.0,1.251960094,320.63037944,-3455.724812264,-3449.494563864
4067,2033.5,1.238902426,317.286275298,-3455.711342887,-3449.494117245
4068,2034.0,1.218641157,312.097309311,-3455.689674483,-3449.493585763
4069,2034.5,1.194543243,305.925768114,-3455.667035274,-3449.493028398
