time_fs,time_ps,clustering_coefficient
0.0,0.0,0.0
5.0,0.005,0.0
10.0,0.01,0.0
15.0,0.015,0.0
20.0,0.02,0.0
25.0,0.025,0.0
30.0,0.03,0.12
35.0,0.035,0.12
40.0,0.04,0.09090909090909091
45.0,0.045,0.0
50.0,0.05,0.0
55.0,0.055,0.0
60.0,0.06,0.0
65.0,0.065,0.0
70.0,0.07,0.0
75.0,0.075,0.0
80.0,0.08,0.0
85.0,0.085,0.0
90.0,0.09,0.0
95.0,0.095,0.0
100.0,0.1,0.0
105.0,0.105,0.0
110.0,0.11,0.0
115.0,0.115,0.0
120.0,0.12,0.0
125.0,0.125,0.0
130.0,0.13,0.0
135.0,0.135,0.0
140.0,0.14,0.0
145.0,0.145,0.0
150.0,0.15,0.0
155.0,0.155,0.0
160.0,0.16,0.0
165.0,0.165,0.0
170.0,0.17,0.0
175.0,0.175,0.0
180.0,0.18,0.0
185.0,0.185,0.0
190.0,0.19,0.0
195.0,0.195,0.0
200.0,0.2,0.0
205.0,0.205,0.0
210.0,0.21,0.0
215.0,0.215,0.075
220.0,0.22,0.07692307692307693
225.0,0.225,0.07692307692307693
230.0,0.23,0.07692307692307693
235.0,0.235,0.07692307692307693
240.0,0.24,0.07692307692307693
245.0,0.245,0.07692307692307693
250.0,0.25,0.07142857142857142
