time_fs,time_ps,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic
0.0,0.0,19,5,0,0,5
5.0,0.005,24,8,0,0,8
10.0,0.01,26,6,0,0,6
15.0,0.015,26,6,0,0,6
20.0,0.02,26,6,0,0,6
25.0,0.025,28,5,0,0,5
30.0,0.03,28,7,0,0,7
35.0,0.035,28,7,0,0,7
40.0,0.04,30,6,1,0,5
45.0,0.045,28,6,0,0,6
50.0,0.05,29,5,0,0,5
55.0,0.055,31,5,0,0,5
60.0,0.06,29,6,0,0,6
65.0,0.065,27,6,0,0,6
70.0,0.07,30,5,0,0,5
75.0,0.075,31,4,1,0,3
80.0,0.08,30,5,1,0,4
85.0,0.085,31,6,1,0,5
90.0,0.09,31,6,1,0,5
95.0,0.095,31,7,1,0,6
100.0,0.1,31,7,1,0,6
105.0,0.105,31,7,1,0,6
110.0,0.11,31,7,1,0,6
115.0,0.115,31,7,1,0,6
120.0,0.12,30,7,1,0,6
125.0,0.125,30,7,1,0,6
130.0,0.13,30,7,1,0,6
135.0,0.135,31,7,1,0,6
140.0,0.14,31,7,1,0,6
145.0,0.145,32,7,1,0,6
150.0,0.15,33,7,1,0,6
155.0,0.155,31,8,1,0,7
160.0,0.16,31,8,1,0,7
165.0,0.165,28,8,1,0,7
170.0,0.17,27,8,1,0,7
175.0,0.175,26,7,1,0,6
180.0,0.18,26,7,1,0,6
185.0,0.185,26,7,1,0,6
190.0,0.19,28,6,1,0,5
195.0,0.195,29,7,1,0,6
200.0,0.2,31,7,1,0,6
205.0,0.205,31,7,1,0,6
210.0,0.21,32,7,1,0,6
215.0,0.215,35,6,1,0,5
220.0,0.22,35,7,1,0,6
225.0,0.225,35,7,1,0,6
230.0,0.23,35,7,1,0,6
235.0,0.235,35,7,1,0,6
240.0,0.24,36,8,1,0,7
245.0,0.245,36,8,1,0,7
250.0,0.25,37,7,1,0,6
