time_fs,time_ps,PC1,PC2
0.0,0.0,0.64929855,-0.14406267
5.0,0.005,0.0510544,0.12260279
10.0,0.01,-0.67713535,0.36836562
15.0,0.015,-0.6771347,0.368366
20.0,0.02,-0.67713565,0.36836576
25.0,0.025,-0.22258502,-0.21551013
30.0,0.03,-0.77740306,0.47554782
35.0,0.035,-0.7774031,0.47554782
40.0,0.04,0.61126304,0.81047267
45.0,0.045,-0.4756734,0.8665119
50.0,0.05,0.7485132,-0.044428296
55.0,0.055,-0.44317526,0.20412737
60.0,0.06,0.41597918,-0.14584176
65.0,0.065,0.1647094,0.7269402
70.0,0.07,0.08180637,0.63048905
75.0,0.075,1.2315859,0.1373213
80.0,0.08,0.50859493,0.23045467
85.0,0.085,-0.106839485,-0.044287395
90.0,0.09,-0.106839485,-0.044287395
95.0,0.095,0.23557472,-1.7825631
100.0,0.1,0.23557472,-1.7825631
105.0,0.105,0.23557472,-1.7825631
110.0,0.11,0.23557472,-1.7825631
115.0,0.115,0.23557472,-1.7825631
120.0,0.12,-0.559367,-0.44886157
125.0,0.125,-0.559367,-0.44886157
130.0,0.13,-0.559367,-0.44886157
135.0,0.135,-0.6342519,-0.8087386
140.0,0.14,-0.6342519,-0.8087386
145.0,0.145,-0.3139878,-0.6467525
150.0,0.15,-0.50433147,-0.46722686
155.0,0.155,0.00084131374,0.3726071
160.0,0.16,-0.58894426,0.56060946
165.0,0.165,-1.1153313,0.5689066
170.0,0.17,0.14850451,0.6643848
175.0,0.175,-1.303591,0.56109214
180.0,0.18,-1.303591,0.56109214
185.0,0.185,-1.303591,0.56109214
190.0,0.19,-0.39923477,0.3785102
195.0,0.195,1.168042,-0.3103233
200.0,0.2,1.3684777,0.86342937
205.0,0.205,1.3684777,0.86342937
210.0,0.21,0.5638187,0.6909719
215.0,0.215,0.14769447,-0.08816676
220.0,0.22,1.2165625,0.3953524
225.0,0.225,1.2165625,0.3953524
230.0,0.23,1.2165625,0.3953524
235.0,0.235,1.2165625,0.3953524
240.0,0.24,-0.109535664,-0.09420676
245.0,0.245,-0.10953569,-0.09420695
250.0,0.25,-0.33318037,0.20353146
